bill_id,date,chamber,sequence,action
1789808,2023-12-01,House,1,"Prefiled (H)"
1789808,2024-01-03,House,2,"Read First Time (H)"
1789808,2024-01-04,House,3,"Read Second Time (H)"
1789808,2024-03-18,House,4,"Referred: Special Committee on Tourism(H)"
1789808,2024-04-02,House,5,"Re-referred to Committee: Emerging Issues(H)"
1789809,2023-12-05,House,1,"Prefiled (H)"
1789809,2024-01-03,House,2,"Read First Time (H)"
1789809,2024-01-04,House,3,"Read Second Time (H)"
1789809,2024-02-01,House,4,"Referred: Special Committee on Urban Issues(H)"
1789809,2024-02-05,House,5,"Public Hearing Completed (H)"
1789809,2024-02-12,House,6,"Executive Session Completed (H)"
1789809,2024-02-12,House,7,"Voted Do Pass (H)"
1789809,2024-02-13,House,8,"Reported Do Pass (H) - AYES: 5 NOES: 0 PRESENT: 0"
1789809,2024-03-07,House,9,"Referred: Rules - Administrative Oversight(H)"
1789809,2024-04-02,House,10,"Executive Session Completed (H)"
1789809,2024-04-02,House,11,"Voted Do Pass (H)"
1789809,2024-04-02,House,12,"Reported Do Pass (H) - AYES: 7 NOES: 1 PRESENT: 0"
1789810,2023-12-01,House,1,"Prefiled (H)"
1789810,2024-01-03,House,2,"Read First Time (H)"
1789810,2024-01-04,House,3,"Read Second Time (H)"
1789810,2024-05-17,House,4,"Referred: General Laws(H)"
1789811,2023-12-01,Senate,1,Prefiled
1789811,2024-01-03,Senate,2,"S First Read"
1789811,2024-01-25,Senate,3,"Second Read and Referred S Economic Development and Tax Policy Committee"
1789811,2024-03-11,Senate,4,"Hearing Conducted S Economic Development and Tax Policy Committee"
1789811,2024-04-02,Senate,5,"Voted Do Pass S Economic Development and Tax Policy Committee"
1789812,2023-12-05,House,1,"Prefiled (H)"
1789812,2024-01-03,House,2,"Read First Time (H)"
1789812,2024-01-04,House,3,"Read Second Time (H)"
1789812,2024-01-30,House,4,"Referred: Utilities(H)"
1789813,2023-12-06,House,1,"Prefiled (H)"
1789813,2024-01-03,House,2,"Read First Time (H)"
1789813,2024-01-04,House,3,"Read Second Time (H)"
1789813,2024-01-04,House,4,"Referred: Workforce and Infrastructure Development(H)"
1789813,2024-02-07,House,5,"Public Hearing Completed (H)"
1789813,2024-03-06,House,6,"Executive Session Completed (H)"
1789813,2024-03-06,House,7,"HCS Voted Do Pass (H)"
1789813,2024-03-07,House,8,"HCS Reported Do Pass (H) - AYES: 13 NOES: 0 PRESENT: 0"
1789813,2024-03-07,House,9,"Referred: Rules - Regulatory Oversight(H)"
1789813,2024-03-26,House,10,"Executive Session Completed (H)"
1789813,2024-03-26,House,11,"Voted Do Pass (H)"
1789813,2024-03-28,House,12,"Reported Do Pass (H) - AYES: 8 NOES: 0 PRESENT: 0"
1789813,2024-05-01,House,13,"Placed on the Informal Perfection Calendar (H)"
1789813,2024-05-16,House,14,"Dropped from Calendar - Pursuant to House Rules (H)"
1789814,2023-12-01,Senate,1,Prefiled
1789814,2024-01-03,Senate,2,"S First Read"
1789814,2024-01-09,Senate,3,"Second Read and Referred S Judiciary and Civil and Criminal Jurisprudence Committee"
1789814,2024-03-25,Senate,4,"Hearing Conducted S Judiciary and Civil and Criminal Jurisprudence Committee"
1789815,2023-12-01,Senate,1,Prefiled
1789815,2024-01-03,Senate,2,"S First Read"
1789815,2024-01-25,Senate,3,"Second Read and Referred S Transportation, Infrastructure and Public Safety Committee"
1789816,2023-12-01,House,1,"Prefiled (H)"
1789816,2024-01-03,House,2,"Read First Time (H)"
1789816,2024-01-04,House,3,"Read Second Time (H)"
1789816,2024-03-28,House,4,"Referred: Special Committee on Education Reform(H)"
1789816,2024-04-17,House,5,"Public Hearing Completed (H)"
1789816,2024-04-23,House,6,"Executive Session Completed (H)"
1789816,2024-04-23,House,7,"HCS Voted Do Pass (H)"
1789817,2023-12-01,House,1,"Prefiled (H)"
1789817,2024-01-03,House,2,"Read First Time (H)"
1789817,2024-01-04,House,3,"Read Second Time (H)"
1789817,2024-05-17,House,4,"Referred: General Laws(H)"
1789818,2023-12-01,Senate,1,Prefiled
1789818,2024-01-03,Senate,2,"S First Read"
1789818,2024-01-25,Senate,3,"Second Read and Referred S Judiciary and Civil and Criminal Jurisprudence Committee"
1789819,2023-12-01,Senate,1,Prefiled
1789819,2024-01-03,Senate,2,"S First Read"
1789819,2024-01-25,Senate,3,"Second Read and Referred S Select Committee on Empowering Missouri Parents and Children Committee"
1789820,2023-12-01,Senate,1,Prefiled
1789820,2024-01-03,Senate,2,"S First Read"
1789820,2024-01-08,Senate,3,"Second Read and Referred S Judiciary and Civil and Criminal Jurisprudence Committee"
1789820,2024-01-17,Senate,4,"Hearing Conducted S Judiciary and Civil and Criminal Jurisprudence Committee"
1789820,2024-01-24,Senate,5,"Bill Combined (w/SCS/SBs 754, 746, 788, 765, 841, 887, 861)"
1789821,2023-12-01,Senate,1,Prefiled
1789821,2024-01-03,Senate,2,"S First Read"
1789821,2024-01-25,Senate,3,"Second Read and Referred S Judiciary and Civil and Criminal Jurisprudence Committee"
1789821,2024-01-29,Senate,4,"Hearing Conducted S Judiciary and Civil and Criminal Jurisprudence Committee"
1789821,2024-02-05,Senate,5,"SCS Voted Do Pass S Judiciary and Civil and Criminal Jurisprudence Committee (4421S.03C)"
1789822,2023-12-01,Senate,1,Prefiled
1789822,2024-01-03,Senate,2,"S First Read"
1789822,2024-01-25,Senate,3,"Second Read and Referred S Select Committee on Empowering Missouri Parents and Children Committee"
1789822,2024-01-30,Senate,4,"Hearing Cancelled S Select Committee on Empowering Missouri Parents and Children Committee"
1789822,2024-02-06,Senate,5,"Hearing Conducted S Select Committee on Empowering Missouri Parents and Children Committee"
1789822,2024-02-21,Senate,6,"Voted Do Pass S Select Committee on Empowering Missouri Parents and Children Committee"
1789823,2023-12-05,House,1,"Prefiled (H)"
1789823,2024-01-03,House,2,"Read First Time (H)"
1789823,2024-01-04,House,3,"Read Second Time (H)"
1789823,2024-01-18,House,4,"Referred: Children and Families(H)"
1789823,2024-01-24,House,5,"Public Hearing Completed (H)"
1789823,2024-03-12,House,6,"Executive Session Completed (H)"
1789823,2024-03-12,House,7,"HCS Voted Do Pass (H)"
1789823,2024-03-27,House,8,"HCS Reported Do Pass (H) - AYES: 7 NOES: 3 PRESENT: 0"
1789823,2024-03-28,House,9,"Referred: Rules - Regulatory Oversight(H)"
1789823,2024-04-02,House,10,"Executive Session Completed (H)"
1789823,2024-04-02,House,11,"Voted Do Pass (H)"
1789823,2024-04-03,House,12,"Reported Do Pass (H) - AYES: 5 NOES: 3 PRESENT: 0"
