Date,State,Bill No,Title,Action
"May 12, 2023",MO,SB 45,Amends Various Provisions Relating to Health Care,"Conference Report Adopted
                           - House
                      

                      
                          (132 - 23)"
"May 12, 2023",MO,HB 202,Amends State Industrial Hemp Regulations,"Concurrence Vote Passed
                           - House
                      

                      
                          (105 - 47)"
"May 12, 2023",MO,SB 157,Establishes a Loan Forgiveness Program for Mental Health and Public Health Professionals,"Conference Report Adopted
                           - House
                      

                      
                          (99 - 51)"
"May 12, 2023",MO,SB 34,Authorizes Schools to Offer Elective Courses on the Bible,"Bill Passed
                           - House
                      

                      
                          (99 - 45)"
"May 12, 2023",MO,SB 227,Amends Requirements Relating to the Culpable Mental State Necessary for a Homicide Offense,"Bill Passed
                           - House
                      

                      
                          (106 - 49)"
"May 11, 2023",MO,SB 186,Establishes a Loan Forgiveness Fund for Police Officers who take Required Training and Work in the State for a Year,"Conference Report Adopted
                           - House
                      

                      
                          (127 - 5)"
"May 11, 2023",MO,SB 116,Amends Provisions and Regulations Over Disposal of the Dead,"Bill Passed
                           - House
                      

                      
                          (155 - 1)"
"May 10, 2023",MO,SB 40,Requires Background Checks for Students 18 and Older Reenrolling in High School,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (32 - 2)"
"May 10, 2023",MO,SB 398,Prohibits Hand Held Cell Phone Use While Driving,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (26 - 7)"
"May 10, 2023",MO,HB 447,"Amends the Name of the Half-Credit High School Health Class as ""Health and Family Education""","Concurrence Vote Passed
                           - House
                      

                      
                          (133 - 22)"
"May 10, 2023",MO,SB 138,Increases Eligibility of the Loan Forgiveness Program for Large Animal Veterinary Students,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 6)"
"May 10, 2023",MO,SB 398,Prohibits Hand Held Cell Phone Use While Driving,"Bill Passed
                           - House
                      

                      
                          (95 - 39)"
"May 10, 2023",MO,SB 138,Increases Eligibility of the Loan Forgiveness Program for Large Animal Veterinary Students,"Bill Passed
                           - House
                      

                      
                          (107 - 40)"
"May 10, 2023",MO,SB 39,Requires Transgender Student Athletes Play Against Those of Their Biological Sex,"Bill Passed
                           - House
                      

                      
                          (110 - 49)"
"May 10, 2023",MO,SB 189,Amends Certain Provisions on Criminal Laws,"Bill Passed
                           - House
                      

                      
                          (91 - 46)"
"May 10, 2023",MO,SB 49,Prohibits Gender-Affirming Medical Care for Minors,"Bill Passed
                           - House
                      

                      
                          (108 - 50)"
