bill_num,term,session,action_date,chamber,action,order,votes
HR0001,2023_2024,2023-RS,2023-01-11,House,Adopted,4,PASS: 70-47 ~~ https://www.ncleg.gov/Legislation/Votes/RollCallVoteTranscript/2023/H/1
HR0001,2023_2024,2023-RS,2023-01-11,House,Added to Calendar,3,
HR0001,2023_2024,2023-RS,2023-01-11,House,Passed 1st Reading,2,
HR0001,2023_2024,2023-RS,2023-01-11,House,Filed,1,
HB0002,2023_2024,2023-RS,2023-04-03,,Ch. SL 2023-11,31,
HB0002,2023_2024,2023-RS,2023-04-03,,Signed by Gov. 4/3/2023,30,
HB0002,2023_2024,2023-RS,2023-03-24,,Pres. To Gov. 3/24/2023,29,
HB0002,2023_2024,2023-RS,2023-03-23,,Ratified,28,
HB0002,2023_2024,2023-RS,2023-03-22,House,Ordered Enrolled,27,
HB0002,2023_2024,2023-RS,2023-03-22,House,Concurred In S Com Sub,26,PASS: 111-4 ~~ https://www.ncleg.gov/Legislation/Votes/RollCallVoteTranscript/2023/H/94
HB0002,2023_2024,2023-RS,2023-03-20,House,Placed On Cal For 03/22/2023,25,
HB0002,2023_2024,2023-RS,2023-03-20,House,Withdrawn From Com,24,
HB0002,2023_2024,2023-RS,2023-03-15,House,Ref To Com On Appropriations,23,
HB0002,2023_2024,2023-RS,2023-03-15,House,Special Message Received For Concurrence in S Com Sub,22,
HB0002,2023_2024,2023-RS,2023-03-15,Senate,Special Message Sent To House,21,
HB0002,2023_2024,2023-RS,2023-03-15,Senate,Passed 3rd Reading,20,
HB0002,2023_2024,2023-RS,2023-03-15,Senate,Passed 2nd Reading,19,PASS: 46-0 ~~ https://www.ncleg.gov/Legislation/Votes/RollCallVoteTranscript/2023/S/52
HB0002,2023_2024,2023-RS,2023-03-14,Senate,Com Substitute Adopted,18,
HB0002,2023_2024,2023-RS,2023-03-14,Senate,Reptd Fav Com Substitute,17,
HB0002,2023_2024,2023-RS,2023-03-09,Senate,Re-ref Com On Appropriations/Base Budget,16,
HB0002,2023_2024,2023-RS,2023-03-09,Senate,Withdrawn From Com,15,
HB0002,2023_2024,2023-RS,2023-02-27,Senate,Ref To Com On Rules and Operations of the Senate,14,
HB0002,2023_2024,2023-RS,2023-02-27,Senate,Passed 1st Reading,13,
HB0002,2023_2024,2023-RS,2023-02-27,Senate,Regular Message Received From House,12,
HB0002,2023_2024,2023-RS,2023-02-23,House,Regular Message Sent To Senate,11,
HB0002,2023_2024,2023-RS,2023-02-22,House,Passed 3rd Reading,10,
HB0002,2023_2024,2023-RS,2023-02-22,House,Passed 2nd Reading,9,PASS: 114-0 ~~ https://www.ncleg.gov/Legislation/Votes/RollCallVoteTranscript/2023/H/32
HB0002,2023_2024,2023-RS,2023-02-21,House,Placed On Cal For 02/22/2023,8,
HB0002,2023_2024,2023-RS,2023-02-21,House,Cal Pursuant Rule 36(b),7,
HB0002,2023_2024,2023-RS,2023-02-21,House,Reptd Fav,6,
HB0002,2023_2024,2023-RS,2023-02-16,House,"Re-ref Com On Rules, Calendar, and Operations of the House",5,
HB0002,2023_2024,2023-RS,2023-02-16,House,Withdrawn From Com,4,
HB0002,2023_2024,2023-RS,2023-01-26,House,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",3,
HB0002,2023_2024,2023-RS,2023-01-26,House,Passed 1st Reading,2,
HB0002,2023_2024,2023-RS,2023-01-25,House,Filed,1,
HB0003,2023_2024,2023-RS,2023-01-26,House,"Ref to the Com on Education - Universities, if favorable, Rules, Calendar, and Operations of the House",3,
HB0003,2023_2024,2023-RS,2023-01-26,House,Passed 1st Reading,2,
HB0003,2023_2024,2023-RS,2023-01-25,House,Filed,1,
HB0004,2023_2024,2023-RS,2024-05-13,House,"Re-ref to the Com on Health, if favorable, Rules, Calendar, and Operations of the House",5,
HB0004,2023_2024,2023-RS,2024-05-13,House,Withdrawn From Com,4,
HB0004,2023_2024,2023-RS,2023-01-26,House,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",3,
HB0004,2023_2024,2023-RS,2023-01-26,House,Passed 1st Reading,2,
HB0004,2023_2024,2023-RS,2023-01-25,House,Filed,1,
HB0005,2023_2024,2023-RS,2024-06-20,Senate,Re-ref Com On Rules and Operations of the Senate,82,
HB0005,2023_2024,2023-RS,2024-06-20,Senate,Withdrawn From Cal,81,
HB0005,2023_2024,2023-RS,2024-06-12,Senate,Placed On Cal For 06/20/2024,80,
HB0005,2023_2024,2023-RS,2024-06-12,Senate,Withdrawn From Cal,79,
HB0005,2023_2024,2023-RS,2024-06-06,Senate,Placed On Cal For 06/13/2024,78,
HB0005,2023_2024,2023-RS,2024-06-06,Senate,Withdrawn From Cal,77,
HB0005,2023_2024,2023-RS,2024-05-29,Senate,Placed On Cal For 06/06/2024,76,
HB0005,2023_2024,2023-RS,2024-05-29,Senate,Withdrawn From Cal,75,
HB0005,2023_2024,2023-RS,2024-05-23,Senate,Placed On Cal For 05/30/2024,74,
HB0005,2023_2024,2023-RS,2024-05-23,Senate,Withdrawn From Cal,73,
HB0005,2023_2024,2023-RS,2024-05-09,Senate,Placed On Cal For 05/16/2024,72,
HB0005,2023_2024,2023-RS,2024-05-09,Senate,Withdrawn From Cal,71,
HB0005,2023_2024,2023-RS,2024-05-01,Senate,Placed On Cal For 05/09/2024,70,
HB0005,2023_2024,2023-RS,2024-05-01,Senate,Withdrawn From Cal,69,
HB0005,2023_2024,2023-RS,2023-10-25,Senate,Placed On Cal For 11/29/2023,68,
HB0005,2023_2024,2023-RS,2023-10-25,Senate,Withdrawn From Cal,67,
HB0005,2023_2024,2023-RS,2023-10-24,Senate,Placed On Cal For 10/25/2023,66,
HB0005,2023_2024,2023-RS,2023-10-24,Senate,Withdrawn From Cal,65,
HB0005,2023_2024,2023-RS,2023-10-10,Senate,Placed On Cal For 10/12/2023,64,
HB0005,2023_2024,2023-RS,2023-10-10,Senate,Withdrawn From Cal,63,
HB0005,2023_2024,2023-RS,2023-09-22,Senate,Placed On Cal For 09/26/2023,62,
HB0005,2023_2024,2023-RS,2023-09-22,Senate,Withdrawn From Cal,61,
HB0005,2023_2024,2023-RS,2023-09-21,House,"Re-ref Com On Rules, Calendar, and Operations of the House",60,
HB0005,2023_2024,2023-RS,2023-09-21,House,Withdrawn From Cal,59,
HB0005,2023_2024,2023-RS,2023-09-21,House,Cal Pursuant Rule 36(b),58,
HB0005,2023_2024,2023-RS,2023-09-21,House,Withdrawn From Com,57,
HB0005,2023_2024,2023-RS,2023-09-21,House,"Re-ref Com On Rules, Calendar, and Operations of the House",56,
HB0005,2023_2024,2023-RS,2023-09-21,House,Withdrawn From Cal,55,
HB0005,2023_2024,2023-RS,2023-09-21,Senate,Placed On Cal For 09/22/2023,54,
HB0005,2023_2024,2023-RS,2023-09-21,Senate,Withdrawn From Cal,53,
HB0005,2023_2024,2023-RS,2023-09-20,Senate,Placed On Cal For 09/21/2023,52,
HB0005,2023_2024,2023-RS,2023-09-20,Senate,Withdrawn From Cal,51,
HB0005,2023_2024,2023-RS,2023-09-18,House,Cal Pursuant Rule 36(b),50,
HB0005,2023_2024,2023-RS,2023-09-18,House,Withdrawn From Cal,49,
HB0005,2023_2024,2023-RS,2023-09-18,Senate,Placed On Cal For 09/20/2023,48,
HB0005,2023_2024,2023-RS,2023-09-18,Senate,Withdrawn From Cal,47,
HB0005,2023_2024,2023-RS,2023-09-13,Senate,Placed On Cal For 09/19/2023,46,
HB0005,2023_2024,2023-RS,2023-09-13,Senate,Conf Report Passed 2nd,45,PASS: 34-10 ~~ https://www.ncleg.gov/Legislation/Votes/RollCallVoteTranscript/2023/S/449
HB0005,2023_2024,2023-RS,2023-09-12,House,Placed On Cal For 09/19/2023,44,
HB0005,2023_2024,2023-RS,2023-09-12,House,Cal Pursuant Rule 44(d),43,
HB0005,2023_2024,2023-RS,2023-09-12,House,Ruled Material,42,
HB0005,2023_2024,2023-RS,2023-09-12,House,Conf Com Reported,41,
HB0005,2023_2024,2023-RS,2023-09-12,Senate,Placed On Cal For 09/13/2023,40,
HB0005,2023_2024,2023-RS,2023-09-12,Senate,Held As Material,39,
HB0005,2023_2024,2023-RS,2023-09-12,Senate,Conf Com Reported,38,
HB0005,2023_2024,2023-RS,2023-09-12,Senate,Conferees Changed,37,
HB0005,2023_2024,2023-RS,2023-09-07,Senate,Conf Com Appointed,36,
HB0005,2023_2024,2023-RS,2023-08-14,House,Conferees Reappointed,35,
HB0005,2023_2024,2023-RS,2023-08-14,House,Conf Com Dismissed,34,
HB0005,2023_2024,2023-RS,2023-07-12,House,Conf Com Appointed,33,
HB0005,2023_2024,2023-RS,2023-07-12,House,Failed Concur In S Com Sub,32,PASS: 102-0 ~~ https://www.ncleg.gov/Legislation/Votes/RollCallVoteTranscript/2023/H/493
HB0005,2023_2024,2023-RS,2023-06-29,House,Placed On Cal For 07/12/2023,31,
HB0005,2023_2024,2023-RS,2023-06-29,House,Cal Pursuant 36(b),30,
HB0005,2023_2024,2023-RS,2023-06-29,House,Ruled Material,29,
HB0005,2023_2024,2023-RS,2023-06-29,House,Special Message Received For Concurrence in S Com Sub,28,
HB0005,2023_2024,2023-RS,2023-06-29,Senate,Special Message Sent To House,27,
HB0005,2023_2024,2023-RS,2023-06-29,Senate,Passed 3rd Reading,26,
HB0005,2023_2024,2023-RS,2023-06-28,Senate,Passed 2nd Reading,25,
HB0005,2023_2024,2023-RS,2023-06-27,Senate,Reptd Fav,24,
HB0005,2023_2024,2023-RS,2023-06-26,Senate,Re-ref Com On Rules and Operations of the Senate,23,
HB0005,2023_2024,2023-RS,2023-06-26,Senate,Com Substitute Adopted,22,
