bill_id,term,session,short_title,attributes,keywords,commem
HB0002,2023_2024,2023-RS,2022 Budget Technical Corrections.,Public; Contains Appropriations; Contains Local Appropriations; Text has changed,"administration dept., aging, agriculture, agriculture dept., appropriations, attorneys, boards, budgeting, buildings, cancer, capital spending, colleges & universities, commerce, commissions, community colleges, community colleges office, community development, confidentiality, conservation, construction, contracts, corporations, nonprofit, counties, courts, crimes, deq, dhhs, disasters & emergencies, diseases & health disorders, district court, education, elementary education, emergency services, employment, engineers & engineering, environment, exhibitions, firefighters & firefighting, forestry, funding, funds & accounts, grants, hazardous substances, health services, higher education, information technology, infrastructure, insurance, insurance, health, internet, law enforcement, local government, medicaid, minors, municipalities, occupations, parks & recreation areas, personnel, poverty, presented, privacy, public, public health, public instruction dept., ratified, research, salaries & benefits, stem, secondary education, session laws, sheriffs, social services, students, taxation, taxes, excise, teleservices, tobacco, travel & tourism, unc, unc board of governors, utilities, water & sewer systems, water resources, district attorneys, bladen county, edgecombe county, nash county, onslow county, pender county, wake county, wilson county, lincoln county, clean water trust fund, mecklenburg county, charlotte, robeson county, stanly county, gaston county, catawba county, cleveland county, substance abuse, guilford county, hyde county, greensboro, raleigh, rowan county, davidson county, davie county, stokes county, superior court, erwin, chaptered, smuggling & trafficking, tax distribution, boiling springs, emergency equipment, human trafficking comn., tobacco products, youth programs, public safety dept., human trafficking, information technology dept., walnut cove, agritourism, insurance, crop",0
HB0003,2023_2024,2023-RS,UNC Report on Computer Science Credit.,Public; Requests Study,"boards, colleges & universities, computers, curriculum, education, higher education, information technology, public, reports, stem, secondary education, studies, unc, unc board of governors",0
HB0004,2023_2024,2023-RS,Increasing Engagement in STEM Grant Program.,Public; Contains Appropriations; Contains Local Appropriations,"boards, council of state, curriculum, education, education boards, education cabinet, education, state board of, elementary education, funding, grants, local government, public, public instruction dept., public instruction, supt. of, public officials, stem",0
HB0005,2023_2024,2023-RS,Fuquay-Varina/Clemmons Deannexations.,Local; Text has changed; Roll Call; Uncodified,"annexation, boards, charters, city councils, counties, education, education boards, elections, elementary education, extraterritoriality, geography, hotels & motels, kindergarten, local, local government, mayors, motor vehicles, municipalities, planning & zoning, political activity, political parties, public officials, redistricting, secondary education, session laws, taxation, taxes, occupancy, title change, travel & tourism, brunswick county, wake county, mecklenburg county, buncombe county, henderson county, granville county, guilford county, high point, greensboro, franklin county, randolph county, asheville, fuquay-varina, archdale, boiling spring lakes, tax distribution, flat rock, fletcher, hendersonville, summerfield, geographic boundaries, local ordinances, parking & parking structures",0
HB0006,2023_2024,2023-RS,Uniformed Heroes Voting Act.,Public; Text has changed,"clothing, elections, public, textiles",0
HB0007,2023_2024,2023-RS,Stanly Comm. Coll. Safety Funds.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, colleges & universities, community colleges, community colleges office, construction, counties, emergency services, higher education, infrastructure, law enforcement, public, roads & highways, transportation, stanly county, public safety dept.",0
HB0008,2023_2024,2023-RS,Various Statutory Changes.,Public; Text has changed,"boards, colleges & universities, community colleges, computers, curriculum, education, education boards, education, state board of, elementary education, higher education, information technology, kindergarten, local government, presented, public, public instruction dept., ratified, stem, secondary education, unc, chaptered",0
HB0009,2023_2024,2023-RS,Fair Maps Act.,Public; Affects Constitution,"administration dept., appointments, census, commissions, constitution, nc, discrimination, elections, general assembly, human relations comn., legislative services office, membership, minorities, president pro tempore, public, redistricting, speaker, national elections, redistricting comn., minority leader (house), minority leader (senate)",0
HB0010,2023_2024,2023-RS,Require ICE Cooperation & Budget Adjustments.,Public; Contains Appropriations; Contains Local Appropriations; Text has changed,"agriculture, animals, appropriations, armed forces, arts, authorities, boards, budgeting, capital spending, cemeteries, children with special needs, cjrs, coastal resources, colleges & universities, commerce, commerce dept., commissions, community colleges, community colleges office, correctional institutions, counties, criminal procedure, cultural resources, dhhs, disasters & emergencies, economic development, education, education assistance authority, education, state board of, elementary education, emergency management, environment, exhibitions, farmers markets, fish & wildlife, funds & accounts, general assembly, health services, higher education, historic sites & monuments, horticulture, immigration, industrial location, information technology, infrastructure, inspections, insurance, health, internet, jails, judges, kindergarten, law enforcement, local government, lrs, magistrates, manufacturing, medicaid, minors, municipalities, museums, parks & recreation areas, personnel, planning & zoning, poverty, presented, private schools, public, public instruction dept., public officials, ratified, recreation & leisure, reporting, retirement, roads & highways, rural development, salaries & benefits, secondary education, session laws, sheriffs, social services, state controller, state employees, students, telecommunications, teleservices, transportation, transportation dept., tuition, unc, unc board of governors, utilities, veterans, vetoed, water & sewer systems, weather, wildlife resources comn., zoos, cumberland county, new hanover county, onslow county, pittsboro, chatham county, orange county, goldsboro, wayne county, lee county, rowan county, dare county, randolph county, jacksonville, alamance county, caswell county, nags head, sanford, salisbury, disaster relief reserve fund, mebane, art society, national guard, greenhouses, government employees, pension & retirement funds, vouchers, information technology dept., military affairs dept., continuing care facilities, capital & infrastructure fund, spring lake (town), museum of art  , warrants",0
HB0011,2023_2024,2023-RS,Schools for the Deaf and Blind.,Public; Text has changed,"appointments, boards, counties, disabled persons, education, education, state board of, elementary education, general assembly, membership, municipalities, presented, president pro tempore, public, public instruction dept., ratified, secondary education, speaker, wake county, wilson county, burke county, raleigh, wilson, morganton, chaptered, residential schools",0
