bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1679515,2032,H2,4,Passed,2023-04-03,"2022 Budget Technical Corrections","2022 Budget Technical Corrections",0,,2023-04-03,"Ch. SL 2023-11",https://legiscan.com/NC/bill/H2/2023,https://www.ncleg.gov/BillLookUp/2023/H2
1679412,2032,H3,1,Introduced,2023-01-25,"UNC Report on Computer Science Credit","UNC Report on Computer Science Credit",3264,"House Education - Universities",2023-01-26,"Ref to the Com on Education - Universities, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H3/2023,https://www.ncleg.gov/BillLookUp/2023/H3
1679475,2032,H4,1,Introduced,2023-01-25,"Increasing Engagement in STEM Grant Program","Increasing Engagement in STEM Grant Program",659,"House Health",2024-05-13,"Re-ref to the Com on Health, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H4/2023,https://www.ncleg.gov/BillLookUp/2023/H4
1679342,2032,H5,2,Engrossed,2023-03-08,"Fuquay-Varina/Clemmons Deannexations","Fuquay-Varina/Clemmons Deannexations",698,"Senate Rules and Operations of the Senate",2024-06-20,"Re-ref Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H5/2023,https://www.ncleg.gov/BillLookUp/2023/H5
1679561,2032,H6,2,Engrossed,2023-06-15,"Uniformed Heroes Voting Act","Uniformed Heroes Voting Act",698,"Senate Rules and Operations of the Senate",2023-06-15,"Ref To Com On Rules and Operations of the Senate",https://legiscan.com/NC/bill/H6/2023,https://www.ncleg.gov/BillLookUp/2023/H6
1679696,2032,H7,1,Introduced,2023-01-25,"Stanly Comm. Coll. Safety Funds","Stanly Comm. Coll. Safety Funds",639,"House Appropriations",2023-01-26,"Ref to the Com on Appropriations, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H7/2023,https://www.ncleg.gov/BillLookUp/2023/H7
1679400,2032,H8,4,Passed,2023-10-02,"Various Statutory Changes","Various Statutory Changes",0,,2023-10-02,"Ch. SL 2023-132",https://legiscan.com/NC/bill/H8/2023,https://www.ncleg.gov/BillLookUp/2023/H8
1679427,2032,H9,1,Introduced,2023-01-25,"Fair Maps Act","Fair Maps Act",673,"House Rules, Calendar, and Operations of the House",2023-01-26,"Ref To Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H9/2023,https://www.ncleg.gov/BillLookUp/2023/H9
1679533,2032,H10,4,Passed,2024-11-20,"Require ICE Cooperation &amp; Budget Adjustments","Require ICE Cooperation &amp; Budget Adjustments",0,,2024-11-20,"Ch. SL 2024-55",https://legiscan.com/NC/bill/H10/2023,https://www.ncleg.gov/BillLookUp/2023/H10
1679682,2032,H11,4,Passed,2023-04-03,"Schools for the Deaf and Blind","Schools for the Deaf and Blind",0,,2023-04-03,"Ch. SL 2023-10",https://legiscan.com/NC/bill/H11/2023,https://www.ncleg.gov/BillLookUp/2023/H11
1679609,2032,H12,1,Introduced,2023-01-25,"Stanly Cty Airport Authority/Members &amp; Leases","Stanly Cty Airport Authority/Members &amp; Leases",3265,"House Local Government",2023-01-26,"Ref to the Com on Local Government, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H12/2023,https://www.ncleg.gov/BillLookUp/2023/H12
1679594,2032,H13,1,Introduced,2023-01-25,"Reevaluate County Tier System","Reevaluate County Tier System",4017,"House Commerce",2023-01-26,"Ref to the Com on Commerce, if favorable, Local Government, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H13/2023,https://www.ncleg.gov/BillLookUp/2023/H13
1679355,2032,H14,1,Introduced,2023-01-25,"Back the Blue Act of 2023","Back the Blue Act of 2023",657,"House Finance",2023-01-26,"Ref to the Com on Finance, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H14/2023,https://www.ncleg.gov/BillLookUp/2023/H14
1679329,2032,H15,1,Introduced,2023-01-25,"Study on Eliminating the Grocery Tax","Study on Eliminating the Grocery Tax",657,"House Finance",2023-01-26,"Ref to the Com on Finance, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H15/2023,https://www.ncleg.gov/BillLookUp/2023/H15
1680474,2032,H17,1,Introduced,2023-01-25,"Elect the SBE/SPI as SBE Chair","Elect the SBE/SPI as SBE Chair",673,"House Rules, Calendar, and Operations of the House",2023-02-15,"Re-ref Com On Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H17/2023,https://www.ncleg.gov/BillLookUp/2023/H17
1680062,2032,H18,1,Introduced,2023-01-25,"Elk Conservation Permit Auction/Raffle","Elk Conservation Permit Auction/Raffle",680,"House Wildlife Resources",2023-01-26,"Ref to the Com on Wildlife Resources, if favorable, Finance, if favorable, Rules, Calendar, and Operations of the House",https://legiscan.com/NC/bill/H18/2023,https://www.ncleg.gov/BillLookUp/2023/H18
