bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1679515,2662180,text,15489,application/pdf,Introduced,https://legiscan.com/NC/text/H2/id/2662180,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H2v0.pdf
1679515,2666837,text,13662,application/pdf,Amended,https://legiscan.com/NC/text/H2/id/2666837,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H2v1.pdf
1679515,2745946,text,204470,application/pdf,Amended,https://legiscan.com/NC/text/H2/id/2745946,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H2v2.pdf
1679515,2757976,text,198192,application/pdf,Enrolled,https://legiscan.com/NC/text/H2/id/2757976,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H2v3.pdf
1679515,2769288,text,198140,application/pdf,Chaptered,https://legiscan.com/NC/text/H2/id/2769288,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H2v4.pdf
1679412,2662089,text,17020,application/pdf,Introduced,https://legiscan.com/NC/text/H3/id/2662089,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H3v0.pdf
1679412,2666916,text,15129,application/pdf,Amended,https://legiscan.com/NC/text/H3/id/2666916,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H3v1.pdf
1679475,2662143,text,88776,application/pdf,Introduced,https://legiscan.com/NC/text/H4/id/2662143,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H4v0.pdf
1679475,2666763,text,137519,application/pdf,Amended,https://legiscan.com/NC/text/H4/id/2666763,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H4v1.pdf
1679342,2662025,text,21755,application/pdf,Introduced,https://legiscan.com/NC/text/H5/id/2662025,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H5v0.pdf
1679342,2666841,text,18612,application/pdf,Amended,https://legiscan.com/NC/text/H5/id/2666841,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H5v1.pdf
1679342,2697378,text,13137,application/pdf,Amended,https://legiscan.com/NC/text/H5/id/2697378,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H5v2.pdf
1679342,2830775,text,14712,application/pdf,Amended,https://legiscan.com/NC/text/H5/id/2830775,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H5v3.pdf
1679561,2662222,text,70451,application/pdf,Introduced,https://legiscan.com/NC/text/H6/id/2662222,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H6v0.pdf
1679561,2666809,text,121779,application/pdf,Amended,https://legiscan.com/NC/text/H6/id/2666809,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H6v1.pdf
1679561,2827536,text,119948,application/pdf,Amended,https://legiscan.com/NC/text/H6/id/2827536,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H6v2.pdf
1679696,2662342,text,15735,application/pdf,Introduced,https://legiscan.com/NC/text/H7/id/2662342,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H7v0.pdf
1679696,2666867,text,13579,application/pdf,Amended,https://legiscan.com/NC/text/H7/id/2666867,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H7v1.pdf
1679400,2662078,text,83449,application/pdf,Introduced,https://legiscan.com/NC/text/H8/id/2662078,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H8v0.pdf
1679400,2666919,text,134022,application/pdf,Amended,https://legiscan.com/NC/text/H8/id/2666919,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H8v1.pdf
1679400,2698034,text,136239,application/pdf,Amended,https://legiscan.com/NC/text/H8/id/2698034,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H8v2.pdf
1679400,2715806,text,136329,application/pdf,Amended,https://legiscan.com/NC/text/H8/id/2715806,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H8v3.pdf
1679400,2842418,text,200478,application/pdf,Enrolled,https://legiscan.com/NC/text/H8/id/2842418,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H8v4.pdf
1679400,2843591,text,200885,application/pdf,Chaptered,https://legiscan.com/NC/text/H8/id/2843591,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H8v5.pdf
1679427,2662103,text,166448,application/pdf,Introduced,https://legiscan.com/NC/text/H9/id/2662103,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H9v0.pdf
1679427,2665346,text,203429,application/pdf,Amended,https://legiscan.com/NC/text/H9/id/2665346,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H9v1.pdf
1679533,2662196,text,83950,application/pdf,Introduced,https://legiscan.com/NC/text/H10/id/2662196,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v0.pdf
1679533,2666755,text,133636,application/pdf,Amended,https://legiscan.com/NC/text/H10/id/2666755,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v1.pdf
1679533,2762633,text,135249,application/pdf,Amended,https://legiscan.com/NC/text/H10/id/2762633,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v2.pdf
1679533,2989746,text,140398,application/pdf,Amended,https://legiscan.com/NC/text/H10/id/2989746,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v3.pdf
1679533,2991652,text,140352,application/pdf,Amended,https://legiscan.com/NC/text/H10/id/2991652,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v4.pdf
1679533,3020683,text,247059,application/pdf,Enrolled,https://legiscan.com/NC/text/H10/id/3020683,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v5.pdf
1679533,3028694,text,247572,application/pdf,Chaptered,https://legiscan.com/NC/text/H10/id/3028694,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H10v6.pdf
1679682,2662329,text,206102,application/pdf,Introduced,https://legiscan.com/NC/text/H11/id/2662329,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H11v0.pdf
1679682,2665415,text,243668,application/pdf,Amended,https://legiscan.com/NC/text/H11/id/2665415,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H11v1.pdf
1679682,2698030,text,249447,application/pdf,Amended,https://legiscan.com/NC/text/H11/id/2698030,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H11v2.pdf
1679682,2755464,text,238577,application/pdf,Enrolled,https://legiscan.com/NC/text/H11/id/2755464,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H11v3.pdf
1679682,2768926,text,239251,application/pdf,Chaptered,https://legiscan.com/NC/text/H11/id/2768926,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H11v4.pdf
1679609,2662265,text,80701,application/pdf,Introduced,https://legiscan.com/NC/text/H12/id/2662265,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H12v0.pdf
1679609,2666832,text,131856,application/pdf,Amended,https://legiscan.com/NC/text/H12/id/2666832,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H12v1.pdf
1679594,2662252,text,16293,application/pdf,Introduced,https://legiscan.com/NC/text/H13/id/2662252,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H13v0.pdf
1679594,2666881,text,14533,application/pdf,Amended,https://legiscan.com/NC/text/H13/id/2666881,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H13v1.pdf
1679355,2662037,text,15390,application/pdf,Introduced,https://legiscan.com/NC/text/H14/id/2662037,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H14v0.pdf
1679355,2665386,text,13464,application/pdf,Amended,https://legiscan.com/NC/text/H14/id/2665386,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H14v1.pdf
1679329,2662013,text,15062,application/pdf,Introduced,https://legiscan.com/NC/text/H15/id/2662013,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H15v0.pdf
1679329,2666165,text,13403,application/pdf,Amended,https://legiscan.com/NC/text/H15/id/2666165,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H15v1.pdf
1680474,2663210,text,22039,application/pdf,Introduced,https://legiscan.com/NC/text/H17/id/2663210,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H17v0.pdf
1680474,2665353,text,19628,application/pdf,Amended,https://legiscan.com/NC/text/H17/id/2665353,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H17v1.pdf
1680474,2685663,text,18587,application/pdf,Amended,https://legiscan.com/NC/text/H17/id/2685663,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H17v2.pdf
1680474,2699373,text,20628,application/pdf,Amended,https://legiscan.com/NC/text/H17/id/2699373,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H17v3.pdf
1680062,2662809,text,83129,application/pdf,Introduced,https://legiscan.com/NC/text/H18/id/2662809,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H18v0.pdf
1680062,2666858,text,132797,application/pdf,Amended,https://legiscan.com/NC/text/H18/id/2666858,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H18v1.pdf
1679813,2662578,text,19128,application/pdf,Introduced,https://legiscan.com/NC/text/H19/id/2662578,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H19v0.pdf
1679813,2669714,text,16457,application/pdf,Amended,https://legiscan.com/NC/text/H19/id/2669714,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H19v1.pdf
1679896,2662655,text,25792,application/pdf,Introduced,https://legiscan.com/NC/text/H20/id/2662655,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H20v0.pdf
1679896,2670068,text,23061,application/pdf,Amended,https://legiscan.com/NC/text/H20/id/2670068,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H20v1.pdf
1679896,2793331,text,23945,application/pdf,Amended,https://legiscan.com/NC/text/H20/id/2793331,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H20v2.pdf
