bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1653745,1231432,2023-01-11,Senate,"Motion 8 To Adopt",50,0,0,0,50
1653989,1231433,2023-01-11,Senate,"Second Reading",50,0,0,0,50
1653989,1231435,2023-01-11,House,"Second Reading",116,0,1,3,120
1654237,1231434,2023-01-11,House,"R2 For Adoption",70,47,0,3,120
1679342,1265196,2023-03-01,House,"Second Reading",116,0,0,4,120
1679342,1270107,2023-03-07,House,"Third Reading",113,0,1,6,120
1679342,1348517,2023-06-28,Senate,"Second Reading",46,0,0,4,50
1679342,1348616,2023-06-29,Senate,"Third Reading",39,0,0,11,50
1679342,1350369,2023-07-12,House,"R2 Ruled Mat&#39;l M11 Not Concur",102,0,1,17,120
1679342,1351644,2023-07-12,House,"R2 Ruled Mat&#39;l M11 Not Concur",102,0,1,17,120
1679342,1354059,2023-09-13,Senate,"Conference Rpt Second Reading For Adoption",34,10,0,6,50
1679369,1264056,2023-02-28,Senate,"Second Reading",36,10,0,4,50
1679369,1265179,2023-03-01,Senate,"Third Reading",36,10,0,4,50
1679400,1271111,2023-03-08,House,"Second Reading",115,2,0,3,120
1679400,1355135,2023-09-21,Senate,"Amendment 1",43,4,0,3,50
1679400,1355136,2023-09-21,Senate,"Amendment 2",47,0,0,3,50
1679400,1355137,2023-09-21,Senate,"Second Reading",47,0,0,3,50
1679400,1355172,2023-09-21,House,"M11 Concur Sen. Amd. 1 and 2",102,8,0,10,120
1679503,1348277,2023-06-28,House,"Second Reading",66,47,0,7,120
1679503,1348278,2023-06-28,House,"A2 Cervania Second Reading",46,67,0,7,120
1679503,1348279,2023-06-28,House,"A1 Quick Second Reading",46,67,0,7,120
1679503,1351546,2023-08-16,Senate,"Conference Report Motion 8 To Adopt",28,17,0,5,50
1679503,1351547,2023-08-16,House,"C RPT Adoption",70,43,1,6,120
1679515,1259201,2023-02-22,House,"Second Reading",114,0,1,5,120
1679515,1276379,2023-03-15,Senate,"Second Reading",46,0,0,4,50
1679515,1281654,2023-03-22,House,"M11 Concur",111,4,0,5,120
1679533,1286538,2023-03-28,House,"Second Reading",71,44,2,3,120
1679533,1286539,2023-03-28,House,"A1 Cunningham Second Reading",115,0,2,3,120
1679533,1438062,2024-05-02,Senate,"Amendment 1",44,0,0,6,50
1679533,1438063,2024-05-02,Senate,"Amendment 2 Motion 1 To Table",28,16,0,6,50
1679533,1438064,2024-05-02,Senate,"Second Reading",28,16,0,6,50
1679533,1443148,2024-05-15,House,"M11 Not Concur",108,3,0,9,120
1679533,1467256,2024-09-09,Senate,"Conference Report Motion 8 To Adopt",27,17,0,6,50
1679533,1467276,2024-09-11,House,"C RPT Adoption",67,43,0,8,118
1679533,1467277,2024-09-11,House,"C RPT Adoption M4 Previous Question",67,43,0,8,118
1679533,1469393,2024-11-19,House,"Veto Override",72,44,0,4,120
1679533,1469394,2024-11-19,House,"Veto Override M4 Previous Question",69,47,0,4,120
1679533,1469410,2024-11-20,Senate,"Motion 11 Veto Override",30,19,0,1,50
1679561,1344059,2023-06-14,House,"Second Reading",105,1,0,14,120
1679682,1264949,2023-03-01,House,"Second Reading",71,45,0,4,120
1679682,1280474,2023-03-21,Senate,"Second Reading",29,17,0,4,50
1679896,1318002,2023-05-03,House,"Second Reading",112,5,1,2,120
1679982,1246656,2023-02-09,Senate,"Second Reading",44,0,0,6,50
1679982,1293128,2023-04-04,House,"Second Reading",115,0,0,5,120
1679982,1316533,2023-05-02,Senate,"Motion 9 To Concur",16,32,0,2,50
1679982,1318186,2023-05-03,House,"C RPT Adoption",71,46,0,3,120
