Date,State,Bill No,Title,Action
"Dec. 2, 2024",NC,SB 382,Transfers $227 Million from North Carolina's Reserve Fund to the Helene Fund and Rescinds Election Board Appointme ...,"Veto Override Passed
                           - Senate
                      

                      
                          (30 - 19)"
"Dec. 2, 2024",NC,HB 151,Authorizes a Joint Resolution Establishing Term Limits for Congress,"Joint Resolution Passed
                           - Senate
                      

                      
                          (29 - 20)"
"Nov. 20, 2024",NC,SB 382,Transfers $227 Million from North Carolina's Reserve Fund to the Helene Fund and Rescinds Election Board Appointme ...,"Conference Report Adopted
                           - House
                      

                      
                          (63 - 46)"
"Oct. 24, 2024",NC,SB 743,Appropriates Emergency Funding for the Disaster Recovery Act Part II,"Conference Report Adopted
                           - Senate
                      

                      
                          (46 - 0)"
"Oct. 9, 2024",NC,HB 149,Appropriates Emergency Funding for the Disaster Recovery Act Part I,"Conference Report Adopted
                           - Senate
                      

                      
                          (48 - 0)"
"Oct. 9, 2024",NC,HB 149,Appropriates Emergency Funding for the Disaster Recovery Act Part I,"Conference Report Adopted
                           - House
                      

                      
                          (113 - 0)"
"Sept. 11, 2024",NC,SB 166,Amends and Reforms Certain Regulations Surrounding Building Codes,"Veto Override Passed
                           - House
                      

                      
                          (70 - 40)"
"Sept. 9, 2024",NC,SB 166,Amends and Reforms Certain Regulations Surrounding Building Codes,"Veto Override Passed
                           - Senate
                      

                      
                          (27 - 17)"
"Sept. 9, 2024",NC,HB 155,Authorizes Modified Utility Vehicles to Drive on Highways,"Veto Override Passed
                           - Senate
                      

                      
                          (27 - 17)"
"Sept. 9, 2024",NC,HB 556,Prohibits Landlords from Refusing Tenants Based on their Lawful Source of Income and Clarifies Changes to Ordinanc ...,"Veto Override Passed
                           - Senate
                      

                      
                          (27 - 17)"
"Sept. 9, 2024",NC,HB 690,Prohibits State Agencies from Using Cryptocurrency as Payments,"Veto Override Passed
                           - Senate
                      

                      
                          (27 - 17)"
"Sept. 9, 2024",NC,SB 445,Amends the Recording of Court-Filed Documents,"Veto Override Passed
                           - Senate
                      

                      
                          (27 - 17)"
"Aug. 1, 2024",NC,HB 690,Prohibits State Agencies from Using Cryptocurrency as Payments,"Veto Override Passed
                           - House
                      

                      
                          (73 - 41)"
"July 31, 2024",NC,HB 556,Prohibits Landlords from Refusing Tenants Based on their Lawful Source of Income and Clarifies Changes to Ordinanc ...,"Veto Override Passed
                           - House
                      

                      
                          (74 - 40)"
"July 31, 2024",NC,HB 155,Authorizes Modified Utility Vehicles to Drive on Highways,"Veto Override Passed
                           - House
                      

                      
                          (73 - 41)"
"June 27, 2024",NC,SB 425,Amends Health Care Policy,"Conference Report Adopted
                           - House
                      

                      
                          (104 - 7)"
"June 27, 2024",NC,HB 250,Requires Autopsies to Remain Public Record,"Conference Report Adopted
                           - House
                      

                      
                          (85 - 18)"
"June 27, 2024",NC,SB 559,Authorizes Charter Schools to Elect to Become Part of the State Health Plan,"Conference Report Adopted
                           - House
                      

                      
                          (86 - 19)"
"June 27, 2024",NC,HB 199,Authorizes Digital Drivers Licenses,"Concurrence Vote Passed
                           - House
                      

                      
                          (108 - 2)"
"June 27, 2024",NC,SB 607,Establishes Various Regulations Over the North Carolina Railroad Charter,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 13)"
"June 27, 2024",NC,SB 357,Amends the 2023 Appropriations Act and Allocates Funds to Various State Agencies and Departments,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (43 - 1)"
"June 27, 2024",NC,SB 332,Appropriates Funding to Implement State Teacher Raises,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (44 - 0)"
"June 27, 2024",NC,SB 527,Authorizes the Sale of To-Go Alcoholic Beverages and Defines Mixed Alcoholic Beverages,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (33 - 11)"
