bill_id,term,session,summary,commem
LB0001,2023_2024,RS,Eliminate obsolete provisions relating to funds that have terminated,0
LB0002,2023_2024,RS,Create the Commission on Asian American Affairs,0
LB0003,2023_2024,RS,Change provisions for tax levies for bonds issued by political subdivisions,0
LB0004,2023_2024,RS,"Change homestead exemption provisions relating to qualifications, application requirements, and penalties",0
LB0005,2023_2024,RS,Provide for compensability under Nebraska Workers’ Compensation Act for  mental injuries resulting from workplace violence,0
LB0006,2023_2024,RS,Prohibit conditional use permits and zoning exceptions for delinquent property taxpayers,0
LB0007,2023_2024,RS,Provide a statute of limitations for exposure to hazardous or toxic chemicals,0
LB0008,2023_2024,RS,Change provisions of the Mobile Home Landlord and Tenant Act and provide for certificates of title and liens for abandoned mobile homes,0
LB0009,2023_2024,RS,Change independent expenditure reporting requirements and require electioneering reporting,0
LB0010,2023_2024,RS,Change motor vehicle and property tax exemptions for disabled veterans,0
LB0011,2023_2024,RS,Change provisions relating to domestic abuse protection orders,0
LB0012,2023_2024,RS,Create the Nebraska Human Breast Milk Bank,0
LB0013,2023_2024,RS,Require coverage of human breast milk under the Medical Assistance Act,0
LB0014,2023_2024,RS,Change provisions under the Young Adult Bridge to Independence Act,0
LB0015,2023_2024,RS,Change provisions of the Wage and Hour Act,0
LB0016,2023_2024,RS,"Require occupational boards to issue certain credentials based on credentials or work experience in another jurisdiction, provide and change requirements regarding applicants with a criminal conviction, provide for jurisprudential examinations and appeals, change requirements for membership of the State Electrical Board, and adopt the Interior Design Voluntary Registration Act",0
LB0017,2023_2024,RS,"Authorize possession of a firearm on school grounds by a full-time, off-duty law enforcement officer",0
LB0018,2023_2024,RS,Provide for motions for new trial based on newly discovered evidence,0
LB0019,2023_2024,RS,Change dollar amount thresholds for criminal penalty classifications,0
LB0020,2023_2024,RS,Provide for restoration of voting rights upon completion of a felony sentence or probation for a felony,0
LB0021,2023_2024,RS,Change provisions relating to the city council of a city of the metropolitan class,0
LB0022,2023_2024,RS,Decriminalize use and possession of marijuana,0
LB0023,2023_2024,RS,Change provisions relating to interventions in paternity proceedings,0
LB0024,2023_2024,RS,"Change tax provisions relating to cigars, cheroots, and stogies",0
LB0025,2023_2024,RS,Allow claims involving child abuse or sexual assault of a child under the Political Subdivisions Tort Claims Act,0
LB0026,2023_2024,RS,Adopt the Rural Municipal Broadband Access Act,0
LB0027,2023_2024,RS,Change provisions relating to appointment of counsel for defendants,0
LB0028,2023_2024,RS,Change provisions relating to decisions on appeals under the Tax Equalization and Review Commission Act,0
LB0029,2023_2024,RS,Change provisions relating to the assessment of real property that suffers significant property damage,0
LB0030,2023_2024,RS,Provide for answers of no contest in adjudication hearings under the Nebraska Juvenile Code,0
LB0031,2023_2024,RS,Require train crews of at least two individuals as prescribed,0
LB0032,2023_2024,RS,Change requirements for issuers of medicare supplement insurance policies or  certificates relating to coverage of individuals under sixty-five years of age who are eligible for medicare by reason of disability or end-stage renal disease,0
LB0033,2023_2024,RS,Change provisions relating to the powers of mayors in certain cities and eliminate obsolete 2020 redistricting provisions,0
LB0034,2023_2024,RS,Provide for a presumption of disposition under the Nebraska Juvenile Code for crimes committed by defendants under eighteen years of age and change the definition of juvenile under the code,0
LB0035,2023_2024,RS,Change provisions relating to child care assistance,0
LB0035A,2023_2024,RS,Appropriation Bill,0
LB0036,2023_2024,RS,Change individual income tax brackets and rates,0
LB0037,2023_2024,RS,Change motor vehicle identification inspection requirements,0
LB0038,2023_2024,RS,Provide an income tax adjustment relating to federal retirement annuities,0
LB0039,2023_2024,RS,Require disability impact statements for certain legislation,0
LB0040,2023_2024,RS,Adopt the Riparian and Water Quality Practices Act,0
LB0041,2023_2024,RS,Prohibit state agencies from imposing annual filing and reporting requirements on charitable organizations,0
