bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1643650,2028,LB1,4,Passed,2024-02-14,"Eliminate obsolete provisions relating to funds that have terminated","Eliminate obsolete provisions relating to funds that have terminated",0,,2024-02-14,"Approved by Governor on February 13, 2024",https://legiscan.com/NE/bill/LB1/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50094
1643448,2028,LB2,6,Failed,2024-04-18,"Create the Commission on Asian American Affairs","Create the Commission on Asian American Affairs",0,,2024-04-25,"Provisions/portions of LB2 amended into LB1300 by AM3227",https://legiscan.com/NE/bill/LB2/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50373
1643777,2028,LB3,6,Failed,2023-06-01,"Change provisions for tax levies for bonds issued by political subdivisions","Change provisions for tax levies for bonds issued by political subdivisions",0,,2023-06-01,"Provisions/portions of LB3 amended into LB92 by AM1364",https://legiscan.com/NE/bill/LB3/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50245
1643434,2028,LB4,6,Failed,2023-06-01,"Change homestead exemption provisions relating to qualifications, application requirements, and penalties","Change homestead exemption provisions relating to qualifications, application requirements, and penalties",0,,2024-01-24,"Brewer name added",https://legiscan.com/NE/bill/LB4/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49658
1643678,2028,LB5,6,Failed,2024-04-18,"Provide for compensability under Nebraska Workersâ€™ Compensation Act for mental injuries resulting from workplace violence","Provide for compensability under Nebraska Workersâ€™ Compensation Act for mental injuries resulting from workplace violence",0,,2024-04-18,"Indefinitely postponed",https://legiscan.com/NE/bill/LB5/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50133
1643498,2028,LB6,6,Failed,2024-04-18,"Prohibit conditional use permits and zoning exceptions for delinquent property taxpayers","Prohibit conditional use permits and zoning exceptions for delinquent property taxpayers",0,,2024-04-18,"Indefinitely postponed",https://legiscan.com/NE/bill/LB6/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50032
1643756,2028,LB7,6,Failed,2024-04-18,"Provide a statute of limitations for exposure to hazardous or toxic chemicals","Provide a statute of limitations for exposure to hazardous or toxic chemicals",0,,2024-04-18,"Indefinitely postponed",https://legiscan.com/NE/bill/LB7/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50033
1643591,2028,LB8,6,Failed,2024-04-18,"Change provisions of the Mobile Home Landlord and Tenant Act and provide for certificates of title and liens for abandoned mobile homes","Change provisions of the Mobile Home Landlord and Tenant Act and provide for certificates of title and liens for abandoned mobile homes",0,,2024-04-18,"Indefinitely postponed",https://legiscan.com/NE/bill/LB8/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50136
1643429,2028,LB9,6,Failed,2024-04-18,"Change independent expenditure reporting requirements and require electioneering reporting","Change independent expenditure reporting requirements and require electioneering reporting",0,,2024-04-18,"Indefinitely postponed",https://legiscan.com/NE/bill/LB9/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50214
1643467,2028,LB10,6,Failed,2024-04-18,"Change motor vehicle and property tax exemptions for disabled veterans","Change motor vehicle and property tax exemptions for disabled veterans",0,,2024-04-18,"Indefinitely postponed",https://legiscan.com/NE/bill/LB10/2023,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50262
