bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1643650,2623863,text,49498,application/pdf,Introduced,https://legiscan.com/NE/text/LB1/id/2623863,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB1.pdf
1643650,2910694,text,49530,application/pdf,Enrolled,https://legiscan.com/NE/text/LB1/id/2910694,https://nebraskalegislature.gov/FloorDocs/108/PDF/Final/LB1.pdf
1643650,2933090,text,48395,application/pdf,Chaptered,https://legiscan.com/NE/text/LB1/id/2933090,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB1.pdf
1643448,2623676,text,56808,application/pdf,Introduced,https://legiscan.com/NE/text/LB2/id/2623676,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB2.pdf
1643777,2623981,text,61476,application/pdf,Introduced,https://legiscan.com/NE/text/LB3/id/2623981,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB3.pdf
1643434,2623664,text,66601,application/pdf,Introduced,https://legiscan.com/NE/text/LB4/id/2623664,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB4.pdf
1643678,2623889,text,62495,application/pdf,Introduced,https://legiscan.com/NE/text/LB5/id/2623889,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB5.pdf
1643498,2623723,text,82655,application/pdf,Introduced,https://legiscan.com/NE/text/LB6/id/2623723,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB6.pdf
1643756,2623961,text,54908,application/pdf,Introduced,https://legiscan.com/NE/text/LB7/id/2623961,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB7.pdf
1643591,2623808,text,162941,application/pdf,Introduced,https://legiscan.com/NE/text/LB8/id/2623808,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB8.pdf
1643429,2623659,text,69094,application/pdf,Introduced,https://legiscan.com/NE/text/LB9/id/2623659,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB9.pdf
1643467,2623695,text,54442,application/pdf,Introduced,https://legiscan.com/NE/text/LB10/id/2623695,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB10.pdf
1643772,2623976,text,60028,application/pdf,Introduced,https://legiscan.com/NE/text/LB11/id/2623976,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB11.pdf
1643516,2623739,text,51089,application/pdf,Introduced,https://legiscan.com/NE/text/LB12/id/2623739,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB12.pdf
1643575,2623793,text,64305,application/pdf,Introduced,https://legiscan.com/NE/text/LB13/id/2623793,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB13.pdf
1643855,2624080,text,109313,application/pdf,Introduced,https://legiscan.com/NE/text/LB14/id/2624080,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB14.pdf
1643615,2623831,text,58281,application/pdf,Introduced,https://legiscan.com/NE/text/LB15/id/2623831,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB15.pdf
