bill_id,people_id,position
1643420,20432,1
1643424,23684,1
1643429,18410,1
1643434,22355,1
1643440,20434,1
1643448,22355,1
1643458,18410,1
1643462,22138,1
1643467,18410,1
1643474,18638,1
1643482,23684,1
1643488,18370,1
1643498,18410,1
1643503,18410,1
1643510,18638,1
1643516,18410,1
1643521,23101,1
1643532,22137,1
1643540,22138,1
1643544,18410,1
1643550,20434,1
1643558,18370,1
1643563,23685,1
1643575,18410,1
1643580,20432,1
1643585,18370,1
1643591,18410,1
1643599,22138,1
1643604,23101,1
1643615,23685,1
1643620,20434,1
1643624,23684,1
1643634,22355,1
1643639,23684,1
1643650,10907,1
1643655,18370,1
1643663,20435,1
1643669,20435,1
1643678,18410,1
1643690,20936,1
1643695,22137,1
1643703,23684,1
1643709,20433,1
1643713,23763,1
1643721,18370,1
1643732,22138,1
1643738,6952,1
1643744,20434,1
1643751,23684,1
1643756,18410,1
1643766,18370,1
1643772,18410,1
1643777,22355,1
1643786,18370,1
1643791,18370,1
1643796,22137,1
1643806,18370,1
1643813,18370,1
1643818,23101,1
1643824,23684,1
1643829,20433,1
1643855,23684,1
1643861,22260,1
1643866,20613,1
1643873,22260,1
1643880,22130,1
1643886,22130,1
1643896,22282,1
1643903,22130,1
1643909,22260,1
1643915,20432,1
1643922,18638,1
1643929,18638,1
1643938,18505,1
1643945,23101,1
1643954,20432,1
1643961,20537,1
1643968,18638,1
1643975,18410,1
1643984,22130,1
1643991,20613,1
1643997,20434,1
1644003,20613,1
1644013,22355,1
1644019,18638,1
1644029,20537,1
1644035,20537,1
1644043,22137,1
1644051,18555,1
1644056,22130,1
1644064,22260,1
1644073,20435,1
1644079,22282,1
1644085,20433,1
1644093,18410,1
1644099,20537,1
1644106,20433,1
1644110,18639,1
1644464,20613,1
1644475,18638,1
1644489,23101,1
1644502,18982,1
1644517,18982,1
1644530,20613,1
1644544,20613,1
1644557,20613,1
1644571,20613,1
1644585,20432,1
1644597,18982,1
1644612,18638,1
1644625,19282,1
1644639,18638,1
1644674,18554,1
1644684,18554,1
1644697,18982,1
1644707,22137,1
1644717,22282,1
1644731,18982,1
1644746,18637,1
1644755,20936,1
1644767,23763,1
1644779,23763,1
1644794,20799,1
1644805,23763,1
1644816,18505,1
1644835,22137,1
1644842,18982,1
1644854,20434,1
1644866,20434,1
1644879,20936,1
1644892,23764,1
1644904,18554,1
1644919,22130,1
1644926,20936,1
1644941,18554,1
1644956,22137,1
1644971,23685,1
1644979,18982,1
1644993,20936,1
1645011,20936,1
1645018,18982,1
1645031,18982,1
1645043,23763,1
1645055,23685,1
1645063,24932,1
1645082,20799,1
1645093,18982,1
1645109,20434,1
1645119,23765,1
1645132,18554,1
1645144,23763,1
1645153,6952,1
1645169,18982,1
1645183,20434,1
1645194,22130,1
1645206,23763,1
1645217,22137,1
1645227,20936,1
1645234,24932,1
1645884,22282,1
1645894,18554,1
1645905,18982,1
1645916,23684,1
1645928,18638,1
1645940,22282,1
1645951,18982,1
1645965,18982,1
1645980,20435,1
1645990,20433,1
1646003,23684,1
1646014,23684,1
1646024,23167,1
1646037,22138,1
1646048,20433,1
1646058,18638,1
1646069,20613,1
1646082,23877,1
1646098,18982,1
1646110,23101,1
1646122,23167,1
1646135,23764,1
1646148,20433,1
1646161,20433,1
1646171,23160,1
1646183,23167,1
1646195,22282,1
1646211,18982,1
1646225,20936,1
1646236,23101,1
1646249,22138,1
1646262,23160,1
1646274,20433,1
1646286,22138,1
1646298,22138,1
1646308,20537,1
1646320,18556,1
1646345,23160,1
1646371,23877,1
1646398,22137,1
1646424,22282,1
1646454,22137,1
1646481,18555,1
1646508,20936,1
1646534,22137,1
1646563,18505,1
1646727,18556,1
1646871,16896,1
1647015,22130,1
1647155,23685,1
1647296,18556,1
1647442,16896,1
1647582,18556,1
1647727,22137,1
1647869,23876,1
1648010,22137,1
1648155,18556,1
1648297,18982,1
1648437,18982,1
1648581,20435,1
1648724,22137,1
1648864,18640,1
1650094,18637,1
1650103,18638,1
1650110,18370,1
1650121,22138,1
1650129,23685,1
1650138,23980,1
1650147,23877,1
1650156,22282,1
1650164,18370,1
1650174,18370,1
1650182,23685,1
1650192,23980,1
1650201,20936,1
1650209,18370,1
1650221,22137,1
1650232,24682,1
1650238,23764,1
1650248,23684,1
1650257,18637,1
1650267,18638,1
1650274,22260,1
1650285,18640,1
1650293,22137,1
1650303,24682,1
1650311,18370,1
1650320,22138,1
1650327,23980,1
1650337,20613,1
1650349,23685,1
1650356,18640,1
1650364,18370,1
1650373,20613,1
1650380,23684,1
1650390,18410,1
1650398,20435,1
1650406,23877,1
1650414,18505,1
1650422,23980,1
1650430,22138,1
1650441,22282,1
1650447,20613,1
1650455,18638,1
1650461,22282,1
1650499,18370,1
1650519,18555,1
1650546,18640,1
1650569,18558,1
1650591,18504,1
1650620,6959,1
1650644,6959,1
1650668,18555,1
1650698,18505,1
1650720,18558,1
1650748,18504,1
1650774,18555,1
1650797,18555,1
1650825,18555,1
1650854,18504,1
1650875,6959,1
1650902,18637,1
1650928,22138,1
1650949,18555,1
1650979,18555,1
1651003,18555,1
1651028,18555,1
1651050,18505,1
1651077,18555,1
1651102,22138,1
1651124,23876,1
1651149,18555,1
1651177,18556,1
1651198,18556,1
1651218,16896,1
1652164,20432,1
1652243,18555,1
1652326,6952,1
1652408,18640,1
1652491,16896,1
1652571,22355,1
1652653,24114,1
1652739,18410,1
1652821,18554,1
1652905,20432,1
1652986,18640,1
1653069,20432,1
1653152,16896,1
1653237,23160,1
1653320,20432,1
1653399,22138,1
1653484,6952,1
1653567,23101,1
1653650,18554,1
1653752,6952,1
1653764,6952,1
1653779,22138,1
1653794,22282,1
1653811,18639,1
1653829,23764,1
1653844,23764,1
1653862,18639,1
1653879,20537,1
1653895,23877,1
1653911,23765,1
1653925,18639,1
1653944,18556,1
1653960,20936,1
1653977,18556,1
1653997,18504,1
1654013,23684,1
1654029,18982,1
1654044,18639,1
1654062,20433,1
1654080,20537,1
1654094,6952,1
1654109,18639,1
1654133,22282,1
1654147,18639,1
1654164,20936,1
1654181,22282,1
1654197,23764,1
1654214,22282,1
1654229,20433,1
1654249,20537,1
1654265,18558,1
