bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1884824,3015170,text,444607,application/pdf,Introduced,https://legiscan.com/NE/text/LB1/id/3015170,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB1_S1.pdf
1884853,3015178,text,177139,application/pdf,Introduced,https://legiscan.com/NE/text/LB2/id/3015178,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB2_S1.pdf
1884853,3017770,text,120883,application/pdf,Enrolled,https://legiscan.com/NE/text/LB2/id/3017770,https://nebraskalegislature.gov/FloorDocs/108/PDF/Final/LB2_S1.pdf
1884853,3018115,text,99029,application/pdf,Chaptered,https://legiscan.com/NE/text/LB2/id/3018115,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB2_S1.pdf
1884857,3015179,text,390081,application/pdf,Introduced,https://legiscan.com/NE/text/LB3/id/3015179,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB3_S1.pdf
1884857,3017786,text,222883,application/pdf,Enrolled,https://legiscan.com/NE/text/LB3/id/3017786,https://nebraskalegislature.gov/FloorDocs/108/PDF/Final/LB3_S1.pdf
1884857,3018130,text,171264,application/pdf,Chaptered,https://legiscan.com/NE/text/LB3/id/3018130,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB3_S1.pdf
1884860,3015180,text,51444,application/pdf,Introduced,https://legiscan.com/NE/text/LB4/id/3015180,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB4_S1.pdf
1884860,3016595,text,51482,application/pdf,Enrolled,https://legiscan.com/NE/text/LB4/id/3016595,https://nebraskalegislature.gov/FloorDocs/108/PDF/Final/LB4_S1.pdf
1884860,3018129,text,49934,application/pdf,Chaptered,https://legiscan.com/NE/text/LB4/id/3018129,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB4_S1.pdf
1884820,3015169,text,52676,application/pdf,Introduced,https://legiscan.com/NE/text/LB5/id/3015169,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB5_S1.pdf
1884845,3015176,text,81665,application/pdf,Introduced,https://legiscan.com/NE/text/LB6/id/3015176,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB6_S1.pdf
1884863,3015181,text,102957,application/pdf,Introduced,https://legiscan.com/NE/text/LB7/id/3015181,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB7_S1.pdf
1884807,3015164,text,54961,application/pdf,Introduced,https://legiscan.com/NE/text/LB8/id/3015164,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB8_S1.pdf
1884827,3015171,text,123964,application/pdf,Introduced,https://legiscan.com/NE/text/LB9/id/3015171,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB9_S1.pdf
1885702,3016100,text,50850,application/pdf,Introduced,https://legiscan.com/NE/text/LB9A/id/3016100,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB9A_S1.pdf
1884851,3015177,text,64956,application/pdf,Introduced,https://legiscan.com/NE/text/LB10/id/3015177,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB10_S1.pdf
1884834,3015173,text,59787,application/pdf,Introduced,https://legiscan.com/NE/text/LB11/id/3015173,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB11_S1.pdf
