bill_id,people_id,position
1884807,18410,1
1884809,18638,1
1884811,18638,1
1884816,22282,1
1884820,18410,1
1884824,18639,1
1884827,24682,1
1884831,22130,1
1884834,20432,1
1884837,22282,1
1884841,18638,1
1884845,18410,1
1884851,23765,1
1884853,19282,1
1884857,19282,1
1884860,20431,1
1884863,18410,1
1884868,20936,1
1884872,22137,1
1884876,22137,1
1884879,18410,1
1884881,24682,1
1884887,22282,1
1884889,22138,1
1884891,18638,1
1884900,22282,1
1884901,22130,1
1884902,22137,1
1884903,22130,1
1884904,19282,1
1884905,18410,1
1884906,23160,1
1884908,19282,1
1884909,22138,1
1884910,18410,1
1884911,6952,1
1884929,23160,1
1884943,18555,1
1884959,20936,1
1884975,18555,1
1884989,20936,1
1885076,18370,1
1885077,18982,1
1885078,20613,1
1885079,6952,1
1885080,18982,1
1885081,20613,1
1885082,20613,1
1885083,24682,1
1885084,20613,1
1885085,18982,1
1885086,20820,1
1885087,18370,1
1885088,18982,1
1885089,18370,1
1885090,18639,1
1885091,20613,1
1885093,18370,1
1885094,20613,1
1885095,23765,1
1885096,18370,1
1885097,18370,1
1885098,18370,1
1885099,20613,1
1885100,20613,1
1885101,22138,1
1885102,20613,1
1885103,18370,1
1885104,18370,1
1885105,18370,1
1885106,18370,1
1885107,20613,1
1885108,18370,1
1885110,18370,1
1885111,20613,1
1885112,18370,1
1885113,23160,1
1885114,20613,1
1885115,20613,1
1885116,18370,1
1885117,18370,1
1885118,18982,1
1885119,18370,1
1885120,20820,1
1885121,18370,1
1885122,22138,1
1885123,18982,1
1885124,20613,1
1885125,18982,1
1885127,20613,1
1885128,20613,1
1885129,18410,1
1885130,23160,1
1885131,18370,1
1885132,18556,1
1885133,18370,1
1885134,22282,1
1885135,24682,1
1885136,18370,1
1885137,18370,1
1885138,18982,1
1885139,23765,1
1885140,23160,1
1885141,18370,1
1885142,18370,1
1885702,24682,1
1885816,18555,1
1885847,18370,1
1885848,22138,1
