"bill_id","pvs_title","candidate_session","candidate_summary","match"
"LB0002","Amends State Property Tax Rates to Reduce $117 Million in State Budget Cuts","RS","Create the Commission on Asian American Affairs.",""
"LB0002","Amends State Property Tax Rates to Reduce $117 Million in State Budget Cuts","SS1","Provide, change, and eliminate appropriations for operations of state government.","Y"
"LB0003","Appropriates $22 Million for Cash Fund Transfers and Increased Fees","RS","Change provisions for tax levies for bonds issued by political subdivisions.",""
"LB0003","Appropriates $22 Million for Cash Fund Transfers and Increased Fees","SS1","Provide, change, and eliminate provisions relating to funds.","Y"
"LB0004","Appropriates $126,860 for Legislative Special Session Costs","RS","Change homestead exemption provisions relating to qualifications, application requirements, and penalties.",""
"LB0004","Appropriates $126,860 for Legislative Special Session Costs","SS1","Appropriate funds for special session expenses.","Y"
"LB0020","Authorizes Restoration of Felon Voting Rights Upon Sentence Completion","RS","Provide for restoration of voting rights upon completion of a felony sentence or probation for a felony.","Y"
"LB0020","Authorizes Restoration of Felon Voting Rights Upon Sentence Completion","SS1","Provide an income tax credit for renters and change provisions relating to a property tax credit.",""
"LB0025","Authorizes Claims Involving Child Abuse or Sexual Assault of a Child Under the Political Subdivisions Act","RS","Allow claims involving child abuse or sexual assault of a child under the Political Subdivisions Tort Claims Act.","Y"
"LB0025","Authorizes Claims Involving Child Abuse or Sexual Assault of a Child Under the Political Subdivisions Act","SS1","Adopt the Prison Population Reduction and Property Tax Relief Act and provide for early discharge from parole and for recommendations for commutations of certain sentences.",""
"LB0034","Amends State Property Tax Rates","RS","Provide for a presumption of disposition under the Nebraska Juvenile Code for crimes committed by defendants under eighteen years of age.",""
"LB0034","Amends State Property Tax Rates","SS1","Adopt the Property Tax Growth Limitation Act and the School District Property Tax Relief Act and change provisions relating to revenue and taxation.","Y"
"LB0050","Establishes Statutes Regarding Administration of Justice","RS","Change provisions relating to the administration of justice.","Y"
"LB0050","Establishes Statutes Regarding Administration of Justice","SS1","Change provisions relating to taxes imposed on the average wholesale price of gasoline.",""
"LB0061","Amends Regulations Regarding Dark Fiber","RS","Change provisions relating to regulation of dark fiber.","Y"
"LB0061","Amends Regulations Regarding Dark Fiber","SS1","Require a school district to cover certain costs of a student that transfers from such school district as a result of discrimination.",""
"LB0062","Requires Coverage of Translation and Interpretation Services Under the State Medical Insurance Program","RS","Provide for coverage of translation and interpretation services under the medical assistance program.","Y"
"LB0062","Requires Coverage of Translation and Interpretation Services Under the State Medical Insurance Program","SS1","Adopt the Solar Panel Energy Property Tax Reduction Act.",""
"LB0071","Establishes New K-12 School Policies to Modernize Parental Involvement in Certain School Settings.","RS","Change provisions relating to early childhood education, parental involvement in and access to learning materials in schools.","Y"
"LB0071","Establishes New K-12 School Policies to Modernize Parental Involvement in Certain School Settings.","SS1","Adopt the Nebraska Cannabis Legalization and Revenue Allocation Act and the Cannabis Conviction Relief Act.",""
"LB0077","Authorizes Legal Gun Owners to Conceal Carry Without a Permit","RS","Provide for carrying of concealed handguns without a permit.","Y"
"LB0077","Authorizes Legal Gun Owners to Conceal Carry Without a Permit","SS1","Adopt the Long-Term Resident Homestead Exemption Act.",""
