Date,State,Bill No,Title,Action
"Aug. 20, 2024",NE,LB 4,"Appropriates $126,860 for Legislative Special Session Costs","Bill Passed
                           - Senate
                      

                      
                          (41 - 3)"
"Aug. 20, 2024",NE,LB 34,Amends State Property Tax Rates,"Bill Passed
                           - Senate
                      

                      
                          (40 - 3)"
"Aug. 20, 2024",NE,LB 2,Amends State Property Tax Rates to Reduce $117 Million in State Budget Cuts,"Bill Passed
                           - Senate
                      

                      
                          (33 - 11)"
"Aug. 20, 2024",NE,LB 3,Appropriates $22 Million for Cash Fund Transfers and Increased Fees,"Bill Passed
                           - Senate
                      

                      
                          (36 - 9)"
"April 18, 2024",NE,LB 1402,Requires the State Treasurer Establish Education Scholarships,"Bill Passed
                           - Senate
                      

                      
                          (32 - 14)"
"April 18, 2024",NE,LB 1092,Requires Online Age Verification Liability Act,"Bill Passed
                           - Senate
                      

                      
                          (35 - 1)"
"April 18, 2024",NE,LB 1169,Amends the Nebraska State Historical Society,"Bill Passed
                           - Senate
                      

                      
                          (39 - 4)"
"April 18, 2024",NE,LB 25,Authorizes Claims Involving Child Abuse or Sexual Assault of a Child Under the Political Subdivisions Act,"Bill Passed
                           - Senate
                      

                      
                          (28 - 17)"
"April 11, 2024",NE,LB 631,Expands the Board of Parole in Nebraska,"Bill Passed
                           - Senate
                      

                      
                          (39 - 4)"
"April 11, 2024",NE,LB 870,Requires Law Enforcement Notify Sexual Assault Survivors at least 6 Weeks Before Destruction or Disposal,"Bill Passed
                           - Senate
                      

                      
                          (47 - 0)"
"April 11, 2024",NE,LB 1200,Requires Coordination Between 911 and the 988 Suicide and Crisis Hotline,"Bill Passed
                           - Senate
                      

                      
                          (47 - 0)"
"April 11, 2024",NE,LB 1035,Establishes a Prescription Drug Donation Program,"Bill Passed
                           - Senate
                      

                      
                          (47 - 0)"
"April 11, 2024",NE,LB 910,Authorizes Emergency Medical Services and Transportation for K-9s Injured While on Duty,"Bill Passed
                           - Senate
                      

                      
                          (47 - 0)"
"April 11, 2024",NE,LB 71,Establishes New K-12 School Policies to Modernize Parental Involvement in Certain School Settings.,"Bill Passed
                           - Senate
                      

                      
                          (46 - 0)"
"April 11, 2024",NE,LB 253,Establishes State Alternatives to Prosecution and Incarceration for Veterans,"Bill Passed
                           - Senate
                      

                      
                          (44 - 0)"
