bill_number,session_year,sponsors,sponsors_on_bill,title,lsr,local_gov,chapter_num,S_status,S_floor_date,S_comm,H_status,H_floor_date,H_comm,bill_url,hist_url,vote_url
CACR11,2024,David Lundgren (R); David Love (R),"SPONSORS:	Rep. Lundgren, Rock. 16; Rep. Love, Rock. 13",relating to the retirement age for sheriffs. Providing that sheriffs attaining the age of 70 years during their elected term in office shall be permitted to complete their current term.,2036,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-07,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2036&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2036&sy=2024&txtsessionyear=2024&sortoption=,
CACR12,2024,Dan McGuire (R); Keith Ammon (R),"SPONSORS:	Rep. D. McGuire, Merr. 14; Rep. Ammon, Hills. 42","relating to the definition of the word ""cherish."" Providing that the 1784 word ""cherish"" shall be replaced by the 2024 word ""cherish.""",2443,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-07,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2443&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2443&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2443&sy=2024&txtsessionyear=2024&sortoption=
CACR13,2024,Amanda Bouldin (D); Damond Ford (D); David Watters (D); Steve Shurtleff (D); Charlotte DiLorenzo (D); Donovan Fenton (D); Alissandra Murray (D); Jean Jeudy (D),"SPONSORS:	Rep. Bouldin, Hills. 25; Rep. Shurtleff, Merr. 15; Rep. A. Murray, Hills. 20; Rep. D. Ford, Hills. 40; Rep. DiLorenzo, Rock. 10; Rep. Jeudy, Hills. 23; Sen. Watters, Dist 4; Sen. Fenton, Dist 10",relating to slavery and involuntary servitude. Providing that slavery and involuntary servitude shall be prohibited in the state of New Hampshire.,2312,N,None,PASSED/ADOPTED WITH AMENDMENT,2024-05-15,Executive Departments and Administration,NONCONCURRED,2024-02-01,State-Federal Relations and Veterans Affairs,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2312&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2312&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2312&sy=2024&txtsessionyear=2024&sortoption=
CACR14,2024,Timothy Horrigan (D),"SPONSORS:	Rep. Horrigan, Straf. 10",relating to the environment and natural resources. Providing that the state shall maintain and improve a clean and healthful environment for present and future generations.,2386,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-07,Environment and Agriculture,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2386&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2386&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2386&sy=2024&txtsessionyear=2024&sortoption=
CACR15,2024,Jason Osborne (R); Joe Sweeney (R); Jeanine Notter (R); Keith Ammon (R); Jim Kofalt (R); Joe Alexander (R); Sherman Packard (R); Fred Doucette (R); John Janigian (R); Steven Smith (R),"SPONSORS:	Rep. Osborne, Rock. 2; Rep. Ammon, Hills. 42; Rep. Packard, Rock. 16; Rep. S. Smith, Sull. 3; Rep. Sweeney, Rock. 25; Rep. Kofalt, Hills. 32; Rep. Doucette, Rock. 25; Rep. Notter, Hills. 12; Rep. Alexander Jr., Hills. 29; Rep. Janigian, Rock. 25","relating to taxation. Providing that a 2/3 vote is required to pass legislation imposing new or increased taxes or license fees, or to authorize the issuance of state bonds and providing that the general court shall appropriate funds for payment of interest and installments of principle of all state bonds.",2188,N,None,,,,MISCELLANEOUS,2024-03-07,Ways and Means,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2188&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2188&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2188&sy=2024&txtsessionyear=2024&sortoption=
CACR16,2024,James Qualey (R); John Potucek (R); Linda Gould (R); Chris True (R); Steven Bogert (R); Karen Reid (R),"SPONSORS:	Rep. Qualey, Ches. 18; Rep. True, Rock. 9; Rep. Potucek, Rock. 13; Rep. Bogert, Belk. 5; Rep. L. Gould, Hills. 2; Rep. Reid, Hills. 27","relating to local governance. Providing that local construction projects seeking amendments, waivers, or variances be subject to certain local approval, disclosure, and vote requirements.",2218,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-21,Municipal and County Government,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2218&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2218&sy=2024&txtsessionyear=2024&sortoption=,
CACR17,2024,Glenn Cordelli (R); Terry Roy (R); Kristine Perez (R); Sherman Packard (R); JD Bernardy (R); Sharon Carson (R); Jason Osborne (R); Paul Terry (R); Regina Birdsell (R); Bob Lynn (R),"SPONSORS:	Rep. Cordelli, Carr. 7; Rep. Packard, Rock. 16; Rep. Osborne, Rock. 2; Rep. Lynn, Rock. 17; Rep. Roy, Rock. 31; Rep. Bernardy, Rock. 36; Rep. Terry, Belk. 7; Rep. K. Perez, Rock. 16; Sen. Carson, Dist 14; Sen. Birdsell, Dist 19","relating to the rights of parents. Providing that parents shall have a fundamental right to direct the upbringing, education, and care of their minor children.",2234,N,None,,,,MISCELLANEOUS,2024-03-07,Children and Family Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2234&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2234&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2234&sy=2024&txtsessionyear=2024&sortoption=
CACR18,2024,Catherine Sofikitis (D),"SPONSORS:	Rep. Sofikitis, Hills. 7",relating to the tax exempt status of churches. Providing that churches shall not be exempt from state taxes.,2241,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-02-22,Ways and Means,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2241&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2241&sy=2024&txtsessionyear=2024&sortoption=,
CACR19,2024,Dianne Schuett (D); Angela Brennan (D); Rebecca Perkins Kwoka (D); Connie Lane (D); Rebecca Whitley (D),"SPONSORS:	Rep. Schuett, Merr. 12; Rep. Lane, Merr. 16; Rep. Brennan, Merr. 9; Sen. Whitley, Dist 15; Sen. Perkins Kwoka, Dist 21",relating to redistricting. Providing that an independent redistricting commission shall be established to draw boundaries for state and federal offices.,2746,N,None,,,,MISCELLANEOUS,2024-03-14,Election Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2746&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2746&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2746&sy=2024&txtsessionyear=2024&sortoption=
CACR20,2024,Jason Gerhard (R),"SPONSORS:	Rep. Gerhard, Merr. 25","relating to declaring independence from the United States of America. Providing that if the national debt reaches $40 trillion, New Hampshire shall declare independence and proceed as a sovereign nation.",2792,N,None,,,,INDEFINITELY POSTPONED,2024-02-01,State-Federal Relations and Veterans Affairs,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2792&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2792&sy=2024&txtsessionyear=2024&sortoption=,
CACR21,2024,Josh Yokela (R); Sherry Dutzy (D); Brandon Phinney (R); Ellen Read (D); Wendy Thomas (D); Cam Kenney (D),"SPONSORS:	Rep. Yokela, Rock. 32; Rep. Read, Rock. 10; Rep. Dutzy, Hills. 6; Rep. W. Thomas, Hills. 12; Rep. Phinney, Straf. 9; Rep. Kenney, Straf. 10",relating to the oath of civil officers. Providing that the default oath of office shall be a non-religious oath.,2530,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-02-22,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2530&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2530&sy=2024&txtsessionyear=2024&sortoption=,
CACR22,2024,Daryl Abbas (R); Jeb Bradley (R); Daniel Innis (R); James Gray (R); Regina Birdsell (R); Fred Doucette (R); Carrie Gendreau (R); Howard  Pearl (R); Sherman Packard (R); Bill Gannon (R); Kevin Avard (R); Steve Shurtleff (D); Timothy Lang (R); Denise Ricciardi (R); Steven Smith (R); Keith Murphy (R); Sharon Carson (R),"SPONSORS:	Sen. Abbas, Dist 22; Sen. Gray, Dist 6; Sen. Gendreau, Dist 1; Sen. Gannon, Dist 23; Sen. Lang, Dist 2; Sen. Murphy, Dist 16; Sen. Bradley, Dist 3; Sen. Birdsell, Dist 19; Sen. Pearl, Dist 17; Sen. Avard, Dist 12; Sen. Ricciardi, Dist 9; Sen. Carson, Dist 14; Sen. Innis, Dist 7; Rep. Doucette, Rock. 25; Rep. Packard, Rock. 16; Rep. Shurtleff, Merr. 15; Rep. S. Smith, Sull. 3",relating to the New Hampshire presidential primary.  Providing that the New Hampshire presidential primary shall be the first presidential primary of a presidential election cycle.,2906,N,None,PASSED/ADOPTED,2024-01-18,Election Law and Municipal Affairs,MISCELLANEOUS,2024-05-23,Election Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2906&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2906&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2906&sy=2024&txtsessionyear=2024&sortoption=
CACR23,2024,Amanda Toll (D); Lucy Weber (D); Karen Ebel (D); Susan Vandecasteele (R); Joe Schapiro (D); Donovan Fenton (D); Alexis Simpson (D); Marjorie Smith (D); Rebecca Perkins Kwoka (D); Matthew Wilhelm (D); Brandon Phinney (R); Cindy Rosenwald (D); Trinidad Tellez (D),"SPONSORS:	Rep. Toll, Ches. 15; Rep. Vandecasteele, Rock. 25; Rep. Simpson, Rock. 33; Rep. Wilhelm, Hills. 40; Rep. Tellez, Hills. 40; Rep. Weber, Ches. 5; Rep. Schapiro, Ches. 16; Rep. M. Smith, Straf. 10; Rep. Phinney, Straf. 9; Rep. Ebel, Merr. 7; Sen. Fenton, Dist 10; Sen. Perkins Kwoka, Dist 21; Sen. Rosenwald, Dist 13",relating to the right to abortion. Providing that all persons shall have the right to abortion prior to 24 weeks.,2027,N,None,,,,MISCELLANEOUS,2024-02-01,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2027&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2027&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2027&sy=2024&txtsessionyear=2024&sortoption=
CACR24,2024,Debra Altschiller (D); Rebecca Whitley (D); Chuck Grassie (D); Lou D'Allesandro (D); Cindy Rosenwald (D); Jim Maggiore (D); Donna Soucy (D); Suzanne Prentiss (D); Gaby Grossman (D); David Watters (D); Shannon Chandley (D); Loren Selig (D); Donovan Fenton (D); Rebecca Perkins Kwoka (D),"SPONSORS:	Sen. Altschiller, Dist 24; Sen. D'Allesandro, Dist 20; Sen. Soucy, Dist 18; Sen. Watters, Dist 4; Sen. Fenton, Dist 10; Sen. Whitley, Dist 15; Sen. Rosenwald, Dist 13; Sen. Prentiss, Dist 5; Sen. Chandley, Dist 11; Sen. Perkins Kwoka, Dist 21; Rep. Grassie, Straf. 8; Rep. Maggiore, Rock. 23; Rep. Grossman, Rock. 11; Rep. Selig, Straf. 10",relating to reproductive freedom.  Providing that all persons have the right to make their own reproductive decisions.,3091,N,None,INEXPEDIENT TO LEGISLATE,2024-02-15,Judiciary,,,,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=3091&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=3091&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=3091&sy=2024&txtsessionyear=2024&sortoption=
CACR25,2024,J.R. Hoell (r); Kristine Perez (R); Mike Belcher (R); Leah Cushman (R); Kelley Potenza (R); Matthew Coulon (R); Michael Granger (R); Diane Kelley (R); Emily Phillips (R); Alicia Lekas (R),"SPONSORS:	Rep. Hoell, Merr. 27; Rep. Cushman, Hills. 28; Rep. Granger, Straf. 2; Rep. A. Lekas, Hills. 38; Rep. K. Perez, Rock. 16; Rep. Potenza, Straf. 19; Rep. D. Kelley, Hills. 32; Rep. Belcher, Carr. 4; Rep. Coulon, Graf. 5; Rep. Phillips, Rock. 7","relating to the rights of children and parents. Providing that parents and children have the right to control their health, education, and welfare.",2772,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-07,Children and Family Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2772&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2772&sy=2024&txtsessionyear=2024&sortoption=,
