bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1713694,2707045,text,30661,text/html,Introduced,https://legiscan.com/NH/text/HB1/id/2707045,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=1080&txtFormat=html
1713694,2772710,text,34970,text/html,Amended,https://legiscan.com/NH/text/HB1/id/2772710,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=HA&id=1080
1713694,2825125,text,34610,text/html,Amended,https://legiscan.com/NH/text/HB1/id/2825125,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=SA&id=1080
1724395,2722868,text,1192499,text/html,Introduced,https://legiscan.com/NH/text/HB2/id/2722868,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=1081&txtFormat=html
1724395,2773854,text,758087,text/html,Amended,https://legiscan.com/NH/text/HB2/id/2773854,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=HA&id=1081
1724395,2826213,text,1016115,text/html,Amended,https://legiscan.com/NH/text/HB2/id/2826213,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=SA&id=1081
1641080,2621383,text,44117,text/html,Introduced,https://legiscan.com/NH/text/HB10/id/2621383,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=93&txtFormat=html
1641145,2621444,text,35428,text/html,Introduced,https://legiscan.com/NH/text/HB15/id/2621444,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=118&txtFormat=html
1641211,2621508,text,7940,text/html,Introduced,https://legiscan.com/NH/text/HB20/id/2621508,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=119&txtFormat=html
1641211,2779689,text,7951,text/html,Enrolled,https://legiscan.com/NH/text/HB20/id/2779689,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&v=SP&id=119
1725326,2724561,text,102457,text/html,Introduced,https://legiscan.com/NH/text/HB25/id/2724561,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=1082&txtFormat=html
1725326,2772881,text,133936,text/html,Amended,https://legiscan.com/NH/text/HB25/id/2772881,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=HA&id=1082
1725326,2825847,text,135270,text/html,Amended,https://legiscan.com/NH/text/HB25/id/2825847,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=SA&id=1082
1641084,2621386,text,19062,text/html,Introduced,https://legiscan.com/NH/text/HB30/id/2621386,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=52&txtFormat=html
1641084,2779525,text,19079,text/html,Enrolled,https://legiscan.com/NH/text/HB30/id/2779525,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&v=SP&id=52
1641191,2621488,text,32127,text/html,Introduced,https://legiscan.com/NH/text/HB31/id/2621488,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=63&txtFormat=html
1641123,2621422,text,49267,text/html,Introduced,https://legiscan.com/NH/text/HB32/id/2621422,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=69&txtFormat=html
1641116,2621415,text,7353,text/html,Introduced,https://legiscan.com/NH/text/HB33/id/2621415,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=94&txtFormat=html
1641149,2621448,text,21033,text/html,Introduced,https://legiscan.com/NH/text/HB34/id/2621448,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=95&txtFormat=html
1641168,2621467,text,12062,text/html,Introduced,https://legiscan.com/NH/text/HB35/id/2621467,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=116&txtFormat=html
1641168,2715933,text,9698,text/html,Amended,https://legiscan.com/NH/text/HB35/id/2715933,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=HA&id=116
1641168,2806490,text,9705,text/html,Enrolled,https://legiscan.com/NH/text/HB35/id/2806490,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&v=SP&id=116
1641159,2621458,text,8415,text/html,Introduced,https://legiscan.com/NH/text/HB36/id/2621458,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=204&txtFormat=html
1641159,2677411,text,8524,text/html,Amended,https://legiscan.com/NH/text/HB36/id/2677411,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=HA&id=204
1641159,2779115,text,8531,text/html,Enrolled,https://legiscan.com/NH/text/HB36/id/2779115,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&v=SP&id=204
1641176,2621474,text,9580,text/html,Introduced,https://legiscan.com/NH/text/HB37/id/2621474,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=249&txtFormat=html
1641102,2621402,text,38819,text/html,Introduced,https://legiscan.com/NH/text/HB38/id/2621402,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=210&txtFormat=html
1641147,2621446,text,20887,text/html,Introduced,https://legiscan.com/NH/text/HB39/id/2621446,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=211&txtFormat=html
1641092,2621392,text,117884,text/html,Introduced,https://legiscan.com/NH/text/HB40/id/2621392,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=39&txtFormat=html
1641139,2621438,text,9509,text/html,Introduced,https://legiscan.com/NH/text/HB41/id/2621438,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=56&txtFormat=html
1641131,2621430,text,10609,text/html,Introduced,https://legiscan.com/NH/text/HB42/id/2621430,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=32&txtFormat=html
1641131,2755856,text,10977,text/html,Amended,https://legiscan.com/NH/text/HB42/id/2755856,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&txtFormat=html&v=HA&id=32
1641131,2806657,text,11065,text/html,Enrolled,https://legiscan.com/NH/text/HB42/id/2806657,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&v=SP&id=32
1641189,2621486,text,8842,text/html,Introduced,https://legiscan.com/NH/text/HB43/id/2621486,https://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?sy=2023&id=180&txtFormat=html
