bill_id,date,chamber,sequence,action
1641080,2022-12-23,House,1,"Introduced 01/04/2023 and referred to Children and Family Law"
1641080,2023-02-16,House,2,"Public Hearing: 03/07/2023 01:15 pm Legislative Office Building 206-208"
1641080,2023-03-08,House,3,"Executive Session: 03/15/2023 10:15 am Legislative Office Building 305-307"
1641080,2023-03-16,House,4,"Committee Report: Without Recommendation 03/15/2023 (Vote ; Regular Calendar) House Calendar 16 P. 14"
1641080,2023-03-22,House,5,"FLAM # 2023-1146h (Rep. Lynn): Amendment Failed DV 190-194 03/22/2023 House Journal  10 P. 34"
1641080,2023-03-22,House,6,"Ought to Pass: Motion Failed Regular Calendar 189-195 03/22/2023 House Journal  10 P. 34"
1641080,2023-03-22,House,7,"Lay HB10 on Table (Rep. Hoell): Motion Adopted DV 193-192 03/22/2023 House Journal  10 P. 40"
1641081,2022-12-23,House,1,"Introduced 01/04/2023 and referred to Health, Human Services and Elderly Affairs"
1641081,2023-01-18,House,2,"==CANCELLED== Executive Session: 01/25/2023 02:00 pm Legislative Office Building 210-211"
1641081,2023-01-18,House,3,"Public Hearing: 01/25/2023 10:00 am Legislative Office Building 210-211"
1641081,2023-02-02,House,4,"Executive Session: 02/08/2023 01:30 pm Legislative Office Building 210-211"
1641081,2023-02-08,House,5,"Committee Report: Inexpedient to Legislate HB 47 02/02/2023 (Vote 20-0; Consent Calendar) House Calendar 11 P. 7"
1641081,2023-02-14,House,6,"Inexpedient to Legislate: Motion Adopted Voice Vote 02/14/2023 House Journal  5"
1641082,2022-12-08,House,1,"Introduced 12/07/2022 House Journal  1 P. 8"
1641082,2022-12-09,House,2,"Lay HR6 on Table (Rep. Berry): Motion Failed Regular Calendar 187-193 12/07/2022 House Journal  1 P. House Journal  1 P. 9"
1641082,2022-12-09,House,3,"Ought to Pass: Motion Adopted Voice Vote 12/07/2022 House Journal  1 P. 16"
1641083,2022-12-23,House,1,"Introduced 01/04/2023 and referred to Education"
1641083,2023-01-31,House,2,"Public Hearing: 02/07/2023 10:00 am Legislative Office Building 205-207"
1641083,2023-02-08,House,3,"Executive Session: 02/15/2023 09:00 am Legislative Office Building 205-207"
1641083,2023-03-01,House,4,"Executive Session: 03/08/2023 09:30 am Legislative Office Building 205-207"
1641083,2023-03-03,House,5,"Committee Report: Without Recommendation 02/16/2023 (Vote ; Regular Calendar) House Calendar 15 P. 12"
1641083,2023-03-16,House,6,"Lay HB104 on Table (Rep. Ladd): Motion Adopted DV 345-28 03/16/2023 House Journal  9 P. 39"
1641084,2022-12-23,House,1,"Introduced 01/04/2023 and referred to Executive Departments and Administration"
1641084,2023-01-05,House,2,"Public Hearing: 01/12/2023 10:00 am Legislative Office Building 306-308"
1641084,2023-01-19,House,3,"==CANCELLED== Subcommittee Work Session: 01/25/2023 09:30 am Legislative Office Building 306"
1641084,2023-01-25,House,4,"Executive Session: 01/12/2023 10:00 am Legislative Office Building 306-308"
1641084,2023-01-25,House,5,"Committee Report: Ought to Pass 01/12/2023 (Vote 18-0; Consent Calendar) House Calendar 9 P. 2"
1641084,2023-02-02,House,6,"Ought to Pass: Motion Adopted Voice Vote 02/02/2023 House Journal  4"
1641084,2023-03-07,Senate,7,"Introduced 02/22/2023 and Referred to Executive Departments and Administration; Senate Journal 9"
1641084,2023-03-08,Senate,8,"Hearing: 03/15/2023, Room 103, State House, 09:00 am; Senate Calendar  13"
1641084,2023-04-06,Senate,9,"Committee Report: Ought to Pass, 04/13/2023; Senate Calendar  17"
1641084,2023-04-13,Senate,10,"Ought to Pass: Motion Adopted, Voice Vote; OT3rdg; 04/13/2023; Senate Journal 13"
1641084,2023-05-02,House,11,"Enrolled (in recess of) 04/06/2023"
1641084,2023-05-02,Senate,12,"Enrolled Adopted, Voice Vote, (In recess 04/13/2023); Senate Journal 14"
1641084,2023-05-08,House,13,"Signed by Governor Sununu 05/04/2023; Chapter 9; eff: 07/03/2023"
1641085,2022-12-23,House,1,"Introduced 01/04/2023 and referred to Executive Departments and Administration"
1641085,2023-01-18,House,2,"Public Hearing: 01/25/2023 11:30 am Legislative Office Building 306-308"
1641085,2023-02-15,House,3,"Retained in Committee"
1641085,2023-09-18,House,4,"Executive Session: 11/08/2023 10:00 am Legislative Office Building 306-308"
1641086,2022-12-07,Senate,1,"Introduced and Adopted, Voice Vote; 12/07/2022; Senate Journal 1"
1641087,2022-12-23,House,1,"Introduced 01/04/2023 and referred to Municipal and County Government"
1641087,2023-01-11,House,2,"Public Hearing: 01/18/2023 10:00 am Legislative Office Building 301-303"
1641087,2023-01-18,House,3,"Executive Session: 01/25/2023 10:30 am Legislative Office Building 301-303"
1641087,2023-01-30,House,4,"Majority Committee Report: Inexpedient to Legislate HB95 01/25/2023 (Vote 16-3; Regular Calendar) House Calendar 9 P. 7"
1641087,2023-01-30,House,5,"Minority Committee Report: Ought to Pass"
