people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
4747,"Jordan Ulery",Jordan,G.,Ulery,,,2,R,1,Rep,HD-13-HIL,6596249,42373,,Jordan_Ulery,228818,0
4750,"Timothy Horrigan",Timothy,,Horrigan,,,1,D,1,Rep,HD-10-STR,6494379,110051,,Timothy_Horrigan,269497,0
4753,"Andrew Renzullo",Andrew,,Renzullo,,,2,R,1,Rep,HD-13-HIL,6665308,43000,,Andrew_Renzullo,228826,0
4754,"Carol McGuire",Carol,,McGuire,,,2,R,1,Rep,HD-27-MER,6677888,109938,,Carol_McGuire,222865,0
4760,"Jeb Bradley",Jeb,,Bradley,,,2,R,2,Sen,SD-003,6636719,4953,,Jeb_Bradley,197009,0
4775,"Sharon Carson",Sharon,,Carson,,,2,R,2,Sen,SD-014,6593753,42537,,Sharon_Carson,208650,0
4783,"Lou D'Allesandro",Lou,C.,D'Allesandro,,,1,D,2,Sen,SD-020,13012859,14808,,Lou_D%27Allesandro,196895,0
4802,"Stephen Shurtleff",Stephen,,Shurtleff,,Steve,1,D,1,Rep,HD-15-MER,6463896,42264,,Stephen_Shurtleff,228849,0
4809,"Patrick Long",Patrick,T.,Long,,,1,D,1,Rep,HD-23-HIL,6478714,66257,,Patrick_Long,250010,0
4810,"Thomas Buco",Thomas,,Buco,,Tom,1,D,1,Rep,HD-01-CAR,6463029,42231,,Tom_Buco,228700,0
4820,"David Bickford",David,A.,Bickford,,,2,R,1,Rep,HD-03-STR,13703698,14561,,David_Bickford,196900,0
4823,"Lucy Weber",Lucy,McVitty,Weber,,,1,D,1,Rep,HD-05-CHE,6478956,65198,,Lucy_McVitty_Weber,249884,0
4828,"William Hatch",William,A.,Hatch,,,1,D,1,Rep,HD-06-COO,6478544,67221,,William_Hatch,249918,0
4829,"Susan Almy",Susan,W.,Almy,,,1,D,1,Rep,HD-17-GRA,199534,15165,,Susan_Almy,197099,0
4831,"Karen Umberger",Karen,C.,Umberger,,,2,R,1,Rep,HD-02-CAR,6678005,109917,,Karen_Umberger,269159,0
4845,"Marjorie Smith",Marjorie,,Smith,,,1,D,1,Rep,HD-10-STR,6395309,14725,,Marjorie_Smith,197019,0
4864,"David Cote",David,E.,Cote,,,1,D,1,Rep,HD-31-HIL,6394144,4994,,David_Cote,197224,0
4879,"William Infantine",William,J.,Infantine,,,2,R,1,Rep,HD-16-HIL,13004219,42453,,William_Infantine,213047,0
4885,"Daniel Eaton",Daniel,Adams,Eaton,,,1,D,1,Rep,HD-09-CHE,6394298,42737,,Daniel_Eaton,213007,0
4889,"Peter Leishman",Peter,R.,Leishman,,,1,D,1,Rep,HD-33-HIL,6466019,14252,,Peter_Leishman,249975,0
4896,"John Hunt",John,B.,Hunt,,,2,R,1,Rep,HD-14-CHE,6594796,8051,,John_Hunt_(New_Hampshire),197041,0
4898,"Phyllis Katsakiores",Phyllis,M.,Katsakiores,,,2,R,1,Rep,HD-13-ROC,6594932,8198,,Phyllis_Katsakiores,197087,0
4908,"Michael O'Brien",Michael,B.,O'Brien,Sr.,,1,D,1,Rep,HD-10-HIL,6483538,67226,,Michael_O%27Brien_Sr._(New_Hampshire),250089,0
4910,"Timothy Soucy",Timothy,A.,Soucy,,,1,D,1,Rep,HD-21-MER,6494676,109848,,Timothy_Soucy,269330,0
4924,"Cindy Rosenwald",Lucinda,,Rosenwald,,Cindy,1,D,2,Sen,SD-013,6463841,42204,,Lucinda_Rosenwald,228804,0
4955,"Dianne Schuett",Dianne,E.,Schuett,,,1,D,1,Rep,HD-12-MER,6494657,109892,,Dianne_Schuett,269368,0
4957,"Shannon Chandley",Shannon,E.,Chandley,,,1,D,2,Sen,SD-011,6494258,110116,,Shannon_Chandley,269234,0
4958,"David Watters",David,H.,Watters,,,1,D,2,Sen,SD-004,6494743,110047,,David_Watters,269494,0
4962,"Roderick Ladd",Roderick,M.,Ladd,,Rick,2,R,1,Rep,HD-05-GRA,6677856,109958,,Rick_Ladd,269203,0
