bill_id,people_id,position
1641080,5006,1
1641080,10468,4
1641080,10924,6
1641080,12885,8
1641080,16889,10
1641080,17486,5
1641080,19879,9
1641080,21786,7
1641080,21816,2
1641080,21874,3
1641081,16696,4
1641081,17495,3
1641081,18809,2
1641081,21800,1
1641083,10920,2
1641083,17477,3
1641083,18809,1
1641084,4754,2
1641084,5024,4
1641084,10468,3
1641084,19819,1
1641084,23527,5
1641085,18445,2
1641085,19873,1
1641087,18127,1
1641087,19791,5
1641087,19799,3
1641087,21814,2
1641087,23476,8
1641087,23520,7
1641087,23524,6
1641087,23526,4
1641089,4831,2
1641089,4889,1
1641089,4924,3
1641090,19859,1
1641091,21788,1
1641091,21796,3
1641091,21804,2
1641091,23426,4
1641092,4750,1
1641092,23503,3
1641092,23524,2
1641093,18126,12
1641093,19156,11
1641093,19743,3
1641093,19763,4
1641093,19799,5
1641093,19802,2
1641093,19872,8
1641093,21876,1
1641093,23435,10
1641093,23471,9
1641093,23474,7
1641093,23516,6
1641094,19877,1
1641095,18148,1
1641096,4754,3
1641096,5024,5
1641096,15593,2
1641096,19819,1
1641096,19888,4
1641097,19431,1
1641098,18153,2
1641098,19823,3
1641098,19824,5
1641098,21788,1
1641098,21838,4
1641098,21870,6
1641099,16060,5
1641099,19778,1
1641099,19868,2
1641099,19871,4
1641099,21814,3
1641099,23524,6
1641100,11579,9
1641100,15601,2
1641100,18170,11
1641100,18635,8
1641100,19156,10
1641100,19758,5
1641100,19857,4
1641100,21802,1
1641100,21821,3
1641100,21822,7
1641100,21860,6
1641101,19782,1
1641102,15593,6
1641102,18153,4
1641102,19793,3
1641102,19846,9
1641102,19861,7
1641102,19888,1
1641102,21788,2
1641102,21802,5
1641102,23527,8
1641103,4750,1
1641103,18127,2
1641104,18809,1
1641105,21788,1
1641105,21793,2
1641105,21804,3
1641105,21870,5
1641105,23426,4
1641106,11759,1
1641108,15597,1
1641108,19889,2
1641108,21795,3
1641109,4879,2
1641109,16890,1
1641109,21795,4
1641109,23426,3
1641110,4955,6
1641110,19745,1
1641110,19807,4
1641110,19819,3
1641110,21863,2
1641110,23406,5
1641110,23520,7
1641111,18127,2
1641111,18149,4
1641111,19431,5
1641111,21797,1
1641111,21877,6
1641111,23420,3
1641112,5024,7
1641112,15593,2
1641112,16889,6
1641112,17478,4
1641112,19819,1
1641112,19888,3
1641112,21865,5
1641113,18127,1
1641113,19799,4
1641113,19802,2
1641113,21814,3
1641113,21856,7
1641113,23520,6
1641113,23524,5
1641114,10924,4
1641114,11579,7
1641114,16677,1
1641114,19877,2
1641114,21804,6
1641114,21867,5
1641114,22916,3
1641115,18131,2
1641115,19743,1
1641115,19878,3
1641115,23524,4
1641116,19799,1
1641116,19866,3
1641116,21856,2
1641116,23520,4
1641117,4754,1
1641117,19807,3
1641117,21846,2
1641117,22916,4
1641118,18809,1
1641118,19823,2
1641119,11579,2
1641119,18809,1
1641120,18809,1
1641120,19166,7
1641120,19819,2
1641120,21788,3
1641120,21821,4
1641120,21838,5
1641120,21877,6
1641121,4750,2
1641121,21814,1
1641122,15580,3
1641122,19782,1
1641122,19891,2
1641122,21876,4
1641123,4802,1
1641123,4955,5
1641123,17929,4
1641123,19799,3
