bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1785354,1413226,2024-03-21,House,OTPA,189,182,11,14,396
1785354,1451303,2024-05-16,Senate,"Ought to Pass",13,10,0,1,24
1785374,1391586,2024-02-22,House,OTPA,199,179,10,8,396
1785383,1409481,2024-03-14,House,OTPA,228,139,16,13,396
1785387,1409620,2024-03-14,House,OTP,183,185,12,16,396
1785392,1414020,2024-03-21,House,Table,167,170,31,28,396
1785392,1414021,2024-03-21,House,"Indefinitely Postpone",168,169,31,28,396
1785392,1414022,2024-03-21,House,OTP,168,168,32,28,396
1785392,1414259,2024-03-21,House,Table,167,170,31,28,396
1785392,1414260,2024-03-21,House,"Indefinitely Postpone",168,169,31,28,396
1785394,1441470,2024-05-02,Senate,"Ought to Pass w/Amendment",24,0,0,0,24
1785411,1374073,2024-02-01,House,"Indefinitely Postpone",363,11,7,17,398
1785414,1452187,2024-05-30,House,Concur,172,180,22,21,395
1785414,1457127,2024-06-13,House,"Adopt CofC Report",102,261,20,12,395
1785418,1374293,2024-02-01,House,OTP,354,6,18,20,398
1785422,1440851,2024-05-02,Senate,"Inexpedient to Legislate",14,10,0,0,24
1785423,1409538,2024-03-14,House,"Indefinitely Postpone",194,179,7,16,396
1785445,1405400,2024-03-07,House,"Indefinitely Postpone",196,163,13,24,396
1785448,1409507,2024-03-14,House,OTP,181,190,9,16,396
1785457,1412872,2024-03-21,House,"Indefinitely Postpone",191,185,6,14,396
1785469,1409124,2024-03-14,House,"Indefinitely Postpone",192,183,9,12,396
1785472,1391375,2024-02-22,House,OTP,179,200,8,9,396
1785472,1391376,2024-02-22,House,ITL,205,175,7,9,396
1785478,1404918,2024-03-07,House,ITL,197,168,8,23,396
1785483,1380498,2024-02-08,House,"Indefinitely Postpone",324,53,8,13,398
1785486,1380494,2024-02-08,House,OTPA,221,157,7,13,398
1785487,1452484,2024-05-22,Senate,"Committee Amendment",14,10,0,0,24
1785489,1392792,2024-02-22,House,"Adopt Floor Amendment",199,179,11,7,396
1785489,1425366,2024-04-11,House,"Interim Study",188,193,6,10,397
1785489,1425367,2024-04-11,House,OTPA,198,183,6,10,397
1785491,1373646,2024-02-01,House,"Adopt Floor Amendment",168,201,13,16,398
1785491,1373647,2024-02-01,House,OTP,366,5,11,16,398
1785491,1451400,2024-05-15,Senate,"Committee Amendment",14,10,0,0,24
1785491,1451401,2024-05-15,Senate,"Ought to Pass w/Amendment",24,0,0,0,24
1785492,1417066,2024-03-28,House,"Adopt Floor Amendment",179,192,11,15,397
1785500,1414029,2024-03-21,House,ITL,182,155,31,28,396
1785500,1414117,2024-03-21,House,ITL,182,155,31,28,396
1785502,1417155,2024-03-28,House,ITL,175,200,7,15,397
1785508,1405511,2024-03-07,House,ITL,264,95,12,25,396
1785527,1373679,2024-02-01,House,OTP,189,190,3,16,398
1785539,1404999,2024-03-07,House,ITL,186,179,8,23,396
1785544,1386281,2024-02-15,House,ITL,184,174,21,17,396
1785545,1373730,2024-02-01,House,OTPA,193,179,10,16,398
1785545,1413224,2024-03-21,House,"Adopt Floor Amendment",345,24,13,14,396
1785545,1413225,2024-03-21,House,OTPA,268,106,8,14,396
1785545,1414104,2024-03-21,House,"Adopt Floor Amendment",345,24,13,14,396
1785545,1414105,2024-03-21,House,OTPA,268,106,8,14,396
1785552,1417213,2024-03-28,House,Table,180,193,9,15,397
1785552,1417214,2024-03-28,House,OTPA,208,162,12,15,397
1785557,1405799,2024-03-07,House,OTPA,184,169,16,27,396
1785559,1409431,2024-03-14,House,OTPA,294,66,20,16,396
1785561,1405131,2024-03-07,House,OTP,182,182,10,22,396
1785561,1405132,2024-03-07,House,Table,182,183,9,22,396
1785561,1405133,2024-03-07,House,ITL,184,180,10,22,396
1785561,1405134,2024-03-07,House,Reconsider,179,187,8,22,396
1785570,1413638,2024-03-21,House,"Indefinitely Postpone",190,184,8,14,396
1785570,1414170,2024-03-21,House,"Indefinitely Postpone",190,184,8,14,396
1785594,1417178,2024-03-28,House,OTPA,187,184,11,15,397
1785599,1405341,2024-03-07,House,OTPA,189,173,12,22,396
1785603,1452019,2024-05-30,House,"Non Concur",180,190,12,13,395
1785603,1452516,2024-05-23,Senate,"Floor Amendment",14,10,0,0,24
1785604,1451383,2024-05-16,Senate,"Ought to Pass",13,10,0,1,24
1785607,1405018,2024-03-07,House,ITL,188,171,13,24,396
1785615,1409516,2024-03-14,House,ITL,188,171,21,16,396
1785621,1417210,2024-03-28,House,Table,232,140,10,15,397
1785623,1425302,2024-04-11,House,ITL,190,191,6,10,397
1785623,1425303,2024-04-11,House,OTP,191,192,4,10,397
1785623,1425304,2024-04-11,House,"Indefinitely Postpone",192,190,5,10,397
1785624,1392049,2024-02-22,House,OTP,185,188,14,9,396
1785624,1392050,2024-02-22,House,"Indefinitely Postpone",191,187,9,9,396
1785633,1417069,2024-03-28,House,Table,196,179,9,13,397
1785640,1409625,2024-03-14,House,"Indefinitely Postpone",195,171,14,16,396
1785651,1386355,2024-02-15,House,OTP,165,180,34,17,396
1785661,1391695,2024-02-22,House,OTPA,203,174,10,9,396
1785661,1440923,2024-05-02,Senate,"Ought to Pass w/Amendment",14,10,0,0,24
1785661,1451816,2024-05-30,House,Concur,190,179,11,15,395
1785678,1409553,2024-03-14,House,"Indefinitely Postpone",192,179,9,16,396
1785684,1405808,2024-03-07,House,"Adopt Amendment",180,167,22,27,396
1785684,1405809,2024-03-07,House,OTPA,179,166,24,27,396
1785701,1385497,2024-02-15,House,OTP,187,188,6,15,396
1785701,1385498,2024-02-15,House,ITL,188,187,6,15,396
1785701,1385499,2024-02-15,House,Reconsider,187,181,11,17,396
1785701,1385500,2024-02-15,House,OTP,193,175,11,17,396
1785701,1425395,2024-04-11,House,Table,192,191,4,10,397
1785721,1413696,2024-03-21,House,OTPA,282,92,8,14,396
1785721,1414071,2024-03-21,House,OTPA,282,92,8,14,396
1785737,1409647,2024-03-14,House,ITL,128,238,14,16,396
1785739,1404898,2024-03-07,House,ITL,174,186,13,23,396
1792633,1366992,2024-01-18,Senate,"Ought to Pass",14,10,0,0,24
1792640,1380497,2024-02-08,House,ITL,190,187,8,13,398
1792643,1409908,2024-03-07,Senate,"Ought to Pass",14,10,0,0,24
1792643,1414206,2024-03-21,Senate,"Ought to Pass",14,9,0,1,24
1792643,1437813,2024-05-02,House,Table,188,177,11,20,396
1792662,1363362,2024-01-03,House,ITL,207,170,9,10,396
1792666,1425964,2024-04-11,House,"Adopt Amendment",187,187,10,13,397
1792666,1425965,2024-04-11,House,OTPA,349,26,9,13,397
1792674,1367048,2024-01-18,Senate,"Ought to Pass",24,0,0,0,24
1792674,1449209,2024-05-23,House,Table,175,187,16,17,395
1792674,1449210,2024-05-23,House,OTP,195,165,19,16,395
1792680,1405423,2024-03-07,House,OTP,265,88,16,27,396
1792684,1363369,2024-01-03,House,ITL,189,188,11,8,396
1792685,1363373,2024-01-03,Senate,"Inexpedient to Legislate",10,14,0,0,24
1792685,1363374,2024-01-03,Senate,"Floor Amendment",14,10,0,0,24
1792685,1438102,2024-05-02,House,OTP,180,179,17,20,396
1792685,1438103,2024-05-02,House,Reconsider,185,181,9,21,396
