"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"NH","2023_2024","Aboul Khan","15117","H","R","HD-30-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Alisson Turcotte","15244","H","D","HD-11-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Allan Howland","23451","H","D","HD-20-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Allison Nutting-Wong","19172","H","D","HD-09-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Amanda Toll","21876","H","D","HD-15-CHE",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Ben Bartlett","23408","H","R","HD-01-ROC",TRUE,"Resigned April 26 2023 due to health; cast 1 vote, missed 134. Replaced by Hal Rafter (special election Sep 2023)"
"NH","2023_2024","Beth Richards","19174","H","D","HD-17-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Bill Conlin","23422","H","D","HD-15-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Bill King","21833","H","R","HD-43-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Bill Nelson","15588","H","R","HD-05-CAR",TRUE,"Left office 12/7/2022 — did not serve in 2023-2024 term"
"NH","2023_2024","Bruce Tatro","12861","H","D","HD-10-CHE",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Candice O'Neil","23479","H","D","HD-29-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Carry Spier","23509","H","D","HD-06-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Catherine Sofikitis","19035","H","D","HD-07-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Cathy Kenny","23455","H","R","HD-13-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Cecilia Rich","19810","H","D","HD-12-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Charles Foote","23437","H","R","HD-13-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Charlie St. Clair","19432","H","D","HD-05-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Chris McAleer","21845","H","D","HD-02-CAR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Chris True","16885","H","R","HD-09-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Christopher Herbert","16961","H","D","HD-24-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Clayton Wood","23518","H","R","HD-13-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Clifford Newton","21850","H","R","HD-06-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Corinne Morse","23472","H","D","HD-09-GRA",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Cyril Aures","23403","H","R","HD-13-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Damond Ford","23438","H","D","HD-40-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Daniel Fitzpatrick","23436","H","D","HD-19-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Daniel LeClerc","23461","H","D","HD-34-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","David Cote","4864","H","D","HD-31-HIL",TRUE,"Won Nov 2022 but never sworn in; resigned July 6 2023 without taking office (health/COVID). Replaced by Paige Beauchemin (special election Nov 2023)"
"NH","2023_2024","David Fracht","24968","H","D","HD-16-GRA",FALSE,"Assumed office 9/6/23 — partial term, included with LES=0"
"NH","2023_2024","David Huot","15245","H","D","HD-05-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","David Milz","14866","H","R","HD-13-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","David Preece","23524","H","D","HD-17-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Dennis Green","17695","H","R","HD-13-ROC",TRUE,"Prior-term holdover in legiscan; term ended Dec 7 2022, did not run for re-election"
"NH","2023_2024","Dianne Schuett","4955","H","D","HD-12-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Dick Thackston","23525","H","R","HD-12-CHE",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Dru Fox","21813","H","D","HD-02-CHE",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Efstathia Booras","15535","H","D","HD-08-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Erik Johnson","25187","H","D","HD-08-STR",FALSE,"Assumed office 3/27/24 — partial term, included with LES=0"
"NH","2023_2024","Fred Davis","19813","H","D","HD-03-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Gail Pare","23484","H","D","HD-16-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Gail Sanborn","21865","H","R","HD-06-GRA",TRUE,"Prior-term holdover in legiscan; term ended Dec 7 2022, did not run for re-election"
"NH","2023_2024","Geoff Smith","23507","H","D","HD-21-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Gerald Ward","15603","H","D","HD-27-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Hal Rafter","24969","H","D","HD-01-ROC",FALSE,"Assumed office 10/4/23 — partial term, included with LES=0"
"NH","2023_2024","Harry Bean","19748","H","R","HD-06-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Heather Baldwin","23406","H","D","HD-04-GRA",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Heather Raymond","23494","H","D","HD-05-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Henry Noel","19765","H","D","HD-05-COO",FALSE,"Served full term - included with LES=0"
