Date,State,Bill No,Title,Action
"June 8, 2023",NH,HB 315,"Prohibits the Use of the ""Gay Panic"" Murder Defense","""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (20 - 4)"
"April 6, 2023",NH,HB 430,Limits Eligibility to the Education Freedom Account Program,"""Inexpedient to Legislate"" Vote Passed
                           - House
                      

                      
                          (194 - 192)"
"April 6, 2023",NH,HB 639,Authorizes Adults 21 and Older to Possess up to 4 Ounces of Cannabis,"Bill Passed
                           - House
                      

                      
                          (272 - 109)"
"March 23, 2023",NH,CACR 2,Establishes Protections Over Reproductive Health Choices in the State Constitution,"""Ought to Pass"" Report Not Adopted
                           - House
                      

                      
                          (193 - 191)"
"March 23, 2023",NH,HB 224,Repeals Criminal and Civil Abortion Penalties,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (205 - 178)"
"March 16, 2023",NH,SB 272,Establishes a Parents Bill of Right's for Students in Public and Private Schools,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (14 - 10)"
"March 9, 2023",NH,HB 281,Amends State Energy and Utility Policies,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (184 - 168)"
"Feb. 23, 2023",NH,HB 234,"Prohibits the Practice of Renewable Energy Credit ""Sweeping""","""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (177 - 167)"
"Feb. 2, 2023",NH,HB 95,Authorizes Municipalities to Adopt Rent Control Practices,"""Inexpedient to Legislate"" Vote Passed
                           - House
                      

                      
                          (301 - 63)"
"Jan. 26, 2023",NH,SB 77,Authorizes Assignment of Students to Private Schools Due to Educational Hardship,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (14 - 10)"
