bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
A-0004,2024_2025,Affordable housing-reforms municipal responsibilities concerning provision;$16M,APP,"Lopez, Yvonne; Coughlin, Craig J.; Wimberly, Benjie E.",2024-01-09,2024-03-20,2.0,S-0050,Reforms municipal responsibilities concerning provision of affordable housing; abolishes COAH; appropriates $16 million.
A-0101,2024_2025,"School student-excused absence, participation in military funeral playing ""Taps""",AED,"Guardian, Donald A.; Venezia, Michael",2024-01-09,,,,"Provides excused absence for public school student who participates in musical performance at military funeral, including playing ""Taps."""
A-0102,2024_2025,"Small business & farm employer-CBT & income tax cred, mandatory employer contrib",AST,"Guardian, Donald A.",2024-01-09,,,S-0605,Provides corporation business tax credits and gross income tax credits to small business employers and farm employers for increases in certain mandatory employer contributions.
A-0103,2024_2025,Nursing aide-financial assistance tax credit for costs associated w/training,AHU,"Guardian, Donald A.",2024-01-09,,,,Provides gross income tax credit for certain taxpayers who pay tuition costs for nurse aide in long-term care facilities training program.
A-0104,2024_2025,"Farm markets, seasonal-permits sale of certain alcoholic beverages",ACE,"Guardian, Donald A.",2024-01-09,,,,Permits sale of certain alcoholic beverages and related products at seasonal farm markets.
A-0105,2024_2025,Class Three special law enforcement officers-prov. security at pub/priv colleges,AHI,"Guardian, Donald A.",2024-01-09,,,S-0166,Authorizes Class Three special law enforcement officers to provide security at public and private colleges.
A-0106,2024_2025,"Farm employers-CBT & gross income tax credit, provide lodging & trans. benefits",ACE,"Guardian, Donald A.",2024-01-09,,,S-0603,Provides corporation business tax credits and gross income tax credits to farm employers for providing lodging or transportation benefits.
A-0107,2024_2025,Horse racetracks-allows wagers at casinos in Atlantic City using Internet,ATG,"Guardian, Donald A.",2024-01-09,,,,Allows horse racetracks to be available for placing wagers at casinos in Atlantic City using Internet.
A-0108,2024_2025,"Sports events, prohibited-establish penalties for accepting wagers",ATG,"Guardian, Donald A.",2024-01-09,,,,Establishes penalties for accepting wagers on prohibited sports events.
A-0109,2024_2025,Business Tax and Incentive Task Force-establishes,ACE,"Guardian, Donald A.",2024-01-09,,,,"Establishes ""Business Tax and Incentive Task Force."""
A-0110,2024_2025,Homestead property tax reimbursement-revises criteria to establish base year,ASL,"Guardian, Donald A.; Sauickie, Alex",2024-01-09,,,S-1756,Revises criteria to establish base year for homestead property tax reimbursement after relocation.
A-0111,2024_2025,Affordable health care plans-create English/Spanish language Internet websites,AHU,"Guardian, Donald A.; Venezia, Michael",2024-01-09,,,S-0097,Requires DHS to create English and Spanish-language Internet websites to promote enrollment in affordable health care plans.
A-0112,2024_2025,Senior nutrition programs' motor vehicles-exempts from registration fees,ATR,"Guardian, Donald A.; Bailey, David; Scharfenberger, Gerry",2024-01-09,,,S-2723,Exempts certain motor vehicles that are owned by certain nutrition programs and certain nonprofit organizations that offer social services from motor vehicle registration fees.
A-0113,2024_2025,Individual with medical condition-retail establishment allow access to restroom,AHE,"Guardian, Donald A.",2024-01-09,,,,Requires retail establishments to allow individuals with certain medical conditions access to employee restrooms.
A-0114,2024_2025,Homeless shelter-establish Statewide database of beds,ACW,"Guardian, Donald A.",2024-01-09,,,S-1152,Establishes Statewide database of beds in shelters for the homeless.
A-0115,2024_2025,Disability Savings Act-concerns tax deductions for certain disability expenses,AHU,"Guardian, Donald A.",2024-01-09,,,S-0804,"""New Jersey Disability Savings Act."""
A-0116,2024_2025,"Complaints, public-State department required to provide a link on its website",ASL,"Guardian, Donald A.; Peterpaul, Luanne M.",2024-01-09,,,S-2747,"Requires State department, agency, authority, or instrumentality thereof to provide link on its website for members of public to submit complaints."
A-0117,2024_2025,"Environmental project, supplemental-replace portion of monetary penalty for viol",AEN,"Guardian, Donald A.",2024-01-09,,,,Authorizes performance of supplemental environmental project to replace portion of monetary penalties for environmental violations in certain circumstances.
A-0118,2024_2025,"Veterans, disabled-provides credits under CBT and income tax for qualified wages",AMV,"Guardian, Donald A.",2024-01-09,,,S-2301,Provides credits under corporation business tax and gross income tax for qualified wages of certain disabled veterans.
