bill_number,session,chamber,action_date,action,order
A-0004,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0004,2024_2025,A,2024-01-29,Reported and Referred to AAP,2
A-0004,2024_2025,A,2024-02-08,"Reported out of Assembly Committee with Amendments, 2nd Reading",3
A-0004,2024_2025,A,2024-02-12,Passed Assembly,4
A-0004,2024_2025,S,2024-02-12,"Received in the Senate, Referred to SBA",5
A-0004,2024_2025,S,2024-03-11,"Reported out of Senate Committee with Amendments, 2nd Reading",6
A-0004,2024_2025,S,2024-03-18,Substituted for,7
A-0004,2024_2025,S,2024-03-18,Passed Senate,8
A-0004,2024_2025,A,2024-03-18,"Received in the Assembly, 2nd Reading on Concurrence",9
A-0004,2024_2025,A,2024-03-18,Passed Assembly (Passed Both Houses),10
A-0004,2024_2025,G,2024-03-20,Approved,11
A-0101,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0102,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AST",1
A-0103,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0104,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0105,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0106,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0107,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATG",1
A-0108,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATG",1
A-0109,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0110,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0111,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0112,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0113,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0114,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACW",1
A-0115,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0116,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0117,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0118,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0119,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ALA",1
A-0120,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ALA",1
A-0121,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
