bill_id,term,session,title,summary,commem
A0004,2024_2025,2024_2025,Affordable housing-reforms municipal responsibilities concerning provision;$16M,Reforms municipal responsibilities concerning provision of affordable housing; abolishes COAH; appropriates $16 million.,0
A0101,2024_2025,2024_2025,"School student-excused absence, participation in military funeral playing ""Taps""","Provides excused absence for public school student who participates in musical performance at military funeral, including playing ""Taps.""",0
A0102,2024_2025,2024_2025,"Small business & farm employer-CBT & income tax cred, mandatory employer contrib",Provides corporation business tax credits and gross income tax credits to small business employers and farm employers for increases in certain mandatory employer contributions.,0
A0103,2024_2025,2024_2025,Nursing aide-financial assistance tax credit for costs associated w/training,Provides gross income tax credit for certain taxpayers who pay tuition costs for nurse aide in long-term care facilities training program.,0
A0104,2024_2025,2024_2025,"Farm markets, seasonal-permits sale of certain alcoholic beverages",Permits sale of certain alcoholic beverages and related products at seasonal farm markets.,0
A0105,2024_2025,2024_2025,Class Three special law enforcement officers-prov. security at pub/priv colleges,Authorizes Class Three special law enforcement officers to provide security at public and private colleges.,0
A0106,2024_2025,2024_2025,"Farm employers-CBT & gross income tax credit, provide lodging & trans. benefits",Provides corporation business tax credits and gross income tax credits to farm employers for providing lodging or transportation benefits.,0
A0107,2024_2025,2024_2025,Horse racetracks-allows wagers at casinos in Atlantic City using Internet,Allows horse racetracks to be available for placing wagers at casinos in Atlantic City using Internet.,0
A0108,2024_2025,2024_2025,"Sports events, prohibited-establish penalties for accepting wagers",Establishes penalties for accepting wagers on prohibited sports events.,0
A0109,2024_2025,2024_2025,Business Tax and Incentive Task Force-establishes,"Establishes ""Business Tax and Incentive Task Force.""",0
A0110,2024_2025,2024_2025,Homestead property tax reimbursement-revises criteria to establish base year,Revises criteria to establish base year for homestead property tax reimbursement after relocation.,0
A0111,2024_2025,2024_2025,Affordable health care plans-create English/Spanish language Internet websites,Requires DHS to create English and Spanish-language Internet websites to promote enrollment in affordable health care plans.,0
A0112,2024_2025,2024_2025,Senior nutrition programs' motor vehicles-exempts from registration fees,Exempts certain motor vehicles that are owned by certain nutrition programs and certain nonprofit organizations that offer social services from motor vehicle registration fees.,0
A0113,2024_2025,2024_2025,Individual with medical condition-retail establishment allow access to restroom,Requires retail establishments to allow individuals with certain medical conditions access to employee restrooms.,0
A0114,2024_2025,2024_2025,Homeless shelter-establish Statewide database of beds,Establishes Statewide database of beds in shelters for the homeless.,0
A0115,2024_2025,2024_2025,Disability Savings Act-concerns tax deductions for certain disability expenses,"""New Jersey Disability Savings Act.""",0
A0116,2024_2025,2024_2025,"Complaints, public-State department required to provide a link on its website","Requires State department, agency, authority, or instrumentality thereof to provide link on its website for members of public to submit complaints.",0
A0117,2024_2025,2024_2025,"Environmental project, supplemental-replace portion of monetary penalty for viol",Authorizes performance of supplemental environmental project to replace portion of monetary penalties for environmental violations in certain circumstances.,0
A0118,2024_2025,2024_2025,"Veterans, disabled-provides credits under CBT and income tax for qualified wages",Provides credits under corporation business tax and gross income tax for qualified wages of certain disabled veterans.,0
A0119,2024_2025,2024_2025,"Labor & Workforce Devel.-allocates $50M from fed. govt assistance, improve unemp",Allocates $50 million to Department of Labor and Workforce Development from federal government assistance to improve unemployment insurance benefit claims processing capacity.,0
A0120,2024_2025,2024_2025,"Unemployment & Temp Disability Insurance, Division-direct State Auditor to audit",Directs State Auditor to audit Division of Unemployment and Temporary Disability Insurance in DOLWD.,0
A0121,2024_2025,2024_2025,Transportation projects between AC Airport & Tourism Dist.-auth. CRDA to finance,Authorizes CRDA to finance transportation projects between Atlantic City Airport and Atlantic City Tourism District.,0
A0122,2024_2025,2024_2025,"Programs, State-requires establishment of central database on official website",Requires establishment of central database of State programs on official website.,0
A0123,2024_2025,2024_2025,Disabled veterans total property tax exemption-req. partial State reimbursement,Requires partial State reimbursement to municipalities for cost of disabled veterans' total property tax exemption.,0
A0124,2024_2025,2024_2025,"Classroom supply purch.-allow income tax deduction up to $1200, unreimb expenses","Allows gross income tax deduction for up to $1,200 of unreimbursed expenses incurred by eligible educators for purchase of classroom supplies.",0
A0125,2024_2025,2024_2025,"9-1-1 PSAP County Grants, annual-establishes",Establishes annual 9-1-1 PSAP County Grants.,0
A0126,2024_2025,2024_2025,Family leave-provides for employee to attend certain events of child of employee,Provides family leave for employee to attend certain events of child of employee; establishes tax credits for employer that provide full paid family leave benefits.,0
A0127,2024_2025,2024_2025,"Employment in positions involving children, State-concerns requirements",Requires State employer to ascertain child abuse or sexual misconduct in employment applications for certain positions involving children; requires background checks for current and prospective employees.,0
A0128,2024_2025,2024_2025,"School supplies-allows tax deduction up to $1,200, purchases by parent/guardian","Allows gross income tax deduction of up to $1,200 for purchases of school supplies by parents and guardians.",0
A0129,2024_2025,2024_2025,"Animal cruelty violations-establish procedures for seizure, care, and foreiture","Establishes procedures for seizure, care, and forfeiture of animals involved in animal cruelty violations.",0
A0130,2024_2025,2024_2025,Rural Business Development Program-establishes in EDA;$35M,"Establishes ""Rural Business Development Program"" in EDA; appropriates $35 million to EDA from federal funds.",0
A0131,2024_2025,2024_2025,Military service-auth. free hunting/fishing lic & free admission to St. parks,"Authorizes free hunting, fishing, and trapping licenses and free admission to State parks and forests for disabled veterans and individuals with certain types of military service.",0
A0132,2024_2025,2024_2025,"River's Law-animal abuse, value of animal's life, second degree crime","Establishes certain animal abuse offenses committed in manner manifesting extreme indifference to value of animal's life as crime of second degree; designated as ""River's Law.""",0
A0133,2024_2025,2024_2025,"ATV Law Enforce. Task Force-estab., enhance & coordinate efforts to enforce laws","Establishes ""ATV Law Enforcement Task Force"" to enhance and coordinate efforts to enforce laws pertaining to ATVs; appropriates $1 million.",0
A0134,2024_2025,2024_2025,"Nuclear Energy Apprenticeship, Training, & Employment Resources Pilot Prog-estab","Establishes Nuclear Energy Apprenticeship, Training, and Employment Resources Pilot Program in DOLWD; appropriates $1 million.",0
A0135,2024_2025,2024_2025,Summer Earn & Learn Pilot Program-estab.; concerns access to suppl learning asst,"Establishes ""Summer Earn and Learn Pilot Program.""",0
A0136,2024_2025,2024_2025,Rural Broadband Infrastructure Grant Program-establish;$2.5M in federal funds,Establishes Rural Broadband Infrastructure Grant Program in EDA; appropriates $2.5 million in federal funds.,0
A0137,2024_2025,2024_2025,County Tourism Incentive Grant Fund-establishes,"Establishes ""County Tourism Incentive Grant Fund"" within Department of Treasury to provide funding for grants to counties to support tourism advertising and promotion.",0
A0138,2024_2025,2024_2025,Behavioral health court pilot program-creates,Creates behavioral health court pilot program.,0
A0139,2024_2025,2024_2025,"Local health agency, cert employees-repeals law, transfer to superseding agency",Repeals sections of law pertaining to transfer of civil service and non-civil service employees of terminated local health agency to superseding agency.,0
A0140,2024_2025,2024_2025,Affordable housing need/fee-proh imposition upon local transfer or business move,Prohibits the imposition of affordable housing need and related fees upon the local transfer or move of a business.,0
