bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1813104,2882951,text,320759,text/html,Introduced,https://legiscan.com/NJ/text/A4/id/2882951,https://pub.njleg.gov/Bills/2024/ABills/4_I1.htm
1813104,2940121,text,357491,text/html,Introduced,https://legiscan.com/NJ/text/A4/id/2940121,https://pub.njleg.gov/Bills/2024/A0500/4_I2.HTM
1813104,2922094,text,357241,text/html,Amended,https://legiscan.com/NJ/text/A4/id/2922094,https://pub.njleg.gov/Bills/2024/A0500/4_R1.HTM
1813104,2958093,text,391014,text/html,Amended,https://legiscan.com/NJ/text/A4/id/2958093,https://pub.njleg.gov/Bills/2024/A0500/4_R2.HTM
1813104,3013275,text,377074,text/html,Enrolled,https://legiscan.com/NJ/text/A4/id/3013275,https://pub.njleg.gov/Bills/2024/AL24/2_.HTM
1813104,3015597,text,246548,text/html,Chaptered,https://legiscan.com/NJ/text/A4/id/3015597,https://pub.njleg.gov/Bills/2024/PL24/2_.HTM
1807273,2891301,text,17060,text/html,Introduced,https://legiscan.com/NJ/text/A101/id/2891301,https://pub.njleg.gov/Bills/2024/A0500/101_I1.HTM
1805963,2894421,text,25880,text/html,Introduced,https://legiscan.com/NJ/text/A102/id/2894421,https://pub.njleg.gov/Bills/2024/A0500/102_I1.HTM
1806005,2894677,text,17915,text/html,Introduced,https://legiscan.com/NJ/text/A103/id/2894677,https://pub.njleg.gov/Bills/2024/A0500/103_I2.HTM
1806005,2916647,text,18487,text/html,Introduced,https://legiscan.com/NJ/text/A103/id/2916647,https://pub.njleg.gov/Bills/2024/A0500/103_I1.HTM
1807514,2894043,text,17904,text/html,Introduced,https://legiscan.com/NJ/text/A104/id/2894043,https://pub.njleg.gov/Bills/2024/A0500/104_I1.HTM
1807009,2892878,text,22912,text/html,Introduced,https://legiscan.com/NJ/text/A105/id/2892878,https://pub.njleg.gov/Bills/2024/A0500/105_I1.HTM
1807737,2890394,text,26046,text/html,Introduced,https://legiscan.com/NJ/text/A106/id/2890394,https://pub.njleg.gov/Bills/2024/A0500/106_I1.HTM
1804787,2888416,text,18075,text/html,Introduced,https://legiscan.com/NJ/text/A107/id/2888416,https://pub.njleg.gov/Bills/2024/A0500/107_I1.HTM
1805764,2894072,text,17830,text/html,Introduced,https://legiscan.com/NJ/text/A108/id/2894072,https://pub.njleg.gov/Bills/2024/A0500/108_I1.HTM
1807270,2895928,text,26696,text/html,Introduced,https://legiscan.com/NJ/text/A109/id/2895928,https://pub.njleg.gov/Bills/2024/A0500/109_I1.HTM
1807301,2890583,text,31521,text/html,Introduced,https://legiscan.com/NJ/text/A110/id/2890583,https://pub.njleg.gov/Bills/2024/A0500/110_I1.HTM
1804788,2891959,text,18560,text/html,Introduced,https://legiscan.com/NJ/text/A111/id/2891959,https://pub.njleg.gov/Bills/2024/A0500/111_I1.HTM
1806196,2895963,text,17175,text/html,Introduced,https://legiscan.com/NJ/text/A112/id/2895963,https://pub.njleg.gov/Bills/2024/A0500/112_I1.HTM
1805127,2888960,text,22482,text/html,Introduced,https://legiscan.com/NJ/text/A113/id/2888960,https://pub.njleg.gov/Bills/2024/A0500/113_I1.HTM
1806156,2892952,text,16975,text/html,Introduced,https://legiscan.com/NJ/text/A114/id/2892952,https://pub.njleg.gov/Bills/2024/A0500/114_I1.HTM
1807709,2894875,text,20046,text/html,Introduced,https://legiscan.com/NJ/text/A115/id/2894875,https://pub.njleg.gov/Bills/2024/A0500/115_I1.HTM
1804997,2894275,text,15455,text/html,Introduced,https://legiscan.com/NJ/text/A116/id/2894275,https://pub.njleg.gov/Bills/2024/A0500/116_I1.HTM
1807819,2896329,text,24718,text/html,Introduced,https://legiscan.com/NJ/text/A117/id/2896329,https://pub.njleg.gov/Bills/2024/A0500/117_I1.HTM
1804476,2895308,text,29577,text/html,Introduced,https://legiscan.com/NJ/text/A118/id/2895308,https://pub.njleg.gov/Bills/2024/A0500/118_I1.HTM
1806249,2890463,text,15694,text/html,Introduced,https://legiscan.com/NJ/text/A119/id/2890463,https://pub.njleg.gov/Bills/2024/A0500/119_I1.HTM
1804777,2888299,text,17082,text/html,Introduced,https://legiscan.com/NJ/text/A120/id/2888299,https://pub.njleg.gov/Bills/2024/A0500/120_I1.HTM
1807706,2889537,text,36163,text/html,Introduced,https://legiscan.com/NJ/text/A121/id/2889537,https://pub.njleg.gov/Bills/2024/A0500/121_I1.HTM
1806650,2893507,text,18986,text/html,Introduced,https://legiscan.com/NJ/text/A122/id/2893507,https://pub.njleg.gov/Bills/2024/A0500/122_I1.HTM
1806398,2893911,text,21391,text/html,Introduced,https://legiscan.com/NJ/text/A123/id/2893911,https://pub.njleg.gov/Bills/2024/A0500/123_I1.HTM
1806758,2890608,text,15452,text/html,Introduced,https://legiscan.com/NJ/text/A124/id/2890608,https://pub.njleg.gov/Bills/2024/A0500/124_I1.HTM
1805715,2892938,text,22732,text/html,Introduced,https://legiscan.com/NJ/text/A125/id/2892938,https://pub.njleg.gov/Bills/2024/A0500/125_I1.HTM
1805128,2891703,text,27272,text/html,Introduced,https://legiscan.com/NJ/text/A126/id/2891703,https://pub.njleg.gov/Bills/2024/A0500/126_I1.HTM
1804911,2895757,text,56495,text/html,Introduced,https://legiscan.com/NJ/text/A127/id/2895757,https://pub.njleg.gov/Bills/2024/A0500/127_I1.HTM
1806665,2896339,text,16248,text/html,Introduced,https://legiscan.com/NJ/text/A128/id/2896339,https://pub.njleg.gov/Bills/2024/A0500/128_I1.HTM
1804482,2894784,text,75777,text/html,Introduced,https://legiscan.com/NJ/text/A129/id/2894784,https://pub.njleg.gov/Bills/2024/A0500/129_I1.HTM
1805786,2894335,text,24347,text/html,Introduced,https://legiscan.com/NJ/text/A130/id/2894335,https://pub.njleg.gov/Bills/2024/A0500/130_I1.HTM
1806121,2892019,text,27636,text/html,Introduced,https://legiscan.com/NJ/text/A131/id/2892019,https://pub.njleg.gov/Bills/2024/A0500/131_I1.HTM
1807751,2894346,text,24088,text/html,Introduced,https://legiscan.com/NJ/text/A132/id/2894346,https://pub.njleg.gov/Bills/2024/A0500/132_I1.HTM
1805517,2892160,text,27956,text/html,Introduced,https://legiscan.com/NJ/text/A133/id/2892160,https://pub.njleg.gov/Bills/2024/A0500/133_I1.HTM
1806852,2893288,text,29340,text/html,Introduced,https://legiscan.com/NJ/text/A134/id/2893288,https://pub.njleg.gov/Bills/2024/A0500/134_I1.HTM
1805615,2888230,text,31018,text/html,Introduced,https://legiscan.com/NJ/text/A135/id/2888230,https://pub.njleg.gov/Bills/2024/A0500/135_I1.HTM
1804376,2891568,text,28176,text/html,Introduced,https://legiscan.com/NJ/text/A136/id/2891568,https://pub.njleg.gov/Bills/2024/A0500/136_I1.HTM
1806751,2894384,text,26843,text/html,Introduced,https://legiscan.com/NJ/text/A137/id/2894384,https://pub.njleg.gov/Bills/2024/A0500/137_I1.HTM
1804662,2894466,text,31500,text/html,Introduced,https://legiscan.com/NJ/text/A138/id/2894466,https://pub.njleg.gov/Bills/2024/A0500/138_I1.HTM
1807108,2894803,text,17288,text/html,Introduced,https://legiscan.com/NJ/text/A139/id/2894803,https://pub.njleg.gov/Bills/2024/A0500/139_I1.HTM
1806133,2893666,text,15225,text/html,Introduced,https://legiscan.com/NJ/text/A140/id/2893666,https://pub.njleg.gov/Bills/2024/A0500/140_I1.HTM
1805779,2894071,text,70127,text/html,Introduced,https://legiscan.com/NJ/text/A141/id/2894071,https://pub.njleg.gov/Bills/2024/A0500/141_I1.HTM
1805216,2893453,text,20742,text/html,Introduced,https://legiscan.com/NJ/text/A142/id/2893453,https://pub.njleg.gov/Bills/2024/A0500/142_I1.HTM
1805401,2891671,text,15198,text/html,Introduced,https://legiscan.com/NJ/text/A143/id/2891671,https://pub.njleg.gov/Bills/2024/A0500/143_I1.HTM
1807775,2895195,text,23594,text/html,Introduced,https://legiscan.com/NJ/text/A144/id/2895195,https://pub.njleg.gov/Bills/2024/A0500/144_I1.HTM
1805608,2892059,text,17106,text/html,Introduced,https://legiscan.com/NJ/text/A146/id/2892059,https://pub.njleg.gov/Bills/2024/A0500/146_I1.HTM
1805024,2893555,text,36000,text/html,Introduced,https://legiscan.com/NJ/text/A147/id/2893555,https://pub.njleg.gov/Bills/2024/A0500/147_I1.HTM
1806907,2888367,text,19491,text/html,Introduced,https://legiscan.com/NJ/text/A148/id/2888367,https://pub.njleg.gov/Bills/2024/A0500/148_I1.HTM
1804550,2891853,text,24527,text/html,Introduced,https://legiscan.com/NJ/text/A150/id/2891853,https://pub.njleg.gov/Bills/2024/A0500/150_I1.HTM
1805222,2892588,text,34396,text/html,Introduced,https://legiscan.com/NJ/text/A151/id/2892588,https://pub.njleg.gov/Bills/2024/A0500/151_I1.HTM
1805510,2888294,text,17746,text/html,Introduced,https://legiscan.com/NJ/text/A152/id/2888294,https://pub.njleg.gov/Bills/2024/A0500/152_I1.HTM
1805202,2894153,text,39479,text/html,Introduced,https://legiscan.com/NJ/text/A153/id/2894153,https://pub.njleg.gov/Bills/2024/A0500/153_I1.HTM
1806286,2890632,text,15462,text/html,Introduced,https://legiscan.com/NJ/text/A155/id/2890632,https://pub.njleg.gov/Bills/2024/A0500/155_I1.HTM
1807040,2896336,text,36006,text/html,Introduced,https://legiscan.com/NJ/text/A156/id/2896336,https://pub.njleg.gov/Bills/2024/A0500/156_I1.HTM
1806482,2890317,text,39089,text/html,Introduced,https://legiscan.com/NJ/text/A157/id/2890317,https://pub.njleg.gov/Bills/2024/A0500/157_I1.HTM
1805016,2894508,text,63593,text/html,Introduced,https://legiscan.com/NJ/text/A158/id/2894508,https://pub.njleg.gov/Bills/2024/A0500/158_I1.HTM
1804983,2893559,text,36313,text/html,Introduced,https://legiscan.com/NJ/text/A159/id/2893559,https://pub.njleg.gov/Bills/2024/A0500/159_I1.HTM
1807663,2891762,text,14715,text/html,Introduced,https://legiscan.com/NJ/text/A160/id/2891762,https://pub.njleg.gov/Bills/2024/A0500/160_I1.HTM
1806094,2891797,text,17227,text/html,Introduced,https://legiscan.com/NJ/text/A161/id/2891797,https://pub.njleg.gov/Bills/2024/A0500/161_I1.HTM
1805424,2896809,text,55754,text/html,Introduced,https://legiscan.com/NJ/text/A162/id/2896809,https://pub.njleg.gov/Bills/2024/A0500/162_I1.HTM
1805894,2894669,text,19970,text/html,Introduced,https://legiscan.com/NJ/text/A163/id/2894669,https://pub.njleg.gov/Bills/2024/A0500/163_I1.HTM
1806027,2894729,text,31416,text/html,Introduced,https://legiscan.com/NJ/text/A164/id/2894729,https://pub.njleg.gov/Bills/2024/A0500/164_I1.HTM
