people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2948,"John DiMaio",John,,DiMaio,,,2,R,1,Rep,HD-023,6666748,58033,,John_DiMaio,276637,0
3064,"Gary Schaer",Gary,S.,Schaer,,,1,D,1,Rep,HD-036,6467339,58622,,Gary_Schaer,241287,0
3067,"Pamela Lampitt",Pamela,Rosen,Lampitt,,,1,D,1,Rep,HD-006,6467261,58080,,Pamela_Lampitt,241276,0
3069,"Patrick Diegnan",Patrick,J.,Diegnan,Jr.,,1,D,2,Sen,SD-018,6389820,55104,,Patrick_Diegnan_Jr.,209972,0
3072,"John McKeon",John,F.,McKeon,,,1,D,2,Sen,SD-027,6389188,55071,,John_McKeon_(New_Jersey),209985,0
3074,"Jon Bramnick",Jon,M.,Bramnick,,,2,R,2,Sen,SD-021,6510425,43406,,Jon_Bramnick,215849,0
3075,"Nancy Munoz",Nancy,F.,Munoz,,,2,R,1,Rep,HD-021,6511418,111115,,Nancy_Munoz,277821,0
3077,"James Holzapfel",James,W.,Holzapfel,,,2,R,2,Sen,SD-010,6586141,4437,,James_Holzapfel,197355,0
3079,"Linda Greenstein",Linda,R.,Greenstein,,,1,D,2,Sen,SD-014,13008924,22544,,Linda_Greenstein,197363,0
3086,"Jay Webber",Jay,,Webber,,,2,R,1,Rep,HD-026,13008952,43279,,Jay_Webber,260572,0
3090,"Brian Rumpf",Brian,E.,Rumpf,,,2,R,1,Rep,HD-009,6613635,43228,,Brian_Rumpf,218103,0
3091,"Anthony M. Bucco",Anthony,M.,Bucco,Jr.,,2,R,2,Sen,SD-025,6586626,122157,,Anthony_M._Bucco,283474,0
3093,"Declan O'Scanlon",Declan,J.,O'Scanlon,Jr.,,2,R,2,Sen,SD-013,6480534,58171,,"Declan_O%27Scanlon,_Jr.",260557,0
3104,"Vincent Polistina",Vincent,J.,Polistina,,Vince,2,R,2,Sen,SD-002,6577235,69652,,Vincent_Polistina,260504,0
3105,"Erik Peterson",Erik,,Peterson,,,2,R,1,Rep,HD-023,6680307,90692,,Erik_Peterson_(New_Jersey),282662,0
3108,"Gordon Johnson",Gordon,M.,Johnson,,,1,D,2,Sen,SD-037,6389154,55119,,Gordon_Johnson,121160,0
3116,"Wayne DeAngelo",Wayne,P.,DeAngelo,,,1,D,1,Rep,HD-014,6485151,69724,,Wayne_DeAngelo,260564,0
3117,"Cleopatra Tucker",Cleopatra,G.,Tucker,,,1,D,1,Rep,HD-028,13008958,69745,,Cleopatra_Tucker,260574,0
3124,"Paul Moriarty",Paul,D.,Moriarty,,,1,D,2,Sen,SD-004,6467294,58078,,Paul_Moriarty_(New_Jersey),241274,0
3125,"John Burzichelli",John,J.,Burzichelli,,,1,D,2,Sen,SD-003,6389575,22547,,John_Burzichelli,209982,0
3126,"Nellie Pou",Nellie,,Pou,,,1,D,2,Sen,SD-035,6749723,15181,,Nellie_Pou,197405,0
3127,"Herbert Conaway",Herbert,C.,Conaway,Jr.,Herb,1,D,1,Rep,HD-007,6389645,24716,,Herbert_Conaway_Jr.,197349,0
3128,"Annette Quijano",Annette,,Quijano,,,1,D,1,Rep,HD-020,6498050,110881,,Annette_Quijano,266442,0
3129,"Joseph Cryan",Joseph,P.,Cryan,,,1,D,2,Sen,SD-020,5150905,55122,,Joseph_Cryan,209973,0
3130,"Louis Greenwald",Louis,D.,Greenwald,,,1,D,1,Rep,HD-006,6389064,8136,,Louis_Greenwald,197347,0
3136,"Craig Coughlin",Craig,J.,Coughlin,,,1,D,1,Rep,HD-019,6498711,116275,,Craig_Coughlin,282661,0
3138,"Robert Smith",Robert,,Smith,,Bob,1,D,2,Sen,SD-017,6389373,4201,,Bob_Smith_(New_Jersey),197370,0
3142,"James Beach",James,,Beach,,,1,D,2,Sen,SD-006,6512916,110944,,James_Beach,275014,0
3150,"Joseph Pennacchio",Joseph,,Pennacchio,,,2,R,2,Sen,SD-026,6586404,55025,,Joseph_Pennacchio,121163,0
3154,"Nicholas Scutari",Nicholas,P.,Scutari,,,1,D,2,Sen,SD-022,6452479,43083,,Nicholas_Scutari,118119,0
3158,"Joseph Vitale",Joseph,F.,Vitale,,,1,D,2,Sen,SD-019,6389456,24731,,Joseph_Vitale,197316,0
3169,"Brian Stack",Brian,P.,Stack,,,1,D,2,Sen,SD-033,6410684,43373,,Brian_Stack,220489,0
3174,"Teresa Ruiz","M. Teresa",,Ruiz,,Teresa,1,D,2,Sen,SD-029,13012888,69688,,Teresa_Ruiz_(New_Jersey),260491,0
3182,"Paul Sarlo",Paul,A.,Sarlo,,,1,D,2,Sen,SD-036,6389343,55139,,Paul_Sarlo,209978,0
3206,"Robert Singer",Robert,W.,Singer,,,2,R,2,Sen,SD-030,6451586,4471,,Robert_Singer,197326,0
3208,"Sean Kean",Sean,T.,Kean,,,2,R,1,Rep,HD-030,6613540,43112,,Sean_Kean,212354,0
3209,"Shirley Turner",Shirley,K.,Turner,,,1,D,2,Sen,SD-015,6389447,4452,,Shirley_Turner,197312,0
13506,"Troy Singleton",Troy,,Singleton,,,1,D,2,Sen,SD-007,6512941,129802,,Troy_Singleton,362767,0
13696,"Holly Schepisi",Holly,T.,Schepisi,,,2,R,2,Sen,SD-039,13008985,134860,,Holly_Schepisi,363204,0
13700,"Benjie Wimberly",Benjie,E.,Wimberly,,,1,D,1,Rep,HD-035,6513087,129849,,Benjie_Wimberly,363153,0
13703,"Shavonda Sumter",Shavonda,E.,Sumter,,,1,D,1,Rep,HD-035,6513077,129848,,Shavonda_Sumter,363149,0
13704,"Gregory McGuckin",Gregory,P.,McGuckin,,,2,R,1,Rep,HD-010,6698090,76688,,Gregory_McGuckin,362849,0
13861,"Robert Clifton",Robert,D.,Clifton,,,2,R,1,Rep,HD-012,6698095,144570,,Robert_Clifton_(New_Jersey),362876,0
15979,"Parker Space",Parker,,Space,,,2,R,2,Sen,SD-024,16700337,133246,,Parker_Space,453230,0
16067,"Eliana Marin",Eliana,Pintor,Marin,,,1,D,1,Rep,HD-029,18917282,145240,,Eliana_Pintor_Marin,469599,0
16145,"Robert Auth",Robert,,Auth,,,2,R,1,Rep,HD-039,6869720,144626,,Robert_Auth,455862,0
16148,"Joseph Lagana",Joseph,A.,Lagana,,,1,D,2,Sen,SD-038,18930609,145269,,Joseph_Lagana,465666,0
16150,"Raj Mukherji",Raj,,Mukherji,,,1,D,2,Sen,SD-032,6422591,144606,,Raj_Mukherji,455829,0
16264,"Joe Danielsen",Joe,,Danielsen,,,1,D,1,Rep,HD-017,17907809,155852,,Joseph_Danielsen,516027,0
16360,"Nilsa Cruz-Perez",Nilsa,I.,Cruz-Perez,,,1,D,2,Sen,SD-005,6389684,4472,,Nilsa_Cruz-Perez,197345,0
17813,"James Kennedy",James,J.,Kennedy,,,1,D,1,Rep,HD-022,29336686,156538,,James_J._Kennedy,531899,0
17863,"Andrew Zwicker",Andrew,,Zwicker,,,1,D,2,Sen,SD-016,23421566,152123,,Andrew_Zwicker,493728,0
17873,"Angela Mcknight",Angela,V.,Mcknight,,,1,D,2,Sen,SD-031,29336712,156554,,Angela_McKnight,531939,0
17948,"Robert Karabinchak",Robert,J.,Karabinchak,,,1,D,1,Rep,HD-018,6435259,133356,,Robert_Karabinchak,585691,0
19421,"Kristin Corrado",Kristin,M.,Corrado,,,2,R,2,Sen,SD-040,41754333,176310,,Kristin_Corrado,620583,0
19517,"Vin Gopal",Vin,,Gopal,,,1,D,2,Sen,SD-011,6512972,129810,,Vin_Gopal,362868,0
