bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1801162,1479224,2025-02-03,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported Favorably",8,0,0,0,8
1801184,1457111,2024-06-13,Senate,"Senate Law and Public Safety Committee: Reported with Amendments",4,0,1,0,5
1801184,1461646,2024-06-28,Senate,"Senate Floor: Third Reading - Final Passage",37,3,0,0,40
1801199,1409368,2024-03-14,Senate,"Senate Environment and Energy Committee: Reported with Substitution",3,2,0,0,5
1801201,1609828,2025-12-01,Senate,"Senate State Government, Wagering, Tourism & Historic Preservation Committee: Reported Favorably",5,0,0,0,5
1801211,1443821,2024-05-16,Senate,"Senate Military and Veterans' Affairs Committee: Reported Favorably",5,0,0,0,5
1801211,1610862,2025-12-18,Senate,"Senate Floor: Third Reading - Final Passage",38,0,2,0,40
1801213,1610006,2025-12-04,Senate,"Senate Education Committee: Reported Favorably",5,0,0,0,5
1801231,1478932,2025-02-03,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported with Amendments",8,0,0,0,8
1801232,1452811,2024-06-03,Senate,"Senate Transportation Committee: Reported Favorably",6,0,0,0,6
1801241,1455718,2024-06-10,Senate,"Senate Economic Growth Committee: Reported Favorably",5,0,0,0,5
1801241,1478048,2025-01-30,Senate,"Senate Floor: Third Reading - Final Passage",37,0,3,0,40
1801277,1468614,2024-10-10,Senate,"Senate Economic Growth Committee: Reported with Amendments",5,0,0,0,5
1801281,1369539,2024-01-25,Senate,"Senate Labor Committee: Reported with Amendments",3,0,2,0,5
1801286,1392364,2024-02-22,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported with Substitution",5,1,2,0,8
1801292,1369477,2024-01-25,Senate,"Senate Transportation Committee: Reported with Amendments",5,0,1,0,6
1801299,1443722,2024-05-16,Senate,"Senate Judiciary Committee: Reported Favorably",11,0,0,0,11
1801300,1379932,2024-02-08,Senate,"Senate Law and Public Safety Committee: Reported Favorably",5,0,0,0,5
1801300,1381626,2024-02-12,Senate,"Senate Floor: Third Reading - Final Passage (Voice Vote)",0,0,0,0,0
1801301,1485146,2025-02-10,Senate,"Senate Higher Eduction Committee: Reported with Amendments",5,0,0,0,5
1801310,1468638,2024-10-10,Senate,"Senate Commerce Committee: Reported with Amendments",4,1,0,0,5
1801329,1442863,2024-05-13,Senate,"Senate Environment and Energy Committee: Reported with Amendments",3,2,0,0,5
1801329,1467734,2024-09-30,Senate,"Senate Floor: Second Reading (Voice Vote)",0,0,0,0,0
1801329,1467850,2024-09-30,Senate,"Senate Floor: Amend",31,0,9,0,40
1801335,1468640,2024-10-10,Senate,"Senate Environment and Energy Committee: Reported Favorably",5,0,0,0,5
1801340,1439495,2024-05-06,Senate,"Senate Education Committee: Reported Favorably",5,0,0,0,5
1801344,1518808,2025-03-17,Senate,"Senate Community and Urban Affairs Committee: Reported Favorably",4,0,1,0,5
1801350,1485168,2025-02-10,Senate,"Senate Environment and Energy Committee: Reported with Amendments",5,0,0,0,5
1801357,1518850,2025-03-17,Senate,"Senate Community and Urban Affairs Committee: Reported with Amendments",4,0,1,0,5
1801357,1610998,2025-12-18,Senate,"Senate Floor: Third Reading - Final Passage",38,0,2,0,40
1801377,1573209,2025-05-19,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported Favorably",8,0,0,0,8
1801382,1468995,2024-10-28,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported with Amendments",8,0,0,0,8
1801382,1469876,2024-12-09,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported with Amendments",7,0,1,0,8
1801384,1443625,2024-05-16,Senate,"Senate Economic Growth Committee: Reported with Amendments",5,0,0,0,5
1801416,1470439,2024-12-16,Senate,"Senate Judiciary Committee: Reported with Amendments",11,0,0,0,11
1801423,1458678,2024-06-20,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported with Amendments",8,0,0,0,8
1801423,1611019,2025-12-18,Senate,"Senate Floor: Third Reading - Final Passage",38,0,2,0,40
1801426,1369476,2024-01-25,Senate,"Senate Transportation Committee: Reported Favorably",5,0,1,0,6
1801426,1458998,2024-06-24,Senate,"Senate Budget and Appropriations Committee: Reported with Amendments",12,0,1,0,13
1801427,1385549,2024-02-15,Senate,"Senate Education Committee: Reported Favorably",5,0,0,0,5
1801427,1411954,2024-03-18,Senate,"Senate Floor: Third Reading - Final Passage",38,0,2,0,40
1801462,1503831,2025-03-03,Senate,"Senate Military and Veterans' Affairs Committee: Reported Favorably",5,0,0,0,5
1801462,1595944,2025-06-26,Senate,"Senate Budget and Appropriations Committee: Reported Favorably",13,0,0,0,13
1801462,1611264,2025-12-22,Senate,"Senate Floor: Third Reading - Final Passage",36,0,4,0,40
1801476,1518436,2025-03-17,Senate,"Senate Education Committee: Reported Favorably",5,0,0,0,5
1801481,1609816,2025-12-01,Senate,"Senate Labor Committee: Reported with Amendments",4,1,0,0,5
1801487,1441736,2024-05-09,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported with Amendments",8,0,0,0,8
1801502,1409630,2024-03-14,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported Favorably",8,0,0,0,8
1801513,1403091,2024-03-04,Senate,"Senate Environment and Energy Committee: Reported Favorably",3,2,0,0,5
1801521,1439800,2024-05-06,Senate,"Senate Education Committee: Reported Favorably",5,0,0,0,5
1801521,1445065,2024-05-20,Senate,"Senate Floor: Third Reading - Final Passage",37,0,3,0,40
1801525,1454778,2024-06-06,Senate,"Senate Health, Human Services and Senior Citizens Committee: Reported Favorably",8,0,0,0,8
1801529,1375771,2024-02-05,Senate,"Senate Commerce Committee: Reported with Amendments",5,0,0,0,5
1801529,1381334,2024-02-12,Senate,"Senate Floor: Third Reading - Final Passage",37,0,3,0,40
1801531,1369454,2024-01-25,Senate,"Senate Community and Urban Affairs Committee: Reported with Amendments",5,0,0,0,5
1801531,1407198,2024-03-11,Senate,"Senate Budget and Appropriations Committee: Reported with Amendments",13,0,0,0,13
1801531,1410101,2024-03-18,Assembly,"Assembly Floor: Substitute for A3365 (Voice Vote)",0,0,0,0,0
1801531,1411853,2024-03-18,Assembly,"Assembly Floor: Third Reading - Final Passage",67,8,5,0,80
1801531,1411854,2024-03-18,Senate,"Senate Floor: Third Reading - Final Passage",32,4,4,0,40
1801533,1386293,2024-02-15,Senate,"Senate Community and Urban Affairs Committee: Reported with Amendments",4,0,1,0,5
1801533,1411671,2024-03-18,Senate,"Senate Floor: Third Reading - Final Passage",37,0,3,0,40
1801533,1523374,2025-03-20,Assembly,"Assembly Housing and Community Development Committee: Reported with Amendments",6,0,1,0,7
1801533,1572089,2025-05-15,Assembly,"Assembly Appropriations Committee: Reported Favorably",11,0,0,0,11
1801533,1575898,2025-05-22,Assembly,"Assembly Floor: Substitute for A3363 (Voice Vote)",0,0,0,0,0
1801533,1576564,2025-05-22,Assembly,"Assembly Floor: Third Reading - Final Passage",76,1,3,0,80
