Date,State,Bill No,Title,Action
"Dec. 21, 2023",NJ,A 3690,Authorizes Minors to Vote in a State Primary Election if They Turn 18 Prior to the General Election Date,"Concurrence Vote Passed
                           - House
                      

                      
                          (47 - 19)"
"Dec. 21, 2023",NJ,A 3690,Authorizes Minors to Vote in a State Primary Election if They Turn 18 Prior to the General Election Date,"Bill Passed
                           - Senate
                      

                      
                          (24 - 11)"
"Dec. 11, 2023",NJ,S 3044,Appropriates $15 Million to the DEP for Implementation of Electric School Bus Program,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (21 - 11)"
"June 30, 2023",NJ,S 3275,Requires the State Create a Website Outlining Individual's Reproductive Rights,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 11)"
"June 30, 2023",NJ,A 5175,Extends Certain General Election Deadlines,"Bill Passed
                           - Senate
                      

                      
                          (36 - 0)"
"June 30, 2023",NJ,S 3044,Appropriates $15 Million to the DEP for Implementation of Electric School Bus Program,"Bill Passed
                           - House
                      

                      
                          (49 - 27)"
"June 30, 2023",NJ,S 3275,Requires the State Create a Website Outlining Individual's Reproductive Rights,"Bill Passed
                           - House
                      

                      
                          (38 - 23)"
"June 30, 2023",NJ,S 2902,Authorizes Ticket Price Increases at Sports Events to Cover Event-Related Expenses,"Bill Passed
                           - House
                      

                      
                          (71 - 6)"
"June 30, 2023",NJ,S 1615,Establishes an Independent Board of Experts to Guide the State on Prescription Drug Policy,"Bill Passed
                           - House
                      

                      
                          (55 - 20)"
"June 30, 2023",NJ,S 524,Establishes a Statewide Mental Health Diversion Program,"Bill Passed
                           - House
                      

                      
                          (45 - 28)"
"June 30, 2023",NJ,S 3771,Repeals Fees for Public Defenders Services,"Bill Passed
                           - House
                      

                      
                          (46 - 29)"
"June 30, 2023",NJ,S 3772,Extends Public Defender Representation to Those Seeking Parole Revocation,"Bill Passed
                           - House
                      

                      
                          (45 - 31)"
"June 30, 2023",NJ,S 1615,Establishes an Independent Board of Experts to Guide the State on Prescription Drug Policy,"Bill Passed
                           - Senate
                      

                      
                          (24 - 11)"
"June 30, 2023",NJ,S 3771,Repeals Fees for Public Defenders Services,"Bill Passed
                           - Senate
                      

                      
                          (22 - 15)"
"June 30, 2023",NJ,S 3772,Extends Public Defender Representation to Those Seeking Parole Revocation,"Bill Passed
                           - Senate
                      

                      
                          (21 - 15)"
"June 30, 2023",NJ,S 3929,Authorizes Hospitals With a Temporary Court Order to Involuntarily Detain Someone for Up To 6 Days,"Bill Passed
                           - Senate
                      

                      
                          (36 - 1)"
"June 30, 2023",NJ,S 3976,Establishes Mobility and Transportation Innovation Program in DOT,"Bill Passed
                           - House
                      

                      
                          (61 - 10)"
"June 30, 2023",NJ,A 5415,Establishes a Zero-Interest Forgivable Loan Program to Provide Down-Payment Assistance for First-Time Homebuyers,"Bill Passed
                           - House
                      

                      
                          (56 - 21)"
"June 30, 2023",NJ,A 5175,Extends Certain General Election Deadlines,"Bill Passed
                           - House
                      

                      
                          (75 - 3)"
"June 30, 2023",NJ,S 524,Establishes a Statewide Mental Health Diversion Program,"Bill Passed
                           - Senate
                      

                      
                          (21 - 15)"
"June 26, 2023",NJ,A 5176,Requires Periodic Reporting of Election Results,"Bill Passed
                           - Senate
                      

                      
                          (34 - 1)"
"June 26, 2023",NJ,S 861,Authorizes Burning of Christmas Trees by Municipalities,"Bill Passed
                           - Senate
                      

                      
                          (35 - 0)"
"June 20, 2023",NJ,A 4151,Amends Certain Restrictions on Cannabis Establishment Owners,"Bill Passed
                           - Senate
                      

                      
                          (26 - 8)"
"June 1, 2023",NJ,A 4613,Establishes a Loan Redemption Program for Primary Care Physicians,"Bill Passed
                           - House
                      

                      
                          (63 - 11)"
"May 25, 2023",NJ,A 5176,Requires Periodic Reporting of Election Results,"Bill Passed
                           - House
                      

                      
                          (73 - 1)"
"March 30, 2023",NJ,A 4772,Specifies Circumstances in Which an Individual May Receive Unemployment Compensation,"Concurrence Vote Passed
                           - House
                      

                      
                          (54 - 19)"
"March 30, 2023",NJ,S 2866,Establishes the Elections Transparency Act,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (21 - 12)"
"March 30, 2023",NJ,S 2866,Establishes the Elections Transparency Act,"Bill Passed
                           - House
                      

                      
                          (45 - 31)"
"March 20, 2023",NJ,A 4772,Specifies Circumstances in Which an Individual May Receive Unemployment Compensation,"Bill Passed
                           - Senate
                      

                      
                          (25 - 11)"
"March 20, 2023",NJ,S 3333,Prohibits Water Utility from Taking Certain Action if Utility Doesn't Sign Up for Low Income Household Water Assis ...,"Bill Passed
                           - Senate
                      

                      
                          (36 - 0)"
"Feb. 27, 2023",NJ,A 3946,Amends Tax Provisions Relating to Cannabis,"Bill Passed
                           - Senate
                      

                      
                          (32 - 3)"
"Feb. 27, 2023",NJ,A 1100,Requires Utility Companies Remove Abandoned Copper Wires and Lines,"Bill Passed
                           - House
                      

                      
                          (63 - 13)"
"Feb. 27, 2023",NJ,A 2138,Requires Licenses for Home Improvement Contractors,"Bill Passed
                           - House
                      

                      
                          (64 - 11)"
"Feb. 2, 2023",NJ,A 1474,Expands the Rights of Temporary Workers,"Veto Override Passed
                           - Senate
                      

                      
                          (21 - 15)"
"Jan. 26, 2023",NJ,A 5086,Increases Minimum Monthly SNAP Benefits from $50 to $95,"Bill Passed
                           - House
                      

                      
                          (72 - 5)"
