bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0001,2024,RS,Gail Chasey,FEED BILL,Chaptered,HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=1&year=24
HB0002,2024,RS,Nathan P. Small,GENERAL APPROPRIATION ACT OF 2024,Chaptered,HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=2&year=24
HB0003,2024,RS,Dayan Hochman-Vigil,DEPT. OF TRANSPORTATION APPROPRIATION ACT,Substituted,HTPWC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=3&year=24
HB0004,2024,RS,Joy Garratt; Christine Chandler,APPRENTICE & TRAINING PROGRAM CONTRIBUTIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=4&year=24
HB0005,2024,RS,Joy Garratt; Siah Correa Hemphill; Michael Padilla; Christine Chandler; Kathleen Cates,WORKFORCE DEVELOPMENT & APPRENTICESHIP FUND,Chaptered,HLVMC Committee Report; HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=5&year=24
HB0006,2024,RS,Christine Chandler; Linda Serrato; Mimi Stewart; Patricia Roybal Caballero,PAID FAMILY & MEDICAL LEAVE ACT,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=6&year=24
HB0007,2024,RS,Reena Szczepanski; Siah Correa Hemphill; Meredith A. Dixon,HEALTH CARE AFFORDABILITY FUND DISTRIBUTION,Chaptered,HHHC Committee Report; HAFC Committee Report; STBTC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=7&year=24
HB0008,2024,RS,Kathleen Cates; Tara Jaramillo; Yanira Gurrola; Bill Tallman,ELECTED OFFICIALS & GOV'T CONDUCT ACT CHANGES,Died (API.),HGEIC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=8&year=24
HB0009,2024,RS,Meredith A. Dixon; Nathan P. Small; Kristina Ortez,"CLIMATE, ENERGY & WATER DIVISION",Died (API.),HCEDC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=9&year=24
HB0010,2024,RS,Cynthia Borrego; Javier Martínez; Kristina Ortez,HOME FIRE RECOVERY TAX CREDIT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=10&year=24
HB0011,2024,RS,Marian Matthews,PAID FAMILY & MEDICAL LEAVE INSURANCE ACT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=11&year=24
HB0012,2024,RS,Kristina Ortez; Derrick J. Lente; Joseph L. Sanchez,HERMIT'S PEAK FIRE LEGAL FUNDS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=12&year=24
HB0013,2024,RS,Javier Martínez,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=13&year=24
HB0014,2024,RS,Javier Martínez,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=14&year=24
HB0015,2024,RS,Javier Martínez,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=15&year=24
HB0016,2024,RS,Doreen Y. Gallegos,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=16&year=24
HB0017,2024,RS,Gail Chasey,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=17&year=24
HB0018,2024,RS,Gail Chasey,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=18&year=24
HB0019,2024,RS,Gail Chasey; Janelle Anyanonu; Katy M. Duhigg,ELECTION OFFENSE- FALSE ELECTORS,Died (API.),HGEIC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=19&year=24
HB0020,2024,RS,Reena Szczepanski,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=20&year=24
HB0021,2024,RS,Joy Garratt; Joshua Hernandez; Harlan Vincent,CHARTER SCHOOL OVERSIGHT EXPENDITURE PLAN,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=21&year=24
HB0022,2024,RS,Joy Garratt; Raymundo Lara; Brian G. Baca,SCHOOL ADMIN PREP. PROGRAMS REQUIREMENTS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=22&year=24
HB0023,2024,RS,Matthew McQueen,STATE GAME COMMISSION CHANGES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=23&year=24
HB0024,2024,RS,Kathleen Cates,OWNER-OCCUPIED CONDOS & ASSOCIATIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=24&year=24
HB0025,2024,RS,Kathleen Cates; Andrea Romero; Patricia Roybal Caballero; Cristina Parajon,HOUSING DISCRIMINATION BASED ON INCOME,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=25&year=24
HB0026,2024,RS,Kathleen Cates,MEDICAID ENVIRONMENTAL MODIFICATION SVCS.,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=26&year=24
HB0027,2024,RS,Joy Garratt; Christine Chandler; Cristina Parajon; Katy M. Duhigg,EXTREME RISK PROTECTION ORDER CHANGES,Died (API.),HCPAC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=27&year=24
