bill_number,session_year,session_type,action_date,legislative_day,action,order
HB0001,2024,RS,2024-01-16,LD: 1,Sent to HAFC - Referrals: HAFC,1
HB0001,2024,RS,2024-01-17,LD: 1,HAFC: Reported by committee with Do Pass recommendation,2
HB0001,2024,RS,2024-01-17,LD: 1,Passed in the House of Representatives - Y:52 N:13,3
HB0001,2024,RS,2024-01-17,LD: 1,Sent to SFC - Referrals: SFC,4
HB0001,2024,RS,2024-01-18,LD: 1,SFC: Reported by committee with Do Pass recommendation,5
HB0001,2024,RS,2024-01-18,LD: 2,Passed in the Senate - Y:36 N:0,6
HB0001,2024,RS,,,Signed by Governor - Chapter  1 - Jan. 19,7
HB0002,2024,RS,2024-01-18,LD: 2,Sent to HAFC - Referrals: HAFC,1
HB0002,2024,RS,2024-01-29,LD: 4,HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,2
HB0002,2024,RS,2024-01-31,LD: 6,House of Representatives Floor Amendment,3
HB0002,2024,RS,2024-01-31,LD: 6,Passed in the House of Representatives - Y:53 N:16,4
HB0002,2024,RS,2024-02-01,LD: 6,Sent to SFC - Referrals: SFC,5
HB0002,2024,RS,2024-02-11,LD: 9,SFC: Reported by committee with Do Pass recommendation with amendment(s),6
HB0002,2024,RS,2024-02-12,LD: 9,Passed in the Senate - Y:31 N:10,7
HB0002,2024,RS,2024-02-13,LD: 14,House has concurred with Senate Amendments,8
HB0002,2024,RS,,,Signed by Governor - Chapter 69 - Mar. 6,9
HB0003,2024,RS,2024-01-16,LD: 1,Sent to HTPWC - Referrals: HTPWC/HAFC,1
HB0003,2024,RS,2024-01-24,LD: 3,HTPWC: Reported by committee with Do Pass recommendation with amendment(s),2
HB0003,2024,RS,2024-01-29,LD: 4,Succeeding entries: H 2,3
HB0004,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0004,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0004,2024,RS,,,Action Postponed Indefinitely,3
HB0005,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0005,2024,RS,2024-01-16,LD: 1,Sent to HLVMC - Referrals: HLVMC/HAFC,2
HB0005,2024,RS,2024-01-22,LD: 2,HLVMC: Reported by committee with Do Pass recommendation,3
HB0005,2024,RS,2024-02-02,LD: 7,HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution as amended,4
HB0005,2024,RS,2024-02-03,LD: 8,Passed in the House of Representatives - Y:63 N:5,5
HB0005,2024,RS,2024-02-05,LD: 6,Sent to SFC - Referrals: SFC,6
HB0005,2024,RS,2024-02-13,LD: 9,SFC: Reported by committee with Do Pass recommendation,7
HB0005,2024,RS,2024-02-14,LD: 13,Passed in the Senate - Y:33 N:8,8
HB0005,2024,RS,,,Signed by Governor - Chapter  5 - Feb. 28,9
HB0006,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0006,2024,RS,2024-01-18,LD: 2,Sent to HHHC - Referrals: HHHC/HCEDC,2
HB0006,2024,RS,2024-01-25,LD: 4,HHHC: Reported by committee with Do Pass recommendation,3
HB0006,2024,RS,,,Action Postponed Indefinitely,4
HB0007,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0007,2024,RS,2024-01-16,LD: 1,Sent to HHHC - Referrals: HHHC/HAFC,2
HB0007,2024,RS,2024-01-23,LD: 3,HHHC: Reported by committee with Do Pass recommendation,3
HB0007,2024,RS,2024-02-06,LD: 9,HAFC: Reported by committee with Do Pass recommendation with amendment(s),4
HB0007,2024,RS,2024-02-08,LD: 11,Passed in the House of Representatives - Y:51 N:14,5
