bill_id,term,session,title,commem
HB0001,2023_2024,2023-RS,FEED BILL,0
HB0002,2023_2024,2023-RS,GENERAL APPROPRIATION ACT OF 2023,0
HB0003,2023_2024,2023-RS,DEPT. OF TRANSPORTATION APPROPRIATION ACT,0
HB0004,2023_2024,2023-RS,VOTING RIGHTS PROTECTIONS,0
HB0005,2023_2024,2023-RS,CONDUCT OF CURRENT & FORMER PUBLIC OFFICIALS,0
HB0006,2023_2024,2023-RS,HOUSING & RENT CHANGES,0
HB0007,2023_2024,2023-RS,REPRODUCTIVE & GENDER-AFFIRMING HEALTH CARE,0
HB0008,2023_2024,2023-RS,CREATIVE INDUSTRIES DIVISION IN EDD,0
HB0009,2023_2024,2023-RS,UNLAWFUL ACCESS TO FIREARM BY MINOR,0
HB0010,2023_2024,2023-RS,CYFD INFO SHARING,0
HB0011,2023_2024,2023-RS,OFFICE OF CHILD ADVOCATE ACT,0
HB0012,2023_2024,2023-RS,ADVANCED ENERGY TECHNOLOGY ACT,0
HB0013,2023_2024,2023-RS,BORDER AUTHORITY CHANGES,0
HB0014,2023_2024,2023-RS,UNLAWFUL PRIVATE PARAMILITARY ACTIVITY ACT,0
HB0015,2023_2024,2023-RS,SPECIAL IMMIGRANT JUVENILE CLASSIFICATION,0
HB0016,2023_2024,2023-RS,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",0
HB0017,2023_2024,2023-RS,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",0
HB0018,2023_2024,2023-RS,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",0
HB0019,2023_2024,2023-RS,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",0
HB0020,2023_2024,2023-RS,ESTABLISH CERTAIN LAND GRANTS-MERCEDES,0
HB0021,2023_2024,2023-RS,VICTIM ADVOCATES OF HOMICIDE FUNDING,0
HB0022,2023_2024,2023-RS,USE OF AUTO TRAFFIC ENFORCEMENT SYSTEMS,0
HB0023,2023_2024,2023-RS,BACKGROUND ARTISTS ACT,0
HB0024,2023_2024,2023-RS,RESPONSIBILITY FOR SIDEWALK REPAIR,0
HB0025,2023_2024,2023-RS,MINIMUM WAGE INCREASE & INDEXING,0
HB0026,2023_2024,2023-RS,NOTICE FOR ABANDONED PROPERTY LISTS,0
HB0027,2023_2024,2023-RS,BREAST EXAM HEALTH COVERAGE,0
HB0028,2023_2024,2023-RS,STATE MINIMUM WAGE COST-OF-LIVING INCREASE,0
HB0029,2023_2024,2023-RS,INTEGRATED SUBSTANCE USE DISORDER PROGRAMS,0
HB0030,2023_2024,2023-RS,PUBLIC SCHOOL VENTILATION IMPROVEMENT ACT,0
HB0031,2023_2024,2023-RS,NO PUBLICATION REQUIRED FOR NAME CHANGES,0
HB0032,2023_2024,2023-RS,ENERGY STORAGE SYSTEM INCOME TAX CREDIT,0
HB0033,2023_2024,2023-RS,LAND GRANTS AS POLITICAL SUBDIVISIONS,0
HB0034,2023_2024,2023-RS,FAMILY IN NEED OF COURT-ORDERED SERVICES,0
HB0035,2023_2024,2023-RS,FREE CULTURAL SERVICES FOR FOSTER FAMILIES,0
HB0036,2023_2024,2023-RS,SCHOOL GROUP INSURANCE CONTRIBUTIONS,0
HB0037,2023_2024,2023-RS,CAVERNOUS ANGIOMA RESEARCH FUNDING,0
HB0038,2023_2024,2023-RS,RURAL HEALTH CARE PRACTITIONER ADDITIONS,0
