bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1664721,2030,HB1,4,Passed,2023-01-20,"Feed Bill","Feed Bill",0,,2023-01-20,"Signed by Governor - Chapter 1 - Jan. 20",https://legiscan.com/NM/bill/HB1/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=1&year=23
1670080,2030,HB2,4,Passed,2023-04-07,"General Appropriation Act Of 2023","General Appropriation Act Of 2023",0,,2023-04-07,"Signed by Governor - Chapter 210 - Apr. 7",https://legiscan.com/NM/bill/HB2/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=2&year=23
1676383,2030,HB3,1,Introduced,2023-01-23,"Dept. Of Transportation Appropriation Act","Dept. Of Transportation Appropriation Act",0,,2023-02-15,"Succeeding entries: H 2",https://legiscan.com/NM/bill/HB3/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=3&year=23
1684804,2030,HB4,4,Passed,2023-03-30,"Voting Rights Protections","Voting Rights Protections",0,,2023-03-30,"Signed by Governor - Chapter 84 - Mar. 30",https://legiscan.com/NM/bill/HB4/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=4&year=23
1698347,2030,HB5,2,Engrossed,2023-03-08,"Conduct Of Current & Former Public Officials","Conduct Of Current & Former Public Officials",2190,"Senate Judiciary",2023-03-09,"Sent to SJC - Referrals: SJC/SFC",https://legiscan.com/NM/bill/HB5/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=5&year=23
1704321,2030,HB6,1,Introduced,2023-02-10,"Housing & Rent Changes","Housing & Rent Changes",0,,2023-03-11,"HJC: Reported by committee with Do Pass recommendation with amendment(s)",https://legiscan.com/NM/bill/HB6/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=6&year=23
1681105,2030,HB7,4,Passed,2023-03-16,"Reproductive & Gender-affirming Health Care","Reproductive & Gender-affirming Health Care",0,,2023-03-16,"Signed by Governor - Chapter 11 - Mar. 16",https://legiscan.com/NM/bill/HB7/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=7&year=23
1676221,2030,HB8,4,Passed,2023-04-05,"Creative Industries Division In Edd","Creative Industries Division In Edd",0,,2023-04-05,"Signed by Governor - Chapter 183 - Apr. 5",https://legiscan.com/NM/bill/HB8/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=8&year=23
1654597,2030,HB9,4,Passed,2023-03-14,"Unlawful Access To Firearm By Minor","Unlawful Access To Firearm By Minor",0,,2023-03-14,"Signed by Governor - Chapter 5 - Mar. 14",https://legiscan.com/NM/bill/HB9/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=9&year=23
1711602,2030,HB10,1,Introduced,2023-02-16,"Cyfd Info Sharing","Cyfd Info Sharing",2176,"House Judiciary",2023-03-08,"HHHC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution",https://legiscan.com/NM/bill/HB10/2023,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=10&year=23
