bill_id,date,chamber,sequence,action
1642749,2023-01-17,House,1,"Sent to HPREF - Referrals: HPREF"
1642749,2023-01-18,House,2,"Sent to HLVMC - Referrals: HLVMC/HCEDC"
1642749,2023-01-30,House,3,"HLVMC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1642750,2023-01-17,House,1,"Sent to HPREF - Referrals: HPREF"
1642750,2023-01-18,House,2,"Sent to HHHC - Referrals: HHHC/HJC"
1642750,2023-01-24,House,3,"HHHC: Reported by committee with Do Pass recommendation with amendment(s)"
1642750,2023-02-23,House,4,"HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution"
1642750,2023-02-25,House,5,"House of Representatives Floor Amendment"
1642750,2023-02-25,House,6,"Passed in the House of Representatives - Y:58 N:0"
1642750,2023-02-27,Senate,7,"Sent to STBTC - Referrals: STBTC"
1642750,2023-03-08,Senate,8,"STBTC: Reported by committee with Do Pass recommendation"
1642750,2023-03-09,Senate,9,"Passed in the Senate - Y:35 N:0"
1642750,2023-03-18,House,10,"LAW WITHOUT SIGNATURE."
1642751,2023-01-17,House,1,"Sent to HPREF - Referrals: HPREF"
1642751,2023-01-18,House,2,"Sent to HGEIC - Referrals: HGEIC/HTPWC"
1642751,2023-01-26,House,3,"HGEIC: Reported by committee without a recommendation"
1642752,2023-01-17,House,1,"Sent to HPREF - Referrals: HPREF"
1642752,2023-01-18,House,2,"Sent to HHHC - Referrals: HHHC/HAFC"
1642752,2023-01-24,House,3,"HHHC: Reported by committee with Do Pass recommendation"
1642752,2023-02-24,House,4,"HAFC: Reported by committee with Do Pass recommendation with amendment(s)"
1642752,2023-02-28,House,5,"Passed in the House of Representatives - Y:65 N:0"
1642752,2023-02-28,Senate,6,"Sent to SFC - Referrals: SFC"
1642753,2023-01-17,House,1,"Sent to HPREF - Referrals: HPREF"
1642753,2023-01-18,House,2,"Sent to HGEIC - Referrals: HGEIC/HJC"
1642753,2023-01-26,House,3,"HGEIC: Reported by committee with Do Pass recommendation"
