bill_id,people_id,position
1642749,6157,5
1642749,15027,4
1642749,20840,2
1642749,24683,1
1642749,24822,3
1642750,19020,2
1642750,20840,1
1642751,6115,1
1642752,6115,1
1642753,20840,1
1642754,6115,1
1642755,6115,1
1642756,6115,1
1642757,6115,1
1642758,6115,1
1643150,22539,1
1643150,22648,2
1643150,24692,3
1643170,20840,1
1643196,6101,2
1643196,18999,1
1643222,18992,1
1643222,22539,3
1643222,22646,5
1643222,22648,4
1643222,24684,2
1643248,6101,3
1643248,20840,1
1643248,20869,2
1643274,15023,2
1643274,20917,1
1643299,6100,1
1643299,17351,2
1644194,6115,1
1644194,24686,2
1644269,20925,1
1644343,6115,1
1645597,15019,3
1645597,22659,1
1645597,24693,2
1645598,15019,1
1645599,17351,1
1645601,15019,1
1645602,15019,1
1645604,6143,1
1645604,15019,5
1645604,20916,2
1645604,21694,3
1645604,24693,4
1645605,21511,1
1648996,6120,1
1648996,6169,2
1648996,15027,3
1649119,20839,4
1649119,20840,2
1649119,20869,3
1649119,24685,1
1649247,17348,2
1649247,20996,1
1649369,21511,1
1649492,21511,1
1651278,17348,2
1651278,20996,1
1651323,6118,2
1651323,22648,1
1651370,20840,1
1651370,22659,2
1651415,6118,4
1651415,20869,1
1651415,22537,2
1651415,24692,3
1651464,6118,1
1651512,6118,5
1651512,6150,3
1651512,12054,2
1651512,17352,4
1651512,22646,6
1651512,24685,1
1651560,6118,5
1651560,22537,3
1651560,22547,1
1651560,22646,6
1651560,22648,2
1651560,24692,4
1651603,6118,2
1651603,22537,1
1651652,6118,3
1651652,22537,2
1651652,22648,1
1651698,20917,1
1651698,21694,3
1651698,22659,2
1651742,6118,3
1651742,17352,1
1651742,22537,2
1651742,22646,4
1651788,15019,1
1651836,6118,1
1651883,6118,2
1651883,17352,1
1651883,22646,3
1651928,22984,1
1651975,20917,2
1651975,22657,1
1652021,6118,3
1652021,22648,1
1652021,24692,2
1652066,6118,3
1652066,22648,1
1652066,24692,2
1654597,6101,7
1654597,15027,5
1654597,18995,2
1654597,20919,6
1654597,21693,4
1654597,22984,3
1654597,24683,1
1654912,21694,3
1654912,22547,2
1654912,22657,1
1655227,6115,1
1657036,6115,1
1657106,6120,1
1657106,6169,2
1657106,15027,3
1657177,20922,1
1657248,6115,1
1657320,20922,1
1657390,20869,2
1657390,22657,1
1657460,20922,1
1657530,20922,1
1657600,20922,1
1657666,20922,1
1658971,6118,1
1658987,18995,1
1659007,18997,2
1659007,22537,3
1659007,22648,1
1659025,6118,1
1659046,6144,1
1659046,18997,2
1659065,18995,1
1659084,15027,3
1659084,18995,1
1659084,20919,4
1659084,21693,2
1659108,17356,2
1659108,22537,1
1659127,18999,4
1659127,20917,1
1659127,20925,2
1659127,22545,3
1659146,20916,1
1659146,21694,2
1659167,18997,3
1659167,20854,6
1659167,22537,4
1659167,22646,5
1659167,22648,1
1659167,24690,2
1659187,15027,2
1659187,20840,1
1659206,21693,1
1659225,17356,4
1659225,22537,3
1659225,24690,2
1659225,24821,1
1659250,6118,1
1659269,6118,6
1659269,20869,3
1659269,22648,4
1659269,22657,2
1659269,24685,1
1659269,24692,5
1659289,18995,1
1659310,6150,1
1659310,17356,4
1659310,22537,3
1659310,24690,2
1659329,6100,2
1659329,18995,1
1659329,20919,4
1659329,21693,3
1659348,21511,1
1659371,18995,1
1659390,20916,1
1659390,21694,2
1659410,6150,1
1659410,17356,3
1659410,22537,2
1659431,20916,1
1659449,6157,2
1659449,20840,1
1659468,17356,4
1659468,20854,5
1659468,22537,2
1659468,22646,3
1659468,24690,1
1664576,15109,1
1664583,6167,1
1664589,22541,1
1664595,22543,1
1664601,15039,3
1664601,22542,2
1664601,22657,1
1664609,15036,1
1664614,20923,1
1664621,6144,1
1664621,6167,2
1664627,6101,1
1664632,6158,1
1664644,15113,2
