bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1884564,2150,HB1,4,Passed,2024-07-30,"Feed Bill, Fire Relief & Court Treatment","Feed Bill, Fire Relief & Court Treatment",0,,2024-07-30,"Signed by Governor - Chapter 1 - July 30",https://legiscan.com/NM/bill/HB1/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=1&year=24s
1884575,2150,SB5,1,Introduced,2024-07-18,"Add Racketeering Definitions","Add Racketeering Definitions",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB5/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=5&year=24s
1884589,2150,SB6,1,Introduced,2024-07-18,"Distribution Of Fentanyl As Capital Felony","Distribution Of Fentanyl As Capital Felony",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB6/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=6&year=24s
1884591,2150,SB7,1,Introduced,2024-07-18,"Fire & Flooding Relief","Fire & Flooding Relief",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB7/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=7&year=24s
1884581,2150,SB8,1,Introduced,2024-07-18,"Border Barrier","Border Barrier",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB8/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=8&year=24s
1884592,2150,SB9,1,Introduced,2024-07-18,"Harm To Self & Others Definitions","Harm To Self & Others Definitions",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB9/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=9&year=24s
1884579,2150,SB10,1,Introduced,2024-07-18,"Court Competency Proceeding Changes","Court Competency Proceeding Changes",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB10/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=10&year=24s
1884590,2150,SB11,1,Introduced,2024-07-18,"Unsafe Use Of Public Highways & Medians","Unsafe Use Of Public Highways & Medians",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB11/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=11&year=24s
1884586,2150,SB12,1,Introduced,2024-07-18,"Crimes In Evacuation Zones","Crimes In Evacuation Zones",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB12/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=12&year=24s
1884578,2150,SB13,1,Introduced,2024-07-18,"Certain Firearm Sales To Law Enforcement","Certain Firearm Sales To Law Enforcement",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB13/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=13&year=24s
1884587,2150,SB14,1,Introduced,2024-07-18,"Fentanyl Trafficking Sentencing","Fentanyl Trafficking Sentencing",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB14/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=14&year=24s
1884577,2150,SB15,1,Introduced,2024-07-18,"Interference With Federal Immigration","Interference With Federal Immigration",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB15/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=15&year=24s
1884582,2150,SB16,1,Introduced,2024-07-18,"Dona Ana, Hidalgo & Luna County Radio Towers","Dona Ana, Hidalgo & Luna County Radio Towers",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB16/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=16&year=24s
1884580,2150,SB17,1,Introduced,2024-07-18,"Law Enforcement Crime Reporting","Law Enforcement Crime Reporting",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB17/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=17&year=24s
1884584,2150,SB18,1,Introduced,2024-07-18,"Felon In Possession Of Firearm Penalties","Felon In Possession Of Firearm Penalties",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB18/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=18&year=24s
1884588,2150,SB19,1,Introduced,2024-07-18,"School Safety Division In Dps","School Safety Division In Dps",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SB19/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=B&legno=19&year=24s
1884585,2150,SJR1,1,Introduced,2024-07-18,"Denial Of Bail, Ca","Denial Of Bail, Ca",0,,2024-07-18,"Action Postponed Indefinitely",https://legiscan.com/NM/bill/SJR1/2024/X1,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legtype=JR&legno=1&year=24s
