bill_id,people_id,position
1884564,6143,2
1884564,12357,1
1884564,19020,4
1884564,22543,3
1884564,24783,5
1884575,15036,2
1884575,15038,5
1884575,15111,6
1884575,19018,1
1884575,22539,3
1884575,22751,7
1884575,25069,4
1884577,6158,9
1884577,12357,3
1884577,15017,4
1884577,15038,7
1884577,15109,5
1884577,15116,10
1884577,19018,1
1884577,22539,2
1884577,22751,8
1884577,25069,6
1884578,15111,1
1884579,15038,1
1884580,15038,1
1884581,6158,4
1884581,6179,3
1884581,15017,1
1884581,15038,2
1884581,15116,5
1884582,22539,1
1884582,25069,2
1884584,15038,1
1884585,15109,1
1884585,18997,2
1884586,12357,1
1884586,15111,2
1884587,6158,11
1884587,6179,8
1884587,12357,3
1884587,15017,4
1884587,15038,7
1884587,15109,5
1884587,15116,12
1884587,18997,9
1884587,19018,1
1884587,22539,2
1884587,22751,10
1884587,25069,6
1884588,6158,3
1884588,12357,1
1884588,15017,2
1884588,15116,4
1884589,6158,9
1884589,12357,3
1884589,15017,4
1884589,15038,7
1884589,15109,5
1884589,15116,10
1884589,19018,1
1884589,22539,2
1884589,22751,8
1884589,25069,6
1884590,15038,1
1884591,6158,6
1884591,12357,2
1884591,15017,3
1884591,15038,4
1884591,18997,5
1884591,22539,1
1884591,24783,7
1884592,15038,1
