bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1817001,2884689,text,143302,application/pdf,Introduced,https://legiscan.com/NM/text/HB1/id/2884689,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0001.pdf
1817001,2902159,text,47328,application/pdf,Enrolled,https://legiscan.com/NM/text/HB1/id/2902159,https://www.nmlegis.gov/Sessions/24%20Regular/final/HB0001.pdf
1821691,2892269,text,9753893,application/pdf,Introduced,https://legiscan.com/NM/text/HB2/id/2892269,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0002.pdf
1821691,2952925,text,600803,application/pdf,Enrolled,https://legiscan.com/NM/text/HB2/id/2952925,https://www.nmlegis.gov/Sessions/24%20Regular/final/HB0002.pdf
1816094,2884666,text,196828,application/pdf,Introduced,https://legiscan.com/NM/text/HB3/id/2884666,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0003.pdf
1798442,2870012,text,127895,application/pdf,Introduced,https://legiscan.com/NM/text/HB4/id/2870012,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0004.pdf
1798451,2870021,text,156219,application/pdf,Introduced,https://legiscan.com/NM/text/HB5/id/2870021,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0005.pdf
1798451,2945576,text,64411,application/pdf,Enrolled,https://legiscan.com/NM/text/HB5/id/2945576,https://www.nmlegis.gov/Sessions/24%20Regular/final/HB0005.pdf
1813287,2883215,text,198161,application/pdf,Introduced,https://legiscan.com/NM/text/HB6/id/2883215,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0006.pdf
1811755,2881444,text,114518,application/pdf,Introduced,https://legiscan.com/NM/text/HB7/id/2881444,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0007.pdf
1811755,2950070,text,38589,application/pdf,Enrolled,https://legiscan.com/NM/text/HB7/id/2950070,https://www.nmlegis.gov/Sessions/24%20Regular/final/HB0007.pdf
1813076,2882924,text,140776,application/pdf,Introduced,https://legiscan.com/NM/text/HB8/id/2882924,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0008.pdf
1830985,2906159,text,58804,application/pdf,Introduced,https://legiscan.com/NM/text/HB9/id/2906159,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0009.pdf
1832311,2908667,text,123535,application/pdf,Introduced,https://legiscan.com/NM/text/HB10/id/2908667,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0010.pdf
1821577,2892126,text,198207,application/pdf,Introduced,https://legiscan.com/NM/text/HB11/id/2892126,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0011.pdf
1832330,2908123,text,45607,application/pdf,Introduced,https://legiscan.com/NM/text/HB12/id/2908123,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0012.pdf
1834462,2911157,text,105270,application/pdf,Introduced,https://legiscan.com/NM/text/HB13/id/2911157,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0013.pdf
1834486,2911175,text,105268,application/pdf,Introduced,https://legiscan.com/NM/text/HB14/id/2911175,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0014.pdf
1834345,2911067,text,105464,application/pdf,Introduced,https://legiscan.com/NM/text/HB15/id/2911067,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0015.pdf
1834419,2911124,text,104915,application/pdf,Introduced,https://legiscan.com/NM/text/HB16/id/2911124,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0016.pdf
1834415,2911121,text,104740,application/pdf,Introduced,https://legiscan.com/NM/text/HB17/id/2911121,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0017.pdf
1834527,2911206,text,104967,application/pdf,Introduced,https://legiscan.com/NM/text/HB18/id/2911206,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0018.pdf
1828822,2903298,text,116460,application/pdf,Introduced,https://legiscan.com/NM/text/HB19/id/2903298,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0019.pdf
1834508,2911192,text,105560,application/pdf,Introduced,https://legiscan.com/NM/text/HB20/id/2911192,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0020.pdf
1798447,2870017,text,118912,application/pdf,Introduced,https://legiscan.com/NM/text/HB21/id/2870017,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0021.pdf
1798462,2870032,text,134482,application/pdf,Introduced,https://legiscan.com/NM/text/HB22/id/2870032,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0022.pdf
1798441,2870011,text,129251,application/pdf,Introduced,https://legiscan.com/NM/text/HB23/id/2870011,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0023.pdf
1798464,2870034,text,124280,application/pdf,Introduced,https://legiscan.com/NM/text/HB24/id/2870034,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0024.pdf
1798437,2870007,text,150020,application/pdf,Introduced,https://legiscan.com/NM/text/HB25/id/2870007,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0025.pdf
1798454,2870024,text,114203,application/pdf,Introduced,https://legiscan.com/NM/text/HB26/id/2870024,https://www.nmlegis.gov/Sessions/24%20Regular/bills/house/HB0026.pdf
