bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1798431,1375540,2024-02-03,House,"House Final Passage",36,33,0,1,70
1798431,1384499,2024-02-13,Senate,"Senate Final Passage",26,15,0,1,42
1798432,1379625,2024-02-08,House,"House Final Passage",63,0,0,7,70
1798432,1385108,2024-02-14,Senate,"Senate Final Passage",36,0,3,3,42
1798450,1378965,2024-02-07,House,"House Final Passage",67,0,0,3,70
1798450,1385224,2024-02-14,Senate,"Senate Final Passage",37,0,2,3,42
1798451,1375539,2024-02-03,House,"House Final Passage",63,5,0,2,70
1798451,1385163,2024-02-14,Senate,"Senate Final Passage",33,8,0,1,42
1798458,1381272,2024-02-10,House,"House Final Passage",39,28,0,3,70
1798463,1380413,2024-02-08,House,"House Final Passage",65,0,0,5,70
1798463,1383799,2024-02-13,Senate,"Senate Final Passage",40,0,1,1,42
1804154,1369750,2024-01-25,House,"House Final Passage",70,0,0,0,70
1810074,1381264,2024-02-10,House,"House Final Passage",35,27,0,8,70
1810186,1376223,2024-02-05,House,"House Final Passage",65,0,0,5,70
1810223,1377689,2024-02-06,House,"House Final Passage",60,5,0,5,70
1810223,1385075,2024-02-14,Senate,"Senate Final Passage",39,0,2,1,42
1810295,1381013,2024-02-09,House,"House Final Passage",63,0,0,7,70
1810295,1385502,2024-02-15,Senate,"Senate Final Passage",40,0,1,1,42
1810444,1386242,2024-02-15,House,"House Final Passage",70,0,0,0,70
1810518,1374930,2024-02-01,House,"House Final Passage",57,6,0,7,70
1811755,1379765,2024-02-08,House,"House Final Passage",50,14,0,6,70
1811755,1385146,2024-02-14,Senate,"Senate Final Passage",26,13,1,2,42
1812944,1386235,2024-02-15,House,"House Final Passage",70,0,0,0,70
1813076,1373234,2024-01-31,House,"House Final Passage",65,0,0,5,70
1813127,1375141,2024-02-02,House,"House Final Passage",37,33,0,0,70
1813127,1381274,2024-02-10,Senate,"Senate Final Passage",23,18,0,1,42
1813135,1382427,2024-02-12,House,"House Final Passage",60,6,0,4,70
1813206,1386306,2024-02-15,House,"House Final Passage",70,0,0,0,70
1815006,1381239,2024-02-09,Senate,"Senate Final Passage",25,15,0,2,42
1815006,1384542,2024-02-14,House,"House Final Passage",34,36,0,0,70
1815186,1378862,2024-02-07,Senate,"Senate Final Passage",36,0,5,1,42
1815279,1371959,2024-01-30,Senate,"Senate Final Passage",26,16,0,0,42
1815279,1384038,2024-02-13,House,"House Final Passage",35,34,0,1,70
1816548,1377390,2024-02-06,Senate,"Senate Final Passage",39,0,2,1,42
1816548,1383903,2024-02-13,House,"House Final Passage",68,0,0,2,70
1817001,1366733,2024-01-17,House,"House Final Passage",51,13,0,6,70
