roll_call_id,people_id,vote,vote_desc
1375540,6115,1,Yea
1375540,6117,2,Nay
1375540,6118,2,Nay
1375540,6120,1,Yea
1375540,6135,1,Yea
1375540,6143,1,Yea
1375540,6150,2,Nay
1375540,12054,2,Nay
1375540,15018,1,Yea
1375540,15019,1,Yea
1375540,15023,2,Nay
1375540,15027,1,Yea
1375540,17348,4,Absent
1375540,17350,1,Yea
1375540,17351,1,Yea
1375540,17352,2,Nay
1375540,17353,1,Yea
1375540,17355,2,Nay
1375540,17356,2,Nay
1375540,17974,2,Nay
1375540,18992,2,Nay
1375540,18995,1,Yea
1375540,18996,2,Nay
1375540,18998,1,Yea
1375540,18999,1,Yea
1375540,19000,1,Yea
1375540,20839,2,Nay
1375540,20840,1,Yea
1375540,20854,2,Nay
1375540,20869,1,Yea
1375540,20916,1,Yea
1375540,20917,1,Yea
1375540,20918,2,Nay
1375540,20922,1,Yea
1375540,20925,1,Yea
1375540,20926,1,Yea
1375540,20996,2,Nay
1375540,20997,2,Nay
1375540,20999,1,Yea
1375540,21511,1,Yea
1375540,21692,1,Yea
1375540,21693,1,Yea
1375540,21694,1,Yea
1375540,22537,2,Nay
1375540,22546,2,Nay
1375540,22547,2,Nay
1375540,22646,2,Nay
1375540,22648,2,Nay
1375540,22656,2,Nay
1375540,22657,1,Yea
1375540,22659,1,Yea
1375540,22984,1,Yea
1375540,23054,2,Nay
1375540,24683,1,Yea
1375540,24684,2,Nay
1375540,24685,1,Yea
1375540,24686,2,Nay
1375540,24687,2,Nay
1375540,24688,1,Yea
1375540,24689,2,Nay
1375540,24690,2,Nay
1375540,24691,2,Nay
1375540,24692,2,Nay
1375540,24693,1,Yea
1375540,24782,1,Yea
1375540,24783,2,Nay
1375540,24821,2,Nay
1375540,24822,1,Yea
1375540,25067,1,Yea
1375540,25068,2,Nay
1384499,6100,1,Yea
1384499,6101,1,Yea
1384499,6133,1,Yea
1384499,6141,1,Yea
1384499,6142,1,Yea
1384499,6144,4,Absent
1384499,6157,1,Yea
1384499,6158,2,Nay
1384499,6164,1,Yea
1384499,6167,1,Yea
1384499,6169,1,Yea
1384499,6177,1,Yea
1384499,6179,2,Nay
1384499,6193,1,Yea
1384499,12357,2,Nay
1384499,15017,2,Nay
1384499,15036,2,Nay
1384499,15038,2,Nay
1384499,15039,1,Yea
1384499,15109,2,Nay
1384499,15110,1,Yea
1384499,15111,2,Nay
1384499,15113,1,Yea
1384499,15114,1,Yea
1384499,15116,2,Nay
1384499,18997,2,Nay
1384499,19018,2,Nay
1384499,19020,1,Yea
1384499,19021,1,Yea
1384499,20919,1,Yea
1384499,20923,2,Nay
1384499,21532,1,Yea
1384499,22536,1,Yea
1384499,22539,2,Nay
1384499,22540,1,Yea
1384499,22541,1,Yea
1384499,22542,1,Yea
1384499,22543,1,Yea
1384499,22544,1,Yea
1384499,22545,1,Yea
1384499,22751,2,Nay
1384499,25069,2,Nay
1379625,6115,4,Absent
1379625,6117,1,Yea
1379625,6118,1,Yea
1379625,6120,1,Yea
1379625,6135,1,Yea
1379625,6143,1,Yea
1379625,6150,1,Yea
1379625,12054,1,Yea
1379625,15018,1,Yea
1379625,15019,1,Yea
1379625,15023,1,Yea
1379625,15027,4,Absent
1379625,17348,1,Yea
1379625,17350,1,Yea
1379625,17351,1,Yea
1379625,17352,4,Absent
1379625,17353,1,Yea
1379625,17355,1,Yea
1379625,17356,1,Yea
1379625,17974,1,Yea
1379625,18992,1,Yea
1379625,18995,1,Yea
1379625,18996,4,Absent
1379625,18998,1,Yea
1379625,18999,4,Absent
1379625,19000,1,Yea
1379625,20839,1,Yea
1379625,20840,1,Yea
1379625,20854,1,Yea
1379625,20869,1,Yea
1379625,20916,1,Yea
1379625,20917,1,Yea
1379625,20918,1,Yea
1379625,20922,1,Yea
1379625,20925,1,Yea
