Date,State,Bill No,Title,Action
"July 18, 2024",NM,HB 1,"Appropriates Funding for Flood and Fire Response, Pilot Projects, Healthcare, Court Resources, and Fentanyl Traffi ...","Bill Passed
                           - House
                      

                      
                          (57 - 7)"
"Feb. 15, 2024",NM,HB 303,Appropriates Temporary Assistance for Needy Family's (TANF) Funds for a Workforce Development Pilot Program,"Bill Passed
                           - Senate
                      

                      
                          (27 - 14)"
"Feb. 15, 2024",NM,HB 270,Amends Provisions Governing the Technology Enhancement Fund,"Bill Passed
                           - Senate
                      

                      
                          (32 - 6)"
"Feb. 14, 2024",NM,HB 182,"Amends the State Campaign Reporting Act to Require Disclaimers on ""Materially Deceptive Media""","Bill Passed
                           - Senate
                      

                      
                          (25 - 14)"
"Feb. 14, 2024",NM,SB 108,Requires the Election Fund be Reimbursed by the General Fund for All Election Costs,"Bill Passed
                           - House
                      

                      
                          (59 - 5)"
"Feb. 14, 2024",NM,SB 5,Prohibits Fireams at State Drop Boxes and Polling Places,"Bill Passed
                           - House
                      

                      
                          (35 - 34)"
"Feb. 14, 2024",NM,HB 211,Authorizes and Prioritizes Certain Water Projects in the State,"Bill Passed
                           - Senate
                      

                      
                          (34 - 5)"
"Feb. 14, 2024",NM,SB 96,Increases Criminal Penalties for Attempted Murder,"Bill Passed
                           - House
                      

                      
                          (49 - 18)"
"Feb. 14, 2024",NM,SB 216,Establishes Various State Affordable Housing Projects,"Bill Passed
                           - House
                      

                      
                          (54 - 7)"
"Feb. 14, 2024",NM,SB 271,Requires the Court To Hold a Person for a Violation of Condition of Release,"Bill Passed
                           - House
                      

                      
                          (57 - 10)"
"Feb. 14, 2024",NM,SB 3,Authorizes Paid Family Medical Leave,"Bill Failed
                           - House
                      

                      
                          (34 - 36)"
"Feb. 14, 2024",NM,SB 146,Requires Hospital Acceptance of Health Plans,"Bill Passed
                           - House
                      

                      
                          (38 - 24)"
"Feb. 14, 2024",NM,HB 7,Amends the Distribution of Various State Health Insurance Costs,"Bill Passed
                           - Senate
                      

                      
                          (26 - 13)"
"Feb. 14, 2024",NM,HB 33,Requires Increased Transparency in Prescription Drug Costs,"Bill Passed
                           - Senate
                      

                      
                          (37 - 0)"
"Feb. 13, 2024",NM,SB 176,Amends and Addresses Various Athletic Competition Changes,"Bill Passed
                           - House
                      

                      
                          (63 - 3)"
"Feb. 13, 2024",NM,HB 151,Requires Public Colleges and Universities Include Material on Affirmative Consent in Orientation,"Bill Passed
                           - Senate
                      

                      
                          (24 - 13)"
"Feb. 13, 2024",NM,HB 239,Establishes Cannabis as Prison Contraband,"Bill Passed
                           - Senate
                      

                      
                          (32 - 3)"
"Feb. 13, 2024",NM,SB 15,"Requires State Review of All Healthcare Mergers, Acquisitions, and Other Material Changes","Bill Passed
                           - House
                      

                      
                          (47 - 20)"
"Feb. 13, 2024",NM,SB 137,Increases School Board Training Requirements,"Bill Passed
                           - House
                      

                      
                          (42 - 17)"
"Feb. 13, 2024",NM,SB 6,Amends Various State Cannabis Policies and Regulations,"Bill Passed
                           - House
                      

                      
                          (55 - 5)"
