bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HJR0001,2019,133,J. Kyle Koehler,John Becker; Craig S. Riedel; Dick Stein,As Introduced,Constitutional Amendment; Elections,Modify signature requirement-initiated constitutional amendment,House Civil Justice Committee,Proposing to amend Sections 1a and 1g of Article II of the Constitution of the State of Ohio to modify certain signature requirements for a proposed constitutional amendment by initiative petition.,https://www.legislature.ohio.gov/legislation/133/hjr1
HB0001,2019,133,Phil Plummer; Paula Hicks-Hudson,"Nickie J. Antonio; Louis W. Blessing, III; William P. Coley, II; Hearcel F. Craig; John Eklund; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Nathan H. Manning; Rob McColley; Sean J. O'Brien; Larry Obhof; Michael A. Rulli; Vernon Sykes; Cecil Thomas; Kenny Yuko",As Enrolled,"Courts and Civil Law : Courts; Crimes, Corrections, and Law Enforcement : Crime and Punishment; Crimes, Corrections, and Law Enforcement : Criminal Records Checks; Health and Human Services : Substance Abuse & Addiction",Modify intervention in lieu of conviction/sealing requirements,House Criminal Justice Committee; Senate Judiciary Committee,"To amend sections 109.11, 2921.45, 2929.15, 2951.041, 2953.31, 2953.32, 5119.93, and 5119.94 and to enact sections 109.749, 181.27, 2152.75, and 2901.10 of the Revised Code to modify the requirements for intervention in lieu of conviction and for sealing records of conviction and provide for deposit of some of the sealing application fee into the Attorney General Reimbursement Fund and the use of that amount for expenses related to sealing and expungement; to modify the law regarding use of a prison term as a sanction for a community control violation; to modify the drug and alcohol abuse civil commitment mechanism; to expand duties of the State Criminal Sentencing Commission; and to prohibit restraining or confining a woman or child who is a charged, convicted, or adjudicated criminal offender or delinquent child at certain points during pregnancy or postpartum recovery.",https://www.legislature.ohio.gov/legislation/133/hb1
HCR0001,2019,133,Larry Householder,,As Enrolled,,Relative to a committee to wait upon the Governor to let him know the 133rd General Assembly is in session.,,,https://www.legislature.ohio.gov/legislation/133/hcr1
HR0001,2019,133,Jim Butler,,As Adopted by the House,,Relative to the election of the Clerk of the House of Representatives.,,,https://www.legislature.ohio.gov/legislation/133/hr1
HB0002,2019,133,Jon Cross; Michele Lepore-Hagan,"Nickie J. Antonio; Louis W. Blessing, III; Andrew O. Brenner; William P. Coley, II; Hearcel F. Craig; Matt Dolan; John Eklund; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Matt Huffman; Stephen A. Huffman; Terry Johnson; Stephanie Kunze; Peggy Lehner; Nathan H. Manning; Sean J. O'Brien; Larry Obhof; Bob Peterson; Michael A. Rulli; Tim Schaffer; Vernon Sykes; Cecil Thomas; Sandra R. Williams; Steve Wilson; Kenny Yuko",As Enrolled,Commerce; Education; Education : Higher Education; Employment; Employment : Workforce Development; Finance and Appropriations; State and Local Government : State Government,Create TechCred and Microcredential Assistance Programs,Senate Conference Committee on H.B. 2; House Economic and Workforce Development Committee; House Finance Committee; House Rules and Reference Committee; Senate Finance Committee,"To enact sections 122.178, 122.179, 122.1710, and 122.1711 of the Revised Code and to amend Sections 259.10, 259.20, and 259.30 of H.B. 166 of the 133rd General Assembly to create the TechCred Program and the Individual Microcredential Assistance Program and to develop a grant program to support industry sector partnerships.",https://www.legislature.ohio.gov/legislation/133/hb2
HCR0002,2019,133,Larry Householder,,As Enrolled,,Relative to the inauguration of the Governor.,,,https://www.legislature.ohio.gov/legislation/133/hcr2
HR0002,2019,133,Jim Butler,,As Adopted by the House,,Relative to employment and compensation of employees of the House of Representatives preparatory to and during House organization.,,,https://www.legislature.ohio.gov/legislation/133/hr2
HJR0002,2019,133,Don Manning; Jamie Callender,Jon Cross; Haraz N. Ghanbari; George F. Lang; Dick Stein,As Introduced,Commerce : Financial Institutions; Environment and Natural Resources : Oil and Gas; Housing and Real Property; State and Local Government : State Government; Utilities  : Electric Utilities; Utilities  : Gas Utilities; Utilities  : Water Utilities,Provide Ohio critical infrastructure protection,House Energy and Natural Resources Committee,Proposing to enact Section 12 of Article XV of the Constitution of the State of Ohio to provide Ohio critical infrastructure protection.,https://www.legislature.ohio.gov/legislation/133/hjr2
HB0003,2019,133,Janine R. Boyd; Sara P. Carruthers,"Cindy Abrams; Brian Baldridge; Kristin Boggs; Juanita O. Brent; Richard D. Brown; Jamie Callender; Rick Carfagna; Jack Cera; Randi Clites; Erica C. Crawley; Jon Cross; Jeffrey A. Crossman; Anthony DeVitis; Jay Edwards; Mark Fraizer; Tavia Galonski; Haraz N. Ghanbari; Timothy E. Ginter; Doug Green; Dave Greenspan; Diane V. Grendell; Stephen D. Hambley; Paula Hicks-Hudson; Adam Holmes; James M. Hoops; Stephanie D. Howse; Catherine D. Ingram; Don Jones; Brigid Kelly; Bernadine Kennedy Kent; J. Kyle Koehler; Jeff LaRe; Laura Lanese; George F. Lang; David Leland; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Gayle Manning; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; John Patterson; Thomas F. Patton; Rick Perales; Phil Plummer; Bill Reineke; Tracy M. Richardson; Phillip M. Robinson, Jr.; Bill Roemer; John M. Rogers; C. Allison Russo; Gary Scherer; Michael Sheehy; Kent Smith; J. Todd Smith; Lisa A. Sobecki; Dick Stein; Jason Stephens; Reggie Stoltzfus; D. J. Swearingen; Bride Rose Sweeney; Emilia Strong Sykes; Terrence Upchurch; Casey Weinstein; Thomas West",As Passed by the House,"Crimes, Corrections, and Law Enforcement : Crime and Punishment; Crimes, Corrections, and Law Enforcement : Law Enforcement; Health and Human Services : Public Health; Juvenile and Family Law : Domestic Relations; State and Local Government : Local Government; State and Local Government : State Government",Address high-risk domestic violence and victimization,,"To amend sections 109.744, 109.803, 2903.01, 2919.25, 2919.27, 2929.12, 2929.13, 2929.14, 2929.22, 2935.032, 2937.23, and 3113.31; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 2935.033 (2935.034); and to enact new section 2935.033 and section 2919.261 of the Revised Code; and to amend Section 221.10 of H.B. 166 of the 133rd General Assembly to add domestic violence circumstances to the offense of aggravated murder, to expand the offense of domestic violence to also prohibit strangulation of a family or household member, to require law enforcement officers to utilize a qualified lethality assessment screening tool to refer high risk victims to domestic violence resources, to create the Domestic Violence Prosecution Study Committee, to name this act Aisha's Law, and to make an appropriation.",https://www.legislature.ohio.gov/legislation/133/hb3
HJR0003,2019,133,Tavia Galonski,,As Introduced,Elections; Constitutional Amendment,Amend constitution-permit election day voter registration,House State and Local Government Committee,Proposing to amend Section 1 of Article V of the Constitution of the State of Ohio to permit an elector to register to vote on Election Day and vote in that election.,https://www.legislature.ohio.gov/legislation/133/hjr3
