bill_number,session_year,session_num,action_date,chamber,action,committee,order
HJR0001,2015,131,2015-02-11,Senate,Adopted,,2
HJR0001,2015,131,2015-02-11,House,Adopted,,1
HCR0001,2015,131,2015-01-08,Senate,Adopted,,2
HCR0001,2015,131,2015-01-05,House,Adopted,,1
HB0001,2015,131,2015-04-14,House,Re-referred,Finance,4
HB0001,2015,131,2015-03-25,House,Re-referred - Substitute,Rules and Reference,3
HB0001,2015,131,2015-01-29,House,Refer to Committee,Economic and Workforce Development,2
HB0001,2015,131,2015-01-28,House,Introduced,,1
HR0001,2015,131,2015-01-05,House,Adopted,,1
HB0002,2015,131,2016-02-01,,Effective 2/1/16,,13
HB0002,2015,131,2015-10-07,House,Conference report agreed to,,12
HB0002,2015,131,2015-10-07,Senate,Conference report agreed to,Conference Committee on HB 2,11
HB0002,2015,131,2015-09-30,Senate,Insist on amendments; asks for committee of conference,,10
HB0002,2015,131,2015-09-30,House,Refused to concur in Senate amendments,,9
HB0002,2015,131,2015-06-25,Senate,Passed,,8
HB0002,2015,131,2015-06-25,Senate,Reported - Substitute,Finance - Education Subcommittee,7
HB0002,2015,131,2015-04-14,Senate,Refer to Committee,Finance - Education Subcommittee,6
HB0002,2015,131,2015-03-31,Senate,Introduced,,5
HB0002,2015,131,2015-03-26,House,Passed,,4
HB0002,2015,131,2015-03-25,House,Reported - Substitute,Education,3
HB0002,2015,131,2015-01-29,House,Refer to Committee,Education,2
HB0002,2015,131,2015-01-28,House,Introduced,,1
HCR0002,2015,131,2015-01-08,Senate,Adopted,,2
HCR0002,2015,131,2015-01-05,House,Adopted,,1
HR0002,2015,131,2015-01-05,House,Adopted,,1
HJR0002,2015,131,2015-03-04,House,Refer to Committee,Government Accountability and Oversight,2
HJR0002,2015,131,2015-03-02,House,Introduced,,1
HB0003,2015,131,2015-09-24,,Effective 9/24/15,,9
HB0003,2015,131,2015-06-03,Senate,Passed,,8
HB0003,2015,131,2015-04-22,Senate,Reported,State and Local Government,7
HB0003,2015,131,2015-04-14,Senate,Refer to Committee,State and Local Government,6
HB0003,2015,131,2015-03-31,Senate,Introduced,,5
HB0003,2015,131,2015-03-26,House,Passed,,4
HB0003,2015,131,2015-03-25,House,Reported - Substitute,Economic and Workforce Development,3
HB0003,2015,131,2015-02-10,House,To committee,Economic and Workforce Development,2
HB0003,2015,131,2015-01-28,House,Introduced,,1
HCR0003,2015,131,2015-01-28,Senate,Adopted,,2
HCR0003,2015,131,2015-01-28,House,Adopted,,1
HR0003,2015,131,2015-01-05,House,Adopted,,1
HJR0003,2015,131,2015-06-16,House,Refer to Committee,Government Accountability and Oversight,2
HJR0003,2015,131,2015-06-10,House,Introduced,,1
HJR0004,2015,131,2015-06-30,House,Concurred in Senate amendments,,8
HJR0004,2015,131,2015-06-30,Senate,Adopted,,7
HJR0004,2015,131,2015-06-30,Senate,Reported - Substitute,Rules and Reference,6
HJR0004,2015,131,2015-06-25,Senate,Offered,,5
HJR0004,2015,131,2015-06-24,House,Adopted,,4
HJR0004,2015,131,2015-06-24,House,Reported - Substitute,Government Accountability and Oversight,3
HJR0004,2015,131,2015-06-16,House,Refer to Committee,Government Accountability and Oversight,2
