bill_id,term,session,title,long_title,subjects,commem
HB0001,2023_2024,135,Modify the law regarding property taxation and income tax rates,"To amend sections 319.30, 319.301, 321.24, 323.08, 323.152, 323.153, 323.155, 323.158, 718.83, 3354.24, 3354.25, 4503.06, 4503.065, 4503.066, 5703.021, 5703.80, 5709.92, 5709.93, 5713.01, 5715.01, 5715.19, 5715.24, 5715.30, 5747.02, 5747.03, and 5751.20 and to repeal section 319.302 of the Revised Code to modify the law regarding property taxation and income tax rates.",Housing and Real Property; Taxation,0
HB0002,2023_2024,135,Direct state funds for economic growth and community development,"To amend sections 164.01, 164.05, 164.051, 164.06, 164.08, 164.14, and 164.26 of the Revised Code and to amend Sections 307.80 and 423.120 of H.B. 33 of the 135th General Assembly to provide authorization and conditions for the operation of certain state programs, to make capital appropriations and reappropriations for the biennium ending June 30, 2026, to make other appropriations, and to declare an emergency.",Finance and Appropriations,0
HB0003,2023_2024,135,Authorize an affordable housing tax credit,To formally state the General Assembly's intention to authorize an affordable housing tax credit.,Housing and Real Property; Taxation,0
HB0004,2023_2024,135,"Regards certain economic boycotts, discrimination by businesses",To declare the General Assembly's intention to enact legislation regarding financial institutions and other businesses that conduct economic boycotts or discriminate against certain companies or customers based on certain factors.,Commerce; Commerce : Financial Institutions; Economic Development; Retirement,0
HB0005,2023_2024,135,Modernize the adoption process,"To amend sections 2101.24, 2151.412, 2151.414, 2937.02, 3107.01, 3107.011, 3107.02, 3107.03, 3107.04, 3107.05, 3107.055, 3107.06, 3107.07, 3107.08, 3107.082, 3107.083, 3107.084, 3107.11, 3107.12, 3107.14, 3107.16, 3107.161, 3107.17, 3107.18, 3107.19, 3107.46, 5103.15, 5103.153, and 5103.16; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 3107.051 (3107.052); to enact new section 3107.051 and section 3107.20; and to repeal sections 3107.071 and 3107.13 of the Revised Code to modernize adoption laws.",Juvenile and Family Law : Adoption,0
HB0006,2023_2024,135,Enact the Save Women's Sports Act,"To enact sections 3313.5319 and 3345.562 of the Revised Code to enact the Save Women's Sports Act to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex.",Education; Education : Higher Education; Education : Primary and Secondary Education,0
HB0007,2023_2024,135,Enact the Strong Foundations Act,"To amend sections 3701.61, 3701.611, 5101.342, 5123.0421, and 5123.33, to enact sections 3902.63, 5101.91, 5104.291, and 5120.658 of the Revised Code, and to repeal Section 105.40 of H.B. 33 of the 135th General Assembly to support strong foundations for Ohio mothers and babies in their first one thousand days to address maternal and infant mortality, to improve health, developmental, and learning outcomes for babies and mothers through expanded prenatal, postnatal, infant, and toddler health care and early intervention and wraparound services and supports; to amend the versions of sections 5180.21, 5180.22, and 5180.32 of the Revised Code that are scheduled to take effect January 1, 2025, to continue those changes on and after that date; to designate those provisions the Strong Foundations Act; to require health plan issuers to cover hearing aids and related services for persons age twenty-one and younger; and to make appropriations.",Health and Human Services; Health and Human Services : Health Care; Health and Human Services : Mental Health and Disabilities; Health and Human Services : Public Assistance; Health and Human Services : Public Health,0
HB0008,2023_2024,135,Enact the Parents' Bill of Rights,"To amend sections 3314.03 and 3326.11 and to enact section 3313.473 of the Revised Code to enact the ""Parents' Bill of Rights"" to require public schools to adopt a policy on parental notification on student health and well-being and instructional materials with sexuality content.",Education; Education : Primary and Secondary Education,0
HB0009,2023_2024,135,Establish the Grow Your Own Teacher Program,"To amend sections 3314.03, 3319.223, 3319.26, and 3326.11 and to enact sections 3319.225, 3319.58, 3333.393, and 3333.394 of the Revised Code and to amend the version of section 3319.26 of the Revised Code that is scheduled to take effect on December 29, 2023, to continue the changes on and after that date, to establish the Grow Your Own Teacher Program, to establish a loan repayment program for eligible teachers, to make changes to teacher licensing and professional development, and to make an appropriation.",Finance and Appropriations; Education; Education : Higher Education; Education : Primary and Secondary Education,0
HB0010,2023_2024,135,Continue phasing-in the school financing system,"To express the intent of the General Assembly to continue phasing-in the school financing system established in H.B. 110 of the 134th General Assembly and, if practicable, fully phase it in.",Education; Education : Primary and Secondary Education,0
HB0011,2023_2024,135,Establish the Backpack Scholarship Program,"To amend sections 125.04, 311.29, 3301.0711, 3301.0714, 3301.163, 3302.036, 3302.04, 3302.10, 3310.51, 3317.02, 3317.022, 3317.03, 3365.07, 5703.21, and 5747.70; to enact sections 3310.21, 3310.22, 3310.23, 3310.24, 3310.25, 3310.26, 3310.27, and 3321.042; and to repeal sections 3310.01, 3310.02, 3310.03, 3310.031, 3310.032, 3310.033, 3310.034, 3310.035, 3310.036, 3310.04, 3310.05, 3310.06, 3310.07, 3310.10, 3310.11, 3310.12, 3310.13, 3310.14, 3310.15, 3310.16, 3310.17, 3313.974, 3313.975, 3313.976, 3313.977, 3313.978, and 3313.979 of the Revised Code to establish the Backpack Scholarship Program to begin operating for the 2023-2024 school year, to repeal the Educational Choice Scholarship Pilot Program and the Pilot Project Scholarship Program on July 1, 2024, and to make an appropriation.",Education; Education : Primary and Secondary Education,0
