bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1263495,2023807,text,103688,application/pdf,Introduced,https://legiscan.com/OH/text/HB1/id/2023807,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb1/IN/00?format=pdf
1263495,2040867,text,106013,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB1/id/2040867,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb1/RH/01?format=pdf
1263495,2219335,text,109527,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB1/id/2219335,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb1/RS/03?format=pdf
1263495,2041195,text,106211,application/pdf,Engrossed,https://legiscan.com/OH/text/HB1/id/2041195,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb1/PH/02?format=pdf
1263495,2222268,text,174245,application/pdf,Engrossed,https://legiscan.com/OH/text/HB1/id/2222268,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb1/PS/04?format=pdf
1263495,2223261,text,185058,application/pdf,Enrolled,https://legiscan.com/OH/text/HB1/id/2223261,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb1/EN/05?format=pdf
1260285,2016079,text,78515,application/pdf,Introduced,https://legiscan.com/OH/text/HB2/id/2016079,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/IN/00?format=pdf
1260285,2033906,text,183112,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2033906,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/RH/01?format=pdf
1260285,2033907,text,181303,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2033907,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/RCH/02?format=pdf
1260285,2036322,text,179017,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2036322,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/RH/03?format=pdf
1260285,2060193,text,193604,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2060193,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/RS/05?format=pdf
1260285,2074563,text,205107,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2074563,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/CR/07?format=pdf
1260285,2037113,text,179076,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/2037113,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/PH/04?format=pdf
1260285,2061496,text,203891,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/2061496,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/PS/06?format=pdf
1260285,2079534,text,214351,application/pdf,Enrolled,https://legiscan.com/OH/text/HB2/id/2079534,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb2/EN/08?format=pdf
1261925,2019624,text,264922,application/pdf,Introduced,https://legiscan.com/OH/text/HB3/id/2019624,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb3/IN/00?format=pdf
1261925,2186429,text,301884,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/2186429,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb3/RH/01?format=pdf
1261925,2186430,text,302443,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/2186430,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb3/RCH/02?format=pdf
1261925,2186818,text,299317,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/2186818,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb3/RH/03?format=pdf
1261925,2187038,text,296357,application/pdf,Engrossed,https://legiscan.com/OH/text/HB3/id/2187038,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb3/PH/04?format=pdf
1261822,2019543,text,66919,application/pdf,Introduced,https://legiscan.com/OH/text/HB4/id/2019543,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb4/IN/00?format=pdf
1261822,2033978,text,62730,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB4/id/2033978,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb4/RH/01?format=pdf
1261822,2073436,text,65216,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB4/id/2073436,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb4/RS/03?format=pdf
1261822,2034595,text,64966,application/pdf,Engrossed,https://legiscan.com/OH/text/HB4/id/2034595,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb4/PH/02?format=pdf
1261822,2073437,text,65266,application/pdf,Engrossed,https://legiscan.com/OH/text/HB4/id/2073437,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb4/PS/04?format=pdf
1261822,2079550,text,68363,application/pdf,Enrolled,https://legiscan.com/OH/text/HB4/id/2079550,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb4/EN/05?format=pdf
1263316,2023636,text,146465,application/pdf,Introduced,https://legiscan.com/OH/text/HB5/id/2023636,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb5/IN/00?format=pdf
1263316,2040278,text,150811,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB5/id/2040278,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb5/RH/01?format=pdf
1263316,2040483,text,150828,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB5/id/2040483,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb5/RCH/02?format=pdf
