bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1437460,1815,HB1,1,Introduced,2021-02-03,"Create new school financing system","To amend sections 3301.0714, 3302.20, 3310.08, 3310.41, 3310.51, 3310.54, 3310.56, 3313.64, 3313.979, 3313.98, 3313.981, 3314.08, 3314.084, 3314.087, 3314.091, 3314.11, 3314.20, 3315.18, 3317.013, 3317.014, 3317.016, 3317.02, 3317.021, 3317.022, 3317.023, 3317.024, 3317.028, 3317.0212, 3317.0213, 3317.0214, 3317.03, 3317.051, 3317.16, 3317.20, 3317.25, 3317.26, 3319.57, 3324.09, 3326.31, 3326.32, 3326.33, 3326.39, 3326.40, 3326.51, 3327.01, 3328.32, 3328.34, and 3365.01; to enact new sections 3314.085, 3317.017, 3317.0215, 3317.0217, and 3317.0218 and sections 3314.089, 3314.0810, 3317.011, 3317.012, 3317.018, 3317.019, 3317.0110, 3317.071, 3317.072, 3317.11, 3317.162, 3317.60, 3326.43, 3326.44, and 3327.016; and to repeal sections 3310.55, 3314.085, 3314.53, 3317.017, 3317.0215, 3317.0216, 3317.0217, 3317.0218, 3326.41, and 3328.33 of the Revised Code and to amend Sections 4, 5, 6, and 7 of S.B. 310 of the 133rd General Assembly to create a new school financing system for fiscal year 2022 and each fiscal year thereafter.",3374,"House Finance",2021-02-04,"Refer to Committee: Finance",https://legiscan.com/OH/bill/HB1/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-1
1437283,1815,HB2,4,Passed,2021-05-05,"Regards broadband expansion","To amend sections 133.13 and 727.01 and to enact sections 122.40, 122.401, 122.403, 122.404, 122.406, 122.407, 122.408, 122.4010, 122.4013, 122.4015, 122.4016, 122.4017, 122.4018, 122.4019, 122.4020, 122.4021, 122.4023, 122.4024, 122.4025, 122.4030, 122.4031, 122.4033, 122.4034, 122.4035, 122.4036, 122.4037, 122.4040, 122.4041, 122.4043, 122.4044, 122.4045, 122.4046, 122.4050, 122.4051, 122.4053, 122.4055, 122.4060, 122.4061, 122.4063, 122.4070, 122.4071, 122.4073, 122.4075, 122.4076, 122.4077, 188.01, 188.02, 188.05, 188.08, 188.11, 188.14, 188.17, 188.20, 188.23, 188.27, 188.30, 303.251, 505.881, 4926.01, 4926.03, 4926.06, 4926.09, 4926.12, 4926.15, 4926.18, 4926.21, 4926.24, 4926.27, 4926.30, 4926.33, 4926.36, 4926.39, 4926.42, 4926.43, 4926.45, 4926.48, 4926.51, 4926.54, 4926.57, and 4926.60 of the Revised Code regarding broadband expansion, including access to electric cooperative easements and facilities, to make an appropriation, and to declare an emergency.",0,,2021-05-05,"Effective 5/17/21",https://legiscan.com/OH/bill/HB2/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-2
1437271,1815,HB3,2,Engrossed,2021-10-27,"Enact Aisha's Law regarding domestic violence / arrest authority","To amend sections 109.744, 109.803, 2903.01, 2919.25, 2919.27, 2929.12, 2929.13, 2929.14, 2929.22, 2935.03, 2935.032, 2937.23, and 3113.31; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 2935.033 (2935.034); and to enact new section 2935.033 and section 2919.261 of the Revised Code to make changes to civil and criminal law regarding domestic violence, to address State Highway Patrol arrest authority, to name the act Aisha's Law, and to make an appropriation.",2659,"Senate Judiciary",2021-11-10,"Refer to Committee: Judiciary",https://legiscan.com/OH/bill/HB3/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-3
1437422,1815,HB4,4,Passed,2022-02-09,"Regards child abuse and neglect reporting","To amend sections 2151.142, 2151.421, and 3107.014 and to enact sections 2151.4210, 2151.4211, 2151.4212, 2151.4213, 2151.4215, 2151.4216, 2151.4218, 2151.4219, 2151.4220, 2151.4221, 2151.4222, 2151.4223, 2151.4224, 5101.89, 5101.891, 5101.892, 5101.893, 5101.894, 5101.895, 5101.897, and 5101.899 of the Revised Code regarding county child abuse and neglect memorandums of understanding, cross-reporting of child abuse and neglect reports by public children services agencies to law enforcement agencies, notification of reporter rights, home assessor eligibility, and creation of the youth and family ombudsman office.",0,,2022-02-09,"Effective 5/30/22",https://legiscan.com/OH/bill/HB4/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-4
1437661,1815,HB5,4,Passed,2021-06-24,"Modify chemical dependency counselor licensing","To amend sections 4758.20, 4758.42, and 4758.61 of the Revised Code to modify the requirements that may be met for licensure as a chemical dependency counselor II and to modify the professionals who may supervise certain individuals providing prevention services, and to amend the version of section 4758.20 of the Revised Code that is scheduled to take effect October 9, 2021, to continue the change on and after that date.",0,,2021-06-24,"Effective 9/30/21 - Certain provisions effective October 9, 2021",https://legiscan.com/OH/bill/HB5/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-5
1437701,1815,HB6,4,Passed,2021-05-12,"Modify laws governing certain professions due to COVID-19","To amend sections 3319.221, 4729.41, 4729.92, 4729.921, 4731.512, and 4928.66 and to enact sections 3792.03, 4729.42, and 4928.661 of the Revised Code and to amend Section 30 of H.B. 197 of the 133rd General Assembly to modify the laws governing certain health professionals and educator preparation programs due to COVID-19 and other circumstances and to modify the electric utility laws regarding energy efficiency programs; to amend the version of section 4729.92 of the Revised Code that is scheduled to take effect on October 9, 2021, to continue the changes to that section on and after that date; and to declare an emergency.",0,,2021-05-12,"Effective 5/14/21 - Sections 3 and 4 effective October 9, 2021",https://legiscan.com/OH/bill/HB6/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-6
1437038,1815,HB7,4,Passed,2021-05-05,"Revise Probate Law, Guardianship Law, and Ohio Trust Code","To amend sections 1721.21, 2101.15, 2106.13, 2108.05, 2108.06, 2108.07, 2108.23, 2108.24, 2108.34, 2111.10, 2111.50, 2133.07, 2701.10, 2717.01, 5122.15, 5804.11, 5805.06, 5816.02, 5816.05, 5816.06, 5816.09, 5816.10, and 5816.14; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 2717.01 (2717.02); to enact new section 2717.01 and sections 2717.03, 2717.04, 2717.05, 2717.06, 2717.07, 2717.08, 2717.09, 2717.10, 2717.11, 2717.13, 2717.14, 2717.16, 2717.18, and 2717.19; and to repeal section 2133.16 of the Revised Code to make changes in the Probate Law, the Guardianship Law, the Ohio Trust Code, the Ohio Legacy Trust Act, the laws regarding cemetery endowment care trusts, referral of actions to a retired judge, involuntary mental health placements, and change of name procedures.",0,,2021-05-05,"Effective 8/17/21",https://legiscan.com/OH/bill/HB7/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-7
1437597,1815,HB8,4,Passed,2021-05-12,"Revise electronic recording of custodial interrogations","To amend sections 2152.75, 2901.10, 2921.45, and 2933.81 of the Revised Code to revise the law governing the electronic recording of custodial interrogations, to revise the prohibition against certain types of restraint or confinement of a pregnant woman or child who is charged with or has been convicted of an offense, and to declare an emergency.",0,,2021-05-12,"Effective 5/17/21 - Certain provisions effective August 15, 2021",https://legiscan.com/OH/bill/HB8/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-8
1437765,1815,HB9,4,Passed,2021-06-23,"Prohibit certain sales of dextromethorphan","To enact section 2925.62 of the Revised Code to prohibit sales of dextromethorphan without a prescription to persons under age 18.",0,,2021-06-23,"Effective 9/30/21",https://legiscan.com/OH/bill/HB9/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-9
1437091,1815,HB10,1,Introduced,2021-02-03,"Revise electric utility service law","To amend sections 4928.01, 4928.143, 4928.64, 4928.641, 4928.645, 4928.66, and 4928.6610; to enact sections 4928.81, 4928.82, 4928.821, 4928.822, 4928.823, 4928.824, 4928.825, 4928.826, 4928.827, 4928.828, 4928.829, 4928.83, 4928.84, 4928.86, 4928.87, 4928.90, 4928.91, and 4928.92; and to repeal sections 3706.40, 3706.41, 3706.43, 3706.431, 3706.45, 3706.46, 3706.49, 3706.53, 3706.55, 3706.59, 3706.61, 3706.63, 3706.65, 4928.148, 4928.47, 4928.471, 4928.642, 4928.75, and 5727.231 of the Revised Code and to repeal Section 5 of H.B. 6 of the 133rd General Assembly to make changes regarding electric utility service law, to allow the implementation of energy waste reduction programs, and to repeal certain provisions of H.B. 6 of the 133rd General Assembly.",109,"House Public Utilities",2021-02-04,"Refer to Committee: Public Utilities",https://legiscan.com/OH/bill/HB10/2021,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-10
