bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1437460,2275077,text,682851,application/pdf,Introduced,https://legiscan.com/OH/text/HB1/id/2275077,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb1/IN/00/hb1_00_IN?format=pdf
1437460,2389371,text,682851,application/pdf,Introduced,https://legiscan.com/OH/text/HB1/id/2389371,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb1/IN/00/hb1_00_IN?format=pdf
1437283,2274902,text,185210,application/pdf,Introduced,https://legiscan.com/OH/text/HB2/id/2274902,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/IN/00/hb2_00_IN?format=pdf
1437283,2296797,text,191693,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2296797,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/RH/01/hb2_01_RH?format=pdf
1437283,2383531,text,192310,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2383531,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/RS/03/hb2_03_RS?format=pdf
1437283,2389390,text,191648,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2389390,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/RH/01/hb2_01_RH?format=pdf
1437283,2600873,text,192208,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/2600873,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/RS/03/hb2_03_RS?format=pdf
1437283,2298758,text,189767,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/2298758,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/PH/02/hb2_02_PH?format=pdf
1437283,2384350,text,187885,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/2384350,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/PS/04/hb2_04_PS?format=pdf
1437283,2389391,text,189741,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/2389391,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/PH/02/hb2_02_PH?format=pdf
1437283,2600874,text,187783,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/2600874,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/PS/04/hb2_04_PS?format=pdf
1437283,2391408,text,191850,application/pdf,Enrolled,https://legiscan.com/OH/text/HB2/id/2391408,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb2/EN/05/hb2_05_EN?format=pdf
1437271,2274889,text,319553,application/pdf,Introduced,https://legiscan.com/OH/text/HB3/id/2274889,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb3/IN/00/hb3_00_IN?format=pdf
1437271,2438812,text,329891,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/2438812,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb3/RH/01/hb3_01_RH?format=pdf
1437271,2438975,text,329803,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB3/id/2438975,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb3/RH/02/hb3_02_RH?format=pdf
1437271,2439472,text,322748,application/pdf,Engrossed,https://legiscan.com/OH/text/HB3/id/2439472,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb3/PH/03/hb3_03_PH?format=pdf
1437422,2275042,text,131402,application/pdf,Introduced,https://legiscan.com/OH/text/HB4/id/2275042,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb4/IN/00/hb4_00_IN?format=pdf
1437422,2404229,text,170141,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB4/id/2404229,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb4/RH/01/hb4_01_RH?format=pdf
1437422,2492603,text,154611,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB4/id/2492603,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb4/RS/03/hb4_03_RS?format=pdf
1437422,2405386,text,168105,application/pdf,Engrossed,https://legiscan.com/OH/text/HB4/id/2405386,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb4/PH/02/hb4_02_PH?format=pdf
1437422,2510852,text,153066,application/pdf,Engrossed,https://legiscan.com/OH/text/HB4/id/2510852,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb4/PS/04/hb4_04_PS?format=pdf
1437422,2513999,text,158949,application/pdf,Enrolled,https://legiscan.com/OH/text/HB4/id/2513999,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb4/EN/05/hb4_05_EN?format=pdf
1437661,2275271,text,84405,application/pdf,Introduced,https://legiscan.com/OH/text/HB5/id/2275271,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb5/IN/00/hb5_00_IN?format=pdf
1437661,2308495,text,85399,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB5/id/2308495,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb5/RH/01/hb5_01_RH?format=pdf
1437661,2399951,text,101328,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB5/id/2399951,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb5/RS/03/hb5_03_RS?format=pdf
1437661,2312093,text,100418,application/pdf,Engrossed,https://legiscan.com/OH/text/HB5/id/2312093,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb5/PH/02/hb5_02_PH?format=pdf
1437661,2420256,text,100711,application/pdf,Engrossed,https://legiscan.com/OH/text/HB5/id/2420256,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb5/PS/04/hb5_04_PS?format=pdf
1437661,2421139,text,103111,application/pdf,Enrolled,https://legiscan.com/OH/text/HB5/id/2421139,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb5/EN/05/hb5_05_EN?format=pdf
1437701,2275308,text,91123,application/pdf,Introduced,https://legiscan.com/OH/text/HB6/id/2275308,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/IN/00/hb6_00_IN?format=pdf
1437701,2311303,text,115616,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB6/id/2311303,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/RH/01/hb6_01_RH?format=pdf
1437701,2389374,text,115616,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB6/id/2389374,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/RH/01/hb6_01_RH?format=pdf
1437701,2393767,text,115808,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB6/id/2393767,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/RS/03/hb6_03_RS?format=pdf
1437701,2321422,text,114488,application/pdf,Engrossed,https://legiscan.com/OH/text/HB6/id/2321422,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/PH/02/hb6_02_PH?format=pdf
1437701,2394976,text,114550,application/pdf,Engrossed,https://legiscan.com/OH/text/HB6/id/2394976,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/PS/04/hb6_04_PS?format=pdf
1437701,2395828,text,119848,application/pdf,Enrolled,https://legiscan.com/OH/text/HB6/id/2395828,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb6/EN/05/hb6_05_EN?format=pdf
1437038,2274661,text,216059,application/pdf,Introduced,https://legiscan.com/OH/text/HB7/id/2274661,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb7/IN/00/hb7_00_IN?format=pdf
1437038,2310395,text,221273,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB7/id/2310395,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb7/RH/01/hb7_01_RH?format=pdf
1437038,2389966,text,221548,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB7/id/2389966,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb7/RS/03/hb7_03_RS?format=pdf
1437038,2322013,text,217608,application/pdf,Engrossed,https://legiscan.com/OH/text/HB7/id/2322013,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb7/PH/02/hb7_02_PH?format=pdf
1437038,2389967,text,218340,application/pdf,Engrossed,https://legiscan.com/OH/text/HB7/id/2389967,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb7/PS/04/hb7_04_PS?format=pdf
1437038,2392599,text,225870,application/pdf,Enrolled,https://legiscan.com/OH/text/HB7/id/2392599,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb7/EN/05/hb7_05_EN?format=pdf
1437597,2275213,text,81278,application/pdf,Introduced,https://legiscan.com/OH/text/HB8/id/2275213,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb8/IN/00/hb8_00_IN?format=pdf
1437597,2372868,text,105479,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB8/id/2372868,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb8/RH/01/hb8_01_RH?format=pdf
1437597,2394979,text,107880,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB8/id/2394979,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb8/RS/03/hb8_03_RS?format=pdf
1437597,2373704,text,105040,application/pdf,Engrossed,https://legiscan.com/OH/text/HB8/id/2373704,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb8/PH/02/hb8_02_PH?format=pdf
1437597,2394980,text,107697,application/pdf,Engrossed,https://legiscan.com/OH/text/HB8/id/2394980,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb8/PS/04/hb8_04_PS?format=pdf
1437597,2395846,text,100319,application/pdf,Enrolled,https://legiscan.com/OH/text/HB8/id/2395846,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb8/EN/05/hb8_05_EN?format=pdf
1437765,2275370,text,62323,application/pdf,Introduced,https://legiscan.com/OH/text/HB9/id/2275370,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb9/IN/00/hb9_00_IN?format=pdf
1437765,2306991,text,63525,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB9/id/2306991,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb9/RH/01/hb9_01_RH?format=pdf
1437765,2389937,text,64566,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB9/id/2389937,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb9/RS/03/hb9_03_RS?format=pdf
1437765,2311891,text,64441,application/pdf,Engrossed,https://legiscan.com/OH/text/HB9/id/2311891,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb9/PH/02/hb9_02_PH?format=pdf
1437765,2419556,text,64719,application/pdf,Engrossed,https://legiscan.com/OH/text/HB9/id/2419556,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb9/PS/04/hb9_04_PS?format=pdf
1437765,2421047,text,69616,application/pdf,Enrolled,https://legiscan.com/OH/text/HB9/id/2421047,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb9/EN/05/hb9_05_EN?format=pdf
1437091,2274712,text,176543,application/pdf,Introduced,https://legiscan.com/OH/text/HB10/id/2274712,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb10/IN/00/hb10_00_IN?format=pdf
1437835,2275436,text,67847,application/pdf,Introduced,https://legiscan.com/OH/text/HB11/id/2275436,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb11/IN/00/hb11_00_IN?format=pdf
1437253,2274871,text,64335,application/pdf,Introduced,https://legiscan.com/OH/text/HB12/id/2274871,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb12/IN/00/hb12_00_IN?format=pdf
1437612,2275225,text,348257,application/pdf,Introduced,https://legiscan.com/OH/text/HB13/id/2275225,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb13/IN/00/hb13_00_IN?format=pdf
1437182,2274801,text,77706,application/pdf,Introduced,https://legiscan.com/OH/text/HB14/id/2274801,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb14/IN/00/hb14_00_IN?format=pdf
1437116,2274737,text,58101,application/pdf,Introduced,https://legiscan.com/OH/text/HB15/id/2274737,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb15/IN/00/hb15_00_IN?format=pdf
1437116,2321685,text,58851,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB15/id/2321685,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb15/RH/01/hb15_01_RH?format=pdf
1437551,2275167,text,98850,application/pdf,Introduced,https://legiscan.com/OH/text/HB16/id/2275167,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb16/IN/00/hb16_00_IN?format=pdf
1437101,2274722,text,86482,application/pdf,Introduced,https://legiscan.com/OH/text/HB17/id/2274722,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb17/IN/00/hb17_00_IN?format=pdf
1437732,2275337,text,175896,application/pdf,Introduced,https://legiscan.com/OH/text/HB18/id/2275337,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb18/IN/00/hb18_00_IN?format=pdf
1437718,2275323,text,59229,application/pdf,Introduced,https://legiscan.com/OH/text/HB19/id/2275323,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb19/IN/00/hb19_00_IN?format=pdf
1437718,2322010,text,59671,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB19/id/2322010,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb19/RH/01/hb19_01_RH?format=pdf
1437408,2275027,text,65394,application/pdf,Introduced,https://legiscan.com/OH/text/HB20/id/2275027,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb20/IN/00/hb20_00_IN?format=pdf
1437020,2274645,text,103574,application/pdf,Introduced,https://legiscan.com/OH/text/HB21/id/2274645,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb21/IN/00/hb21_00_IN?format=pdf
1437020,2330831,text,105427,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB21/id/2330831,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb21/RH/01/hb21_01_RH?format=pdf
1437020,2433924,text,107235,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB21/id/2433924,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb21/RS/03/hb21_03_RS?format=pdf
1437020,2339868,text,105963,application/pdf,Engrossed,https://legiscan.com/OH/text/HB21/id/2339868,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb21/PH/02/hb21_02_PH?format=pdf
1437020,2434574,text,106573,application/pdf,Engrossed,https://legiscan.com/OH/text/HB21/id/2434574,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb21/PS/04/hb21_04_PS?format=pdf
