bill_id,date,chamber,sequence,action
1393004,2021-01-04,House,1,Adopted
1393027,2021-01-04,House,1,Adopted
1393049,2021-01-04,House,1,Adopted
1393073,2021-01-04,House,1,Adopted
1393096,2021-01-04,House,1,Adopted
1393118,2021-01-04,House,1,Adopted
1393141,2021-01-04,House,1,Adopted
1393165,2021-01-04,House,1,Adopted
1393187,2021-01-04,House,1,Adopted
1393187,2021-01-05,Senate,2,Adopted
1393210,2021-01-04,House,1,Adopted
1393231,2021-01-04,House,1,Adopted
1393231,2021-01-05,Senate,2,Adopted
1396713,2021-01-04,Senate,1,Offered
1396713,2021-01-04,Senate,2,Adopted
1396714,2021-01-04,Senate,1,Offered
1396714,2021-01-04,Senate,2,Adopted
1407169,2021-01-14,Senate,1,Introduced
1407169,2021-01-26,Senate,2,"Refer to Committee: Primary and Secondary Education"
1407169,2021-05-12,Senate,3,"Reported - Substitute: Primary and Secondary Education"
1407169,2021-05-12,Senate,4,Passed
1407169,2021-05-19,House,5,"Refer to Committee: Primary and Secondary Education"
1407169,2021-09-22,House,6,"Reported - Substitute: Primary and Secondary Education"
1407169,2021-09-29,House,7,Passed
1407169,2021-10-06,Senate,8,"Concurred in House amendments"
1407169,2021-10-06,,9,"Effective 1/27/22 - Section 4 effective October 28, 2021"
1407312,2021-01-14,Senate,1,Introduced
1407312,2021-01-26,Senate,2,"Refer to Committee: Judiciary"
1407312,2021-02-10,Senate,3,"Reported: Judiciary"
1407312,2021-02-10,Senate,4,Passed
1407312,2021-02-17,House,5,"Refer to Committee: Criminal Justice"
1407312,2021-03-23,House,6,"Reported - Substitute: Criminal Justice"
1407312,2021-03-25,House,7,Passed
1407312,2021-04-21,Senate,8,"Concurred in House amendments"
1407312,2021-04-21,,9,"Effective 8/3/21"
1410324,2021-01-19,Senate,1,Introduced
1410324,2021-01-26,Senate,2,"Refer to Committee: Health"
1410324,2021-02-03,Senate,3,"Reported: Health"
1410324,2021-02-03,Senate,4,Passed
1410324,2021-02-10,House,5,"Refer to Committee: Health"
1410324,2021-03-10,House,6,"Reported - Substitute: Health"
1410324,2021-03-17,House,7,Passed
1410324,2021-03-24,Senate,8,"Concurred in House amendments"
1410324,2021-03-24,,9,"Effective 6/30/21"
1410545,2021-01-19,Senate,1,Introduced
1410545,2021-01-26,Senate,2,"Refer to Committee: Judiciary"
1410545,2021-02-10,Senate,3,"Reported: Judiciary"
1410545,2021-02-17,Senate,4,Passed
1410545,2021-02-24,House,5,"Refer to Committee: Civil Justice"
1410545,2021-04-21,House,6,"Reported - Substitute: Civil Justice"
1410545,2021-05-12,House,7,"Passed - Amended"
1410545,2021-05-26,Senate,8,"Concurred in House amendments"
1410545,2021-05-26,,9,"Effective 9/7/21"
1410771,2021-01-19,Senate,1,Introduced
1410771,2021-01-26,Senate,2,"Refer to Committee: Health"
1410771,2021-03-17,Senate,3,"Reported: Health"
1410771,2021-04-21,Senate,4,Passed
1410771,2021-05-04,House,5,"Refer to Committee: Families, Aging, and Human Services"
1410771,2021-06-15,House,6,"Reported - Substitute: Families, Aging, and Human Services"
1410771,2021-06-23,House,7,Passed
1410771,2021-06-24,Senate,8,"Concurred in House amendments"
1410771,2021-06-24,,9,"Effective 9/30/21 - Appropriations effective July 1, 2021"
1410996,2021-01-19,Senate,1,Introduced
1410996,2021-01-26,Senate,2,"Refer to Committee: Health"
1410996,2021-02-10,Senate,3,"Reported: Health"
1410996,2021-02-24,Senate,4,Passed
