people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
524,"Thomas Brinkman",Thomas,E.,Brinkman,Jr.,Tom,2,R,1,Rep,HD-027,2845480,45587,,Tom_Brinkman_Jr.,206438,0
540,"Matthew Dolan",Matthew,J.,Dolan,,,2,R,2,Sen,SD-024,2678118,45154,,Matt_Dolan,226937,0
561,"Jay Hottinger",Jay,,Hottinger,,,2,R,2,Sen,SD-031,13004821,8153,,Jay_Hottinger,197832,0
562,"Matt Huffman",Matt,,Huffman,,,2,R,2,Sen,SD-012,4260244,58540,,Matt_Huffman,248880,0
578,"Scott Oelslager","W. Scott",,Oelslager,,,2,R,1,Rep,HD-048,13004714,8024,,Scott_Oelslager,197830,0
581,"Thomas Patton",Thomas,F.,Patton,,Tom,2,R,1,Rep,HD-007,3443980,45206,,Thomas_Patton,214260,0
591,"Michael Skindell",Michael,J.,Skindell,,,1,D,1,Rep,HD-013,2997821,45287,,Michael_Skindell,212587,0
597,"Vernon Sykes",Vernon,,Sykes,,,1,D,2,Sen,SD-028,2614310,8396,,Vernon_Sykes,197878,0
607,"Sandra Williams",Sandra,R.,Williams,,,1,D,2,Sen,SD-021,13004525,60019,,Sandra_Williams,236541,0
610,"Kenny Yuko",Kenny,,Yuko,,,1,D,2,Sen,SD-025,13004497,45847,,Kenny_Yuko,226879,0
621,"Teresa Fedor",Teresa,,Fedor,,,1,D,2,Sen,SD-011,10238517,45710,,Teresa_Fedor,206464,0
634,"Timothy Schaffer",Timothy,O.,Schaffer,,Tim,2,R,2,Sen,SD-020,2748082,45832,,Tim_Schaffer,206424,0
636,"Kirk Schuring",Kirk,,Schuring,,,2,R,2,Sen,SD-029,3125245,8388,,Kirk_Schuring,197888,0
637,"William Seitz",William,J.,Seitz,,Bill,2,R,1,Rep,HD-030,3085514,45594,,Bill_Seitz,206436,0
