bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1659638,1231942,2023-01-03,House,"House Adopted",72,14,0,0,86
1659638,1406452,2023-04-20,House,"House Favorable Passage",7,1,0,0,8
1659639,1304661,2023-04-19,Senate,"Senate Favorable Passage",5,0,0,0,5
1659639,1310864,2023-04-26,Senate,"Senate Passed",32,0,0,0,32
1659639,1346837,2023-06-21,House,"House Favorable Passage",12,0,0,0,12
1659639,1346838,2023-06-21,House,"House Passed",90,2,0,0,92
1659639,1348513,2023-06-28,Senate,"Senate Passed",32,0,0,0,32
1659640,1304702,2023-04-19,Senate,"Senate Favorable Passage",10,3,0,0,13
1659640,1322661,2023-05-10,Senate,"Senate Passed",26,7,0,0,33
1659640,1469708,2024-12-04,House,"House Favorable Passage",7,4,0,0,11
1659640,1469934,2024-12-10,House,"House Passed",62,27,0,0,89
1659641,1231950,2023-01-03,House,"House Adopted",58,0,0,0,58
1659643,1231947,2023-01-03,House,"House Adopted",71,15,0,0,86
1659645,1231941,2023-01-03,House,"House Adopted",83,7,0,0,90
1659645,1407611,2023-05-22,House,"House Favorable Passage",10,0,0,0,10
1659645,1407612,2023-12-06,House,"House Adopted",85,0,0,0,85
1659646,1265892,2023-03-01,Senate,"Senate Favorable Passage",7,0,0,0,7
1659646,1271113,2023-03-08,Senate,"Senate Passed",31,1,0,0,32
1659646,1357954,2023-11-29,House,"House Favorable Passage",10,5,0,0,15
1659646,1380483,2024-02-07,House,"House Passed",66,26,0,0,92
1659646,1398254,2024-02-28,Senate,"Senate Passed",32,0,0,0,32
1659647,1231952,2023-01-03,Senate,"Senate Adopted",31,0,0,0,31
1659649,1245949,2023-02-08,Senate,"Senate Favorable Passage",5,0,0,0,5
1659649,1245950,2023-02-08,Senate,"Senate Passed",30,0,0,0,30
1659649,1265871,2023-03-01,House,"House Favorable Passage",15,0,0,0,15
1659649,1266205,2023-03-01,House,"House Passed",88,7,0,0,95
1659650,1231944,2023-01-03,House,"House Adopted",90,0,0,0,90
1659651,1231943,2023-01-03,House,"House Adopted",88,1,0,0,89
1659652,1407641,2023-06-21,Senate,"Senate Favorable Passage",4,0,0,0,4
1659652,1407642,2023-06-21,Senate,"Senate Adopted",30,0,0,0,30
1659654,1231946,2023-01-03,House,"House Adopted",88,1,0,0,89
1659654,1407644,2023-06-27,House,"House Favorable Passage",8,0,0,0,8
1659654,1407645,2023-06-27,House,"House Adopted",89,2,0,0,91
1659655,1231948,2023-01-03,House,"House Adopted",90,0,0,0,90
1659655,1408659,2023-05-10,House,"House Favorable Passage",13,1,0,0,14
1659655,1408660,2023-05-24,House,"House Adopted",88,0,0,0,88
1659657,1231945,2023-01-03,House,"House Adopted",84,5,0,0,89
1659658,1231940,2023-01-03,House,"House Adopted",60,3,0,0,63
1659658,1407604,2023-11-02,House,"House Favorable Passage",12,2,0,0,14
1659658,1407605,2023-12-06,House,"House Adopted",69,19,0,0,88
1659662,1231951,2023-01-03,Senate,"Senate Adopted",31,0,0,0,31
1659662,1407635,2023-04-19,Senate,"Senate Favorable Passage",4,1,0,0,5
1659662,1407636,2023-04-19,Senate,"Senate Adopted",26,7,0,0,33
1659662,1407637,2023-05-02,House,"House Favorable Passage",7,6,0,0,13
1659662,1407638,2023-05-09,House,"House Favorable Passage",7,5,0,0,12
1659662,1407639,2023-05-10,House,"House Adopted",62,36,0,0,98
1659662,1407640,2023-05-10,Senate,"Senate Adopted",26,7,0,0,33
1659663,1231949,2023-01-03,House,"House Adopted",90,0,0,0,90
1659665,1253880,2023-02-16,Senate,"Senate Favorable Passage",5,2,0,0,7
1659665,1258749,2023-02-22,Senate,"Senate Passed",24,7,0,0,31
1659665,1332873,2023-05-24,House,"House Favorable Passage",9,5,0,0,14
1659665,1344292,2023-06-14,House,"House Passed",68,27,0,0,95
1659665,1344637,2023-06-15,Senate,"Senate Passed",24,7,0,0,31
1659670,1368285,2023-05-30,Senate,"Senate Favorable Passage",5,0,0,0,5
1659670,1368286,2023-05-31,Senate,"Senate Passed",32,0,0,0,32
1659671,1265773,2023-03-01,Senate,"Senate Favorable Passage",5,2,0,0,7
1659671,1265774,2023-03-01,Senate,"Senate Passed",26,7,0,0,33
1659672,1463176,2023-01-10,Senate,"Senate Favorable Passage",8,0,0,0,8
1668004,1305009,2023-04-19,Senate,"Senate Favorable Passage",3,2,0,0,5
1668020,1271204,2023-03-08,Senate,"Senate Favorable Passage",4,0,0,0,4
1668020,1305655,2023-04-19,Senate,"Senate Passed",33,0,0,0,33
1668020,1357955,2023-11-29,House,"House Favorable Passage",9,1,0,0,10
1679038,1344068,2023-06-14,Senate,"Senate Favorable Passage",6,0,0,0,6
1679038,1346010,2023-06-21,Senate,"Senate Passed",30,0,0,0,30
1679038,1457169,2024-06-12,House,"House Favorable Passage",9,0,0,0,9
