bill_id,people_id,position
1659634,22760,1
1659635,540,1
1659636,19139,1
1659637,540,1
1659638,578,1
1659639,540,7
1659639,597,24
1659639,634,23
1659639,860,9
1659639,10994,3
1659639,11003,21
1659639,11547,13
1659639,11943,2
1659639,11949,15
1659639,14658,14
1659639,14663,22
1659639,16967,19
1659639,16972,5
1659639,16982,17
1659639,16984,18
1659639,16989,11
1659639,17973,8
1659639,19076,12
1659639,19140,1
1659639,19413,16
1659639,20325,10
1659639,22630,4
1659639,24479,20
1659639,24480,6
1659640,540,5
1659640,634,16
1659640,636,1
1659640,860,7
1659640,10994,3
1659640,11003,14
1659640,11547,9
1659640,14663,15
1659640,16311,2
1659640,16967,13
1659640,16984,11
1659640,16989,8
1659640,17973,6
1659640,19413,10
1659640,19660,17
1659640,22630,4
1659640,22760,12
1659641,562,1
1659641,860,4
1659641,11547,5
1659641,11943,2
1659641,22630,3
1659642,540,9
1659642,562,1
1659642,597,28
1659642,634,26
1659642,860,11
1659642,10994,5
1659642,11003,24
1659642,11547,15
1659642,11943,3
1659642,11949,17
1659642,14653,4
1659642,14658,16
1659642,14663,25
1659642,16311,2
1659642,16967,22
1659642,16972,7
1659642,16977,27
1659642,16982,19
1659642,16984,20
1659642,16989,13
1659642,17973,10
1659642,19076,14
1659642,19140,30
1659642,19413,18
1659642,19660,29
1659642,20325,12
1659642,22630,6
1659642,22760,21
1659642,24479,23
1659642,24480,8
1659643,578,1
1659644,636,1
1659644,16982,2
1659645,578,1
1659646,540,4
1659646,634,16
1659646,860,6
1659646,10994,2
1659646,11003,14
1659646,11547,7
1659646,14658,8
1659646,14663,15
1659646,16967,12
1659646,16984,10
1659646,17973,5
1659646,19140,1
1659646,19413,9
1659646,22630,3
1659646,22760,11
1659646,24479,13
1659647,636,1
1659647,860,5
1659647,11547,7
1659647,11943,2
1659647,11949,8
1659647,16967,12
1659647,16972,4
1659647,16984,10
1659647,19140,13
1659647,19413,9
1659647,20325,6
1659647,22630,3
1659647,22760,11
1659648,540,9
1659648,562,1
1659648,597,28
1659648,634,26
1659648,860,11
1659648,10994,5
1659648,11003,24
1659648,11547,15
1659648,11943,3
1659648,11949,17
1659648,14653,4
1659648,14658,16
1659648,14663,25
1659648,16311,2
1659648,16967,22
1659648,16972,7
1659648,16977,27
1659648,16982,19
1659648,16984,20
1659648,16989,13
1659648,17973,10
1659648,19076,14
1659648,19140,30
1659648,19413,18
1659648,19660,29
1659648,20325,12
1659648,22630,6
1659648,22760,21
1659648,24479,23
1659648,24480,8
1659649,634,13
1659649,860,6
1659649,11003,12
1659649,11547,8
1659649,11943,2
1659649,14653,1
1659649,16967,10
1659649,16972,4
1659649,16977,14
1659649,16982,9
1659649,19660,15
1659649,20325,7
1659649,22630,3
1659649,24479,11
1659649,24480,5
1659650,578,1
1659651,578,1
1659652,634,1
1659653,634,2
1659653,636,1
1659654,578,1
1659655,578,1
1659656,19139,1
1659656,19413,2
1659657,20307,2
1659657,21390,1
1659658,578,1
1659659,11003,1
1659660,636,1
1659661,19140,1
1659662,636,1
1659662,860,4
1659662,11943,2
1659662,11949,5
1659662,16984,6
1659662,19140,7
1659662,22630,3
1659663,578,1
1659664,19140,1
1659665,634,11
1659665,860,5
1659665,11003,10
1659665,11547,6
1659665,16982,8
1659665,16984,1
1659665,17973,4
1659665,19413,7
1659665,19660,12
1659665,22630,3
1659665,22760,9
1659665,24479,2
1659666,636,1
1659667,634,5
1659667,19139,1
1659667,19413,3
1659667,22630,2
1659667,22760,4
1659668,636,2
1659668,16989,1
1659669,636,1
1659669,10994,3
1659669,11943,2
1659669,14663,7
1659669,16982,6
1659669,17973,4
1659669,19413,5
1659670,636,1
1659670,19413,2
1659671,634,12
1659671,10994,3
1659671,14663,11
1659671,16311,2
1659671,16967,1
1659671,16984,8
1659671,16989,6
1659671,17973,5
1659671,19140,13
1659671,19413,7
1659671,22630,4
1659671,22760,9
1659671,24479,10
1659672,19139,1
1661776,562,1
1662048,562,1
1662321,562,1
1662598,16982,1
1664847,22760,1
1665226,636,1
1668004,19413,1
1668020,540,8
1668020,597,19
1668020,634,17
1668020,860,10
1668020,10994,4
1668020,11003,1
1668020,11547,12
1668020,11943,2
1668020,11949,13
1668020,14653,3
1668020,14663,16
1668020,16967,14
1668020,16972,6
1668020,16977,18
1668020,17973,9
1668020,19140,20
1668020,20325,11
1668020,22630,5
1668020,24479,15
1668020,24480,7
1668036,16982,1
1676963,562,1
1677021,562,1
1677021,16989,2
1677193,562,1
1679038,860,7
1679038,11003,1
1679038,11547,11
1679038,11943,2
1679038,11949,13
1679038,14658,12
1679038,14663,19
1679038,16967,17
1679038,16972,4
1679038,16984,15
1679038,16989,9
1679038,17973,6
1679038,19076,10
1679038,19140,20
1679038,19413,14
1679038,20325,8
1679038,22630,3
1679038,22760,16
1679038,24479,18
1679038,24480,5
1679058,540,6
1679058,634,17
1679058,860,8
1679058,10994,4
1679058,11547,10
1679058,11943,2
1679058,11949,11
1679058,14653,3
1679058,14663,16
1679058,16967,15
1679058,16982,13
1679058,16989,1
1679058,17973,7
1679058,19076,9
1679058,19413,12
1679058,22630,5
1679058,22760,14
1679079,16982,1
1679099,578,1
1679119,860,1
1679159,20307,2
1679159,21390,1
1679179,20307,2
1679179,21390,1
1679200,11003,1
1683813,634,1
1683813,16967,3
1683813,22630,2
1683825,634,1
1683825,860,10
1683825,10994,4
1683825,11003,21
1683825,11547,13
1683825,11943,3
1683825,11949,15
1683825,14658,14
1683825,14663,22
1683825,16311,2
1683825,16967,19
1683825,16972,7
1683825,16982,17
1683825,16989,12
1683825,17973,9
1683825,19413,16
1683825,19660,23
1683825,20325,11
1683825,21650,8
1683825,22630,6
1683825,22760,18
1683825,24479,20
1683825,24993,5
1683847,19139,1
1683847,22760,2
1683860,634,1
1683860,860,5
1683860,10994,2
1683860,11003,10
1683860,11547,6
1683860,14663,11
1683860,16967,8
1683860,17973,4
1683860,19140,13
1683860,19413,7
1683860,19660,12
1683860,22630,3
1683860,24479,9
1683871,634,1
1683871,10994,2
1683871,11003,10
1683871,11547,5
1683871,14663,11
1683871,16967,8
1683871,17973,4
1683871,19140,13
1683871,19413,6
1683871,19660,12
1683871,22630,3
1683871,22760,7
1683871,24479,9
1683883,634,1
1683883,22630,2
1683895,20324,2
1683895,21390,1
1683907,540,8
1683907,634,1
1683907,860,10
1683907,10994,4
1683907,11003,19
1683907,11547,14
1683907,11943,2
1683907,11949,16
1683907,14653,3
1683907,14658,15
1683907,14663,20
1683907,16967,17
1683907,16972,6
1683907,16977,21
1683907,16989,12
1683907,17973,9
1683907,19076,13
1683907,20325,11
1683907,22630,5
1683907,24479,18
1683907,24480,7
1685344,578,1
1685344,637,5
1685344,19550,3
1685344,20321,2
1685344,22780,4
1688766,11943,1
1688815,14653,1
1688815,16972,4
1688815,19076,2
1688815,22630,3
1688815,22760,5
1688863,540,9
1688863,634,22
1688863,860,11
1688863,10994,5
1688863,11003,20
1688863,11547,1
1688863,11943,3
1688863,11949,14
1688863,14653,4
1688863,14658,13
1688863,14663,21
1688863,16967,18
1688863,16972,7
1688863,16977,23
1688863,16982,16
1688863,16989,2
1688863,17973,10
1688863,19076,12
1688863,19140,25
1688863,19413,15
1688863,19660,24
1688863,22630,6
1688863,22760,17
1688863,24479,19
1688863,24480,8
1688910,14653,1
1688910,19076,2
1688960,860,4
1688960,11003,1
1688960,11547,6
1688960,11949,7
1688960,14663,12
1688960,16967,10
1688960,16984,9
1688960,16989,5
1688960,17973,3
1688960,19140,13
1688960,19413,8
1688960,22630,2
1688960,24479,11
1689011,860,1
1689057,540,7
1689057,597,18
1689057,634,1
1689057,10994,3
1689057,11547,11
1689057,11943,2
1689057,11949,13
1689057,14658,12
1689057,14663,17
1689057,16967,15
1689057,16972,5
1689057,16982,14
1689057,17973,8
1689057,19076,10
1689057,19660,19
1689057,20325,9
1689057,22630,4
1689057,24479,16
1689057,24480,6
1689108,20307,1
1689156,540,6
1689156,597,22
1689156,634,20
1689156,860,8
1689156,10994,1
1689156,11547,11
1689156,11943,2
1689156,11949,13
1689156,14653,3
1689156,14658,12
1689156,14663,19
1689156,16967,17
1689156,16972,5
1689156,16977,21
1689156,16982,15
1689156,16989,9
1689156,17973,7
1689156,19076,10
1689156,19140,24
1689156,19413,14
1689156,19660,23
1689156,22630,4
1689156,22760,16
1689156,24479,18
1689207,540,4
1689207,634,11
1689207,860,6
1689207,10994,2
1689207,11003,1
1689207,11949,7
1689207,14663,10
1689207,16967,9
1689207,17973,5
1689207,19140,13
1689207,19413,8
1689207,19660,12
1689207,22630,3
1689254,540,9
1689254,562,1
1689254,597,28
1689254,634,26
1689254,860,11
1689254,10994,5
1689254,11003,24
1689254,11547,15
1689254,11943,3
1689254,11949,17
1689254,14653,4
1689254,14658,16
1689254,14663,25
1689254,16311,2
1689254,16967,22
1689254,16972,7
1689254,16977,27
1689254,16982,19
1689254,16984,20
1689254,16989,13
1689254,17973,10
1689254,19076,14
1689254,19140,30
1689254,19413,18
1689254,19660,29
1689254,20325,12
1689254,22630,6
1689254,22760,21
1689254,24479,23
1689254,24480,8
1689298,597,12
1689298,11943,3
1689298,14653,1
1689298,16967,9
1689298,16972,5
1689298,16977,11
1689298,16982,8
1689298,19076,2
1689298,19660,13
1689298,20325,7
1689298,22630,4
1689298,24479,10
1689298,24480,6
1690165,11943,1
1690494,14658,1
1690792,562,6
1690792,597,15
1690792,10994,3
1690792,11547,8
1690792,11943,1
1690792,11949,10
1690792,14658,9
1690792,14663,13
1690792,16967,12
1690792,16977,14
1690792,16982,2
1690792,16989,7
1690792,19413,11
1690792,22630,4
1690792,24480,5
1697882,540,4
1697882,634,14
1697882,860,6
1697882,10994,2
1697882,11003,12
1697882,11547,7
1697882,11949,9
1697882,14658,8
1697882,14663,13
1697882,16967,10
1697882,16977,15
1697882,17973,5
1697882,19660,16
1697882,22630,3
1697882,22760,1
1697882,24479,11
1697935,11003,1
1697984,17973,1
1698032,16977,2
1698032,19140,1
1698084,634,16
1698084,10994,4
1698084,11003,14
1698084,11547,9
1698084,11943,3
1698084,14663,15
1698084,16311,2
1698084,16967,13
1698084,16972,6
1698084,16984,11
1698084,16989,8
1698084,17973,7
1698084,19413,10
1698084,22630,5
1698084,22760,12
1698084,24479,1
1698132,634,1
1698181,860,6
1698181,10994,1
1698181,11003,15
1698181,11547,9
1698181,11943,2
1698181,11949,10
1698181,14663,16
1698181,16967,13
1698181,16972,4
1698181,16984,12
1698181,19076,8
1698181,19140,17
1698181,19413,11
1698181,20325,7
1698181,22630,3
1698181,24479,14
1698181,24480,5
1698232,634,6
1698232,11003,4
1698232,14663,5
1698232,16989,1
1698232,19413,2
1698232,24479,3
1698278,634,4
1698278,11003,3
1698278,16989,1
1698278,19413,2
1698312,17973,1
1699917,562,1
1699917,10994,3
1699917,11949,7
1699917,14653,2
1699917,16984,8
1699917,17973,6
1699917,22630,4
1699917,24480,5
1700080,562,1
1700080,10994,4
1700080,11943,2
1700080,14653,3
1700080,16984,7
1700080,17973,6
1700080,22630,5
1700235,540,9
1700235,562,1
1700235,597,28
1700235,634,26
1700235,860,11
1700235,10994,5
1700235,11003,24
1700235,11547,15
1700235,11943,3
1700235,11949,17
1700235,14653,4
1700235,14658,16
1700235,14663,25
1700235,16311,2
1700235,16967,22
1700235,16972,7
1700235,16977,27
1700235,16982,19
1700235,16984,20
1700235,16989,13
1700235,17973,10
1700235,19076,14
1700235,19140,30
1700235,19413,18
1700235,19660,29
1700235,20325,12
1700235,22630,6
1700235,22760,21
1700235,24479,23
1700235,24480,8
1700564,636,1
1700564,860,3
1700564,16967,4
1700564,22630,2
1701264,860,5
1701264,11003,2
1701264,11547,6
1701264,16311,3
1701264,16967,8
1701264,19140,9
1701264,22630,4
1701264,22760,7
1701264,24479,1
1706499,14658,1
1706499,16972,2
1706499,24479,4
1706499,24480,3
1706567,540,6
1706567,597,18
1706567,860,8
1706567,11003,1
1706567,11547,12
1706567,11943,2
1706567,11949,13
1706567,16967,16
1706567,16972,4
1706567,16989,10
1706567,17973,7
1706567,19076,11
1706567,19140,20
1706567,19413,14
1706567,19660,19
1706567,20325,9
1706567,22630,3
1706567,22760,15
1706567,24479,17
1706567,24480,5
1706636,634,12
1706636,860,6
1706636,10994,4
1706636,11003,10
1706636,11547,1
1706636,11949,7
1706636,14663,11
1706636,16311,3
1706636,16984,8
1706636,17973,2
1706636,19140,14
1706636,19660,13
