bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1881889,3007907,text,105725,application/pdf,Introduced,https://legiscan.com/OH/text/HB1/id/3007907,https://www.legislature.ohio.gov/files/special-session/hb1_00_IN.pdf
1881889,3007908,text,69090,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB1/id/3007908,https://www.legislature.ohio.gov/files/special-session/hb1_01_RH.pdf
1881889,3007909,text,71956,application/pdf,Engrossed,https://legiscan.com/OH/text/HB1/id/3007909,https://www.legislature.ohio.gov/files/special-session/hb1_02_PH.pdf
1881889,3007910,text,72385,application/pdf,Engrossed,https://legiscan.com/OH/text/HB1/id/3007910,https://www.legislature.ohio.gov/files/special-session/hb1_03_PS.pdf
1881890,3007911,text,62012,application/pdf,Introduced,https://legiscan.com/OH/text/HB2/id/3007911,https://www.legislature.ohio.gov/files/special-session/hb2_00_IN.pdf
1881890,3007912,text,57584,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB2/id/3007912,https://www.legislature.ohio.gov/files/special-session/hb2_01_RH.pdf
1881890,3007913,text,58180,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/3007913,https://www.legislature.ohio.gov/files/special-session/hb2_02_PH.pdf
1881890,3007914,text,58545,application/pdf,Engrossed,https://legiscan.com/OH/text/HB2/id/3007914,https://www.legislature.ohio.gov/files/special-session/hb2_03_PS.pdf
1881891,3007915,text,67904,application/pdf,Introduced,https://legiscan.com/OH/text/HB271/id/3007915,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_135/bills/hb271/IN/00/hb271_00_IN?format=pdf
1881891,3007916,text,68754,application/pdf,"Comm Sub",https://legiscan.com/OH/text/HB271/id/3007916,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_135/bills/hb271/RH/01/hb271_01_RH?format=pdf
1881891,3007917,text,70758,application/pdf,Engrossed,https://legiscan.com/OH/text/HB271/id/3007917,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_135/bills/hb271/PH/02/hb271_02_PH?format=pdf
1881891,3007918,text,72385,application/pdf,Engrossed,https://legiscan.com/OH/text/HB271/id/3007918,https://www.legislature.ohio.gov/files/special-session/hb1_03_PS.pdf
1881892,3007919,text,59290,application/pdf,Introduced,https://legiscan.com/OH/text/SB279/id/3007919,https://www.legislature.ohio.gov/files/special-session/sb279_00_IN.pdf
1881893,3007920,text,77563,application/pdf,Introduced,https://legiscan.com/OH/text/SB280/id/3007920,https://www.legislature.ohio.gov/files/special-session/sb280_00_IN.pdf
1881889,475322,supplement,681963,application/pdf,Analysis,https://legiscan.com/OH/supplement/HB1/id/475322,https://www.legislature.ohio.gov/files/special-session/ANHB0001IN(SS)-135.pdf
1881889,475323,supplement,523974,application/pdf,"Fiscal Note",https://legiscan.com/OH/supplement/HB1/id/475323,https://www.legislature.ohio.gov/files/special-session/FNHB0001IN-135-SS.pdf
1881889,475324,supplement,527394,application/pdf,"Fiscal Note",https://legiscan.com/OH/supplement/HB1/id/475324,https://www.legislature.ohio.gov/files/special-session/FNHB0001H1-B-135-SS.pdf
