Date,State,Bill No,Title,Action
"Dec. 13, 2023",OH,HB 68,Prohibits Gender Affirming Care for Minors,"Concurrence Vote Passed
                           - House
                      

                      
                          (62 - 27)"
"Dec. 13, 2023",OH,HB 201,Prohibits Automobile Bans Based on Energy Source,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 31)"
"Dec. 13, 2023",OH,HB 201,Prohibits Automobile Bans Based on Energy Source,"Bill Passed
                           - Senate
                      

                      
                          (23 - 8)"
"Dec. 13, 2023",OH,HB 68,Prohibits Gender Affirming Care for Minors,"Bill Passed
                           - Senate
                      

                      
                          (24 - 8)"
"Dec. 13, 2023",OH,HB 56,Prohibits Various Forms of Stunt Driving and Enforces Stricter Penalties from Law Enforcement for Reckless Driving,"Bill Passed
                           - House
                      

                      
                          (84 - 6)"
"Dec. 13, 2023",OH,HB 93,Amends Utility Regulations to Shift Payment Requirements from Landlords onto Renters,"Bill Passed
                           - House
                      

                      
                          (63 - 26)"
"Nov. 29, 2023",OH,HB 161,Repeals the Marital Loophole in Rape Cases,"Bill Passed
                           - House
                      

                      
                          (75 - 1)"
"Nov. 15, 2023",OH,HB 214,Requires Public Schools Adopt Policies On Expectations Related to Staff Member Professional Duties,"Bill Passed
                           - House
                      

                      
                          (64 - 30)"
"Nov. 15, 2023",OH,HB 201,Prohibits Automobile Bans Based on Energy Source,"Bill Passed
                           - House
                      

                      
                          (70 - 23)"
"Oct. 11, 2023",OH,SJR 216,Alleges Opposition to Proposed Constitutional Amendment 2,"Bill Passed
                           - Senate
                      

                      
                          (23 - 7)"
"Oct. 11, 2023",OH,HB 187,Amends the Process for Home Value Calculations,"Bill Passed
                           - House
                      

                      
                          (58 - 26)"
"Oct. 11, 2023",OH,SB 113,Prohibits Individuals from Servining In Public Office if they Have Not Signed Up for Selective Service,"Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"Oct. 11, 2023",OH,SJR 215,Alleges Opposition to Proposed Constitutional Ammendment 1,"Bill Passed
                           - Senate
                      

                      
                          (23 - 7)"
"Oct. 11, 2023",OH,SB 75,Authorizes Joint Economic Development Districts Without Involving Townships,"Bill Passed
                           - Senate
                      

                      
                          (29 - 1)"
"Sept. 27, 2023",OH,SB 158,Specifies Municipalities Must Gain Approval from Legislative Authorities to Draw Money from the Treasury,"Bill Passed
                           - Senate
                      

                      
                          (25 - 6)"
"June 30, 2023",OH,HB 33,Establishes Operating Appropriations for Fiscal Years 2024-2025,"Conference Report Adopted
                           - House
                      

                      
                          (67 - 30)"
"June 30, 2023",OH,HB 33,Establishes Operating Appropriations for Fiscal Years 2024-2025,"Bill Passed
                           - Senate
                      

                      
                          (25 - 6)"
"June 28, 2023",OH,SB 117,"Establishes ""Intellectual Diversity' Centers on All College Campuses","Bill Passed
                           - Senate
                      

                      
                          (25 - 7)"
"June 27, 2023",OH,HB 49,Requires Hospital Price Transparency,"Bill Passed
                           - House
                      

                      
                          (89 - 5)"
"June 21, 2023",OH,HB 73,Authorizes Healthcare Providers and Pharmacies to Prescribe Off-Label Medication,"Bill Passed
                           - House
                      

                      
                          (75 - 17)"
"June 21, 2023",OH,HB 8,Requires Parental Consent for Teachers to Educate on Sexuality-Related Content,"Bill Passed
                           - House
                      

                      
                          (65 - 29)"
"June 21, 2023",OH,HB 122,Establishes Increased Protections for Guardian ad Litems and Court Appointed Special Advocates,"Bill Passed
                           - House
                      

                      
                          (64 - 28)"
"June 21, 2023",OH,HB 68,Prohibits Gender Affirming Care for Minors,"Bill Passed
                           - House
                      

                      
                          (64 - 28)"
"June 15, 2023",OH,SB 21,Restructures Where Individuals can Contest State Agency Orders,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (24 - 7)"
"June 15, 2023",OH,HB 17,"Prohibits State Officials from Using TikTok, WeChat or Other China-Sourced Applications","Bill Passed
                           - House
                      

                      
                          (73 - 21)"
