bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
HB1001,2023-RS,2023-02-06,Olsen (H),,,Firearms; modifying certain age requirement; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1001&Session=2300
HB1002,2023-RS,2023-02-06,Kane (H),,Fugate (H),Firearms; allowing certain detention or arrest; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1002&Session=2300
HB1003,2023-RS,2023-02-06,Olsen (H),,Dollens (H),Motor vehicles; requiring child support payments in certain accidents resulting in death; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1003&Session=2300
HB1004,2023-RS,2023-02-06,Olsen (H),,,Professions and occupations; Oklahoma Pawnshop Act; authorizing use of certain processing fees; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1004&Session=2300
HB1005,2023-RS,2023-02-06,West (Rick) (H),Burns (S),,Jurors; jury service exemption; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1005&Session=2300
HB1006,2023-RS,2023-02-06,West (Rick) (H),Murdock (S),Talley (H); Bashore (H),Schools; requiring students be given excused absences for participating in approved 4-H activities; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1006&Session=2300
HB1007,2023-RS,2023-02-06,West (Rick) (H),,,Controlled dangerous substances; requiring pain management clinics to register with State Board of Medical Licensure and Supervision; prohibiting the dispensation of controlled dangerous substances at pain management clinics; codification; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1007&Session=2300
HB1008,2023-RS,2023-02-06,West (Rick) (H),Burns (S),Hamilton (S),Agriculture; Oklahoma Right to Garden Act of 2023; vegetable gardens; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1008&Session=2300
HB1009,2023-RS,2023-02-06,Talley (H),,,Revenue and taxation; sales tax exemption; veterans; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1009&Session=2300
HB1010,2023-RS,2023-02-06,West (Rick) (H),,,Central Purchasing Act; allowing certain state entities to make certain purchases; documentation; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1010&Session=2300
