bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
HB1001,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations and Budget; Public Finance Act of 2023; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1001&Session=231X
HB1002,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Legacy Capital Financing Act; creating the Legacy Capital Financing Fund; placing with the Capitol Improvement Authority; limiting uses; recapitalization payments; schedule; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1002&Session=231X
HB1003,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations and Budget; Budget Implementation Act of 2023; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1003&Session=231X
HB1004,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),General appropriations; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1004&Session=231X
HB1005,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Swope (H); Hall (S),Tribal-State agreements; enacting law to offer supplemental compact terms to affirm and extend existing agreements pertaining to motor vehicle registration and licensing; severability.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1005&Session=231X
HB1006,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),"Department of Agriculture, Food, and Forestry; requiring that portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.",http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1006&Session=231X
HB1007,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma Department of Commerce; requiring portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1007&Session=231X
HB1008,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Sims (H); Roberts (H); Wolfley (H); Hall (S),Revenue and taxation; additional homestead exemption; modifying certain qualifying income amount; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1008&Session=231X
HB1009,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Legacy Capital Financing Fund; Historical society facilities; debt authorization; repealer; effective date; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1009&Session=231X
HB1010,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations and Budget; creating the Budget Implementation Act of 2023; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1010&Session=231X
HB1011,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),McBride (H); Martinez (H); Hall (S),Legacy Capital Financing Fund; Office of Management and Enterprise Services; authorizing certain distributions; repealer; effective date; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1011&Session=231X
