bill_id,session,chamber,action_date,journal_page,action,order
HB1001,2023-SS1,H,2023-05-17,1437,First Reading,1
HB1001,2023-SS1,H,2023-05-17,1437,"Authored by Representative Wallace, Martinez",2
HB1001,2023-SS1,H,2023-05-17,1437,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1001,2023-SS1,H,2023-05-17,1437,Coauthored by Senator(s) Hall,4
HB1001,2023-SS1,H,2023-05-18,1443,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1002,2023-SS1,H,2023-05-17,1437,First Reading,1
HB1002,2023-SS1,H,2023-05-17,1437,"Authored by Representative Wallace, Martinez",2
HB1002,2023-SS1,H,2023-05-17,1437,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1002,2023-SS1,H,2023-05-17,1437,Coauthored by Senator(s) Hall,4
HB1002,2023-SS1,H,2023-05-18,1443,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1002,2023-SS1,H,2023-05-23,1449,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget",6
HB1002,2023-SS1,H,2023-05-23,1449,Emergency added,7
HB1002,2023-SS1,H,2023-05-24,1451,General Order,8
HB1002,2023-SS1,H,2023-05-24,1451,JCR adopted,9
HB1002,2023-SS1,H,2023-05-24,1452,"Third Reading, Measure and Emergency passed:  Ayes: 88 Nays: 9",10
HB1002,2023-SS1,H,2023-05-24,1452,Referred for engrossment,11
HB1002,2023-SS1,H,2023-05-24,1460,"Engrossed, signed, to Senate",12
HB1002,2023-SS1,S,2023-05-24,1414,First Reading,13
HB1002,2023-SS1,S,2023-05-25,1423,Direct to Calendar,14
HB1002,2023-SS1,S,2023-05-26,1439,JCR adopted,15
HB1002,2023-SS1,S,2023-05-26,1439,Measure passed:  Ayes: 27  Nays: 16,16
HB1002,2023-SS1,S,2023-05-26,1439,Emergency passed:  Ayes: 32 Nays: 11,17
HB1002,2023-SS1,S,2023-05-26,1439,"Engrossed measure signed, returned to House",18
HB1002,2023-SS1,H,2023-05-26,1510,Referred for enrollment,19
HB1002,2023-SS1,H,2023-05-26,1510,"Enrolled, signed, to Senate",20
HB1002,2023-SS1,S,2023-05-26,1444,"Enrolled measure signed, returned to House",21
HB1002,2023-SS1,H,2023-05-26,1510,Sent to Governor,22
HB1002,2023-SS1,H,2023-06-12,1515,Becomes law without Governor's signature 06/02/2023,23
HB1003,2023-SS1,H,2023-05-17,1437,First Reading,1
HB1003,2023-SS1,H,2023-05-17,1437,"Authored by Representative Wallace, Martinez",2
HB1003,2023-SS1,H,2023-05-17,1437,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1003,2023-SS1,H,2023-05-17,1437,Coauthored by Senator(s) Hall,4
HB1003,2023-SS1,H,2023-05-18,1443,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1004,2023-SS1,H,2023-05-17,1438,First Reading,1
HB1004,2023-SS1,H,2023-05-17,1438,"Authored by Representative Wallace, Martinez",2
HB1004,2023-SS1,H,2023-05-17,1438,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1004,2023-SS1,H,2023-05-17,1438,Coauthored by Senator(s) Hall,4
HB1004,2023-SS1,H,2023-05-18,1443,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1004,2023-SS1,H,2023-05-23,1449,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget",6
HB1004,2023-SS1,H,2023-05-24,1460,General Order,7
HB1004,2023-SS1,H,2023-05-24,1460,JCR adopted,8
HB1004,2023-SS1,H,2023-05-24,1460,"Third Reading, Measure passed:  Ayes: 80 Nays: 21",9
HB1004,2023-SS1,H,2023-05-24,1460,Referred for engrossment,10
HB1004,2023-SS1,H,2023-05-24,1482,"Engrossed, signed, to Senate",11
HB1004,2023-SS1,S,2023-05-24,1414,First Reading,12
HB1004,2023-SS1,S,2023-05-25,1423,Direct to Calendar,13
HB1004,2023-SS1,S,2023-05-26,1425,JCR adopted,14
HB1004,2023-SS1,S,2023-05-26,1426,Measure passed:  Ayes: 35  Nays: 10,15
HB1004,2023-SS1,S,2023-05-26,1426,"Engrossed measure signed, returned to House",16
HB1004,2023-SS1,H,2023-05-26,1504,Referred for enrollment,17
HB1004,2023-SS1,H,2023-05-26,1505,"Enrolled, signed, to Senate",18
HB1004,2023-SS1,S,2023-05-26,1444,"Enrolled measure signed, returned to House",19
HB1004,2023-SS1,H,2023-05-26,1510,Sent to Governor,20
HB1004,2023-SS1,H,2023-06-12,1515,Becomes law without Governor's signature 06/02/2023,21
HB1005,2023-SS1,H,2023-05-17,1438,First Reading,1
HB1005,2023-SS1,H,2023-05-17,1438,"Authored by Representative Wallace, Martinez",2
HB1005,2023-SS1,H,2023-05-17,1438,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1005,2023-SS1,H,2023-05-17,1438,Coauthored by Senator(s) Hall,4
HB1005,2023-SS1,H,2023-05-18,1443,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1005,2023-SS1,H,2023-05-23,1449,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget",6
HB1005,2023-SS1,H,2023-05-24,1452,General Order,7
HB1005,2023-SS1,H,2023-05-24,1452,JCR adopted,8
HB1005,2023-SS1,H,2023-05-24,1452,"Third Reading, Measure passed:  Ayes: 82 Nays: 13",9
HB1005,2023-SS1,H,2023-05-24,1453,Referred for engrossment,10
HB1005,2023-SS1,H,2023-05-24,1460,"Engrossed, signed, to Senate",11
HB1005,2023-SS1,S,2023-05-24,1415,First Reading,12
HB1005,2023-SS1,S,2023-05-24,1421,Coauthored by Representative Swope,13
HB1005,2023-SS1,S,2023-05-25,1423,Direct to Calendar,14
HB1005,2023-SS1,S,2023-05-26,1427,JCR adopted,15
HB1005,2023-SS1,S,2023-05-26,1428,Measure passed:  Ayes: 40  Nays: 4,16
HB1005,2023-SS1,S,2023-05-26,1428,"Engrossed measure signed, returned to House",17
HB1005,2023-SS1,H,2023-05-26,1504,Referred for enrollment,18
HB1005,2023-SS1,H,2023-05-26,1505,"Enrolled, signed, to Senate",19
HB1005,2023-SS1,S,2023-05-26,1444,"Enrolled measure signed, returned to House",20
HB1005,2023-SS1,H,2023-05-26,1510,Sent to Governor,21
HB1005,2023-SS1,H,2023-06-12,1514,Vetoed 05/31/2023,22
HB1005,2023-SS1,H,2023-06-12,1517,Veto overridden:  Ayes: 74  Nays: 11,23
HB1005,2023-SS1,H,2023-06-12,1517,To Senate,24
HB1005,2023-SS1,S,2023-07-24,1451,Veto overridden:  Ayes: 34  Nays: 7,25
HB1005,2023-SS1,S,2023-07-24,1452,Measure returned to House,26
HB1005,2023-SS1,H,2023-07-31,1520,Veto override message received,27
HB1005,2023-SS1,H,2023-07-31,1520,Filed with Secretary of State,28
HB1006,2023-SS1,H,2023-05-17,1438,First Reading,1
HB1006,2023-SS1,H,2023-05-17,1438,"Authored by Representative Wallace, Martinez",2
HB1006,2023-SS1,H,2023-05-17,1438,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1006,2023-SS1,H,2023-05-17,1438,Coauthored by Senator(s) Hall,4
HB1006,2023-SS1,H,2023-05-18,1443,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1006,2023-SS1,H,2023-05-23,1450,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget",6
HB1006,2023-SS1,H,2023-05-24,1466,General Order,7
HB1006,2023-SS1,H,2023-05-24,1466,JCR adopted,8
HB1006,2023-SS1,H,2023-05-24,1466,"Third Reading, Measure passed:  Ayes: 97 Nays: 0",9
HB1006,2023-SS1,H,2023-05-24,1466,Referred for engrossment,10
HB1006,2023-SS1,H,2023-05-24,1482,"Engrossed, signed, to Senate",11
HB1006,2023-SS1,S,2023-05-24,1415,First Reading,12
HB1006,2023-SS1,S,2023-05-25,1423,Direct to Calendar,13
HB1006,2023-SS1,S,2023-05-26,1433,JCR adopted,14
HB1006,2023-SS1,S,2023-05-26,1434,Measure passed:  Ayes: 45  Nays: 0,15
HB1006,2023-SS1,S,2023-05-26,1434,"Engrossed measure signed, returned to House",16
HB1006,2023-SS1,H,2023-05-26,1504,Referred for enrollment,17
HB1006,2023-SS1,H,2023-05-26,1505,"Enrolled, signed, to Senate",18
HB1006,2023-SS1,S,2023-05-26,1444,"Enrolled measure signed, returned to House",19
HB1006,2023-SS1,H,2023-05-26,1510,Sent to Governor,20
HB1006,2023-SS1,H,2023-06-12,1515,Becomes law without Governor's signature 06/02/2023,21
HB1007,2023-SS1,H,2023-05-17,1438,First Reading,1
HB1007,2023-SS1,H,2023-05-17,1438,"Authored by Representative Wallace, Martinez",2
HB1007,2023-SS1,H,2023-05-17,1438,Authored by Senator Thompson (Roger) (principal Senate author),3
HB1007,2023-SS1,H,2023-05-17,1438,Coauthored by Senator(s) Hall,4
HB1007,2023-SS1,H,2023-05-18,1444,Second Reading referred to Joint Committee on Appropriations and Budget,5
HB1007,2023-SS1,H,2023-05-23,1450,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget",6
HB1007,2023-SS1,H,2023-05-24,1465,General Order,7
HB1007,2023-SS1,H,2023-05-24,1465,JCR adopted,8
HB1007,2023-SS1,H,2023-05-24,1465,"Third Reading, Measure passed:  Ayes: 84 Nays: 15",9
HB1007,2023-SS1,H,2023-05-24,1465,Referred for engrossment,10
HB1007,2023-SS1,H,2023-05-24,1482,"Engrossed, signed, to Senate",11
HB1007,2023-SS1,S,2023-05-24,1415,First Reading,12
HB1007,2023-SS1,S,2023-05-25,1423,Direct to Calendar,13
HB1007,2023-SS1,S,2023-05-26,1432,JCR adopted,14
