bill_id,term,session,title,session_orig,commem
HB9984,2023_2024,2023-RS,Short Title for test,2023-RS,0
HB9985,2023_2024,2023-RS,This is a testing for House user req.,2023-RS,0
HB9986,2023_2024,2023-RS,Short Title for test,2023-RS,0
HB9988,2023_2024,2023-RS,Short Title for test,2023-RS,0
HB9990,2023_2024,2023-RS,Short Title for test,2023-RS,0
HB9992,2023_2024,2023-RS,Short Title for test,2023-RS,0
HB9998,2023_2024,2023-RS,Short Title for test,2023-RS,0
HB9999,2023_2024,2023-RS,Test HB9999. 2023 Session. Effective Date.,2023-RS,0
SB9001,2023_2024,2023-RS,Test bill SB9001 - 2023 session,2023-RS,0
SB9002,2023_2024,2023-RS,Test bill SB9002 - 2023 session,2023-RS,0
SB9003,2023_2024,2023-RS,Test bill SB9002 - 2023 session,2023-RS,0
SB9004,2023_2024,2023-RS,Test bill SB9004 - 2023 session,2023-RS,0
SB9005,2023_2024,2023-RS,Test bill SB9005 - 2023 session,2023-RS,0
SB9006,2023_2024,2023-RS,Test bill SB9006 - 2023 session,2023-RS,0
SB9007,2023_2024,2023-RS,Test bill SB9007 - 2023 session,2023-RS,0
SB9008,2023_2024,2023-RS,Test bill SB9008 - 2023 session,2023-RS,0
SB9009,2023_2024,2023-RS,Test bill SB9009 - 2023 session,2023-RS,0
SB9010,2023_2024,2023-RS,Test bill SB9010 - 2023 session,2023-RS,0
SB9011,2023_2024,2023-RS,Test bill SB9011 - 2023 session,2023-RS,0
SB9012,2023_2024,2023-RS,Test bill SB9012 - 2023 session,2023-RS,0
SB9013,2023_2024,2023-RS,Test bill SB9013 - 2023 session,2023-RS,0
SB9014,2023_2024,2023-RS,Test bill SB9014 - 2023 session,2023-RS,0
SB9015,2023_2024,2023-RS,Test bill SB9015 - 2023 session,2023-RS,0
SB9016,2023_2024,2023-RS,Test bill SB9016 - 2023 session,2023-RS,0
SB9017,2023_2024,2023-RS,Test bill SB9017 - 2023 session,2023-RS,0
SB9018,2023_2024,2023-RS,Test bill SB9018 - 2023 session,2023-RS,0
SB9100,2023_2024,2023-RS,Test bill SB9100 - 2023 session,2023-RS,0
SB9101,2023_2024,2023-RS,Test bill SB9101 - 2023 session,2023-RS,0
SB9102,2023_2024,2023-RS,Test bill SB9102 - 2023 session,2023-RS,0
SB9103,2023_2024,2023-RS,Test bill SB9103 - 2023 session,2023-RS,0
SB9104,2023_2024,2023-RS,Test bill SB9104 - 2023 session,2023-RS,0
SB9105,2023_2024,2023-RS,Test bill SB9105 - 2023 session,2023-RS,0
SB9106,2023_2024,2023-RS,This is a test bill - SB9106 - 2023 session.  Please disregard.,2023-RS,0
SB9107,2023_2024,2023-RS,This is a test bill.  SB9107 - 2023 session.  Please Disregard.,2023-RS,0
SB9108,2023_2024,2023-RS,This is a test bill.  SB9108- 2023 session.  Please Disregard.,2023-RS,0
SB9109,2023_2024,2023-RS,This is a test bill.  SB9109 - 2023 session.  Please Disregard.,2023-RS,0
SB9110,2023_2024,2023-RS,This is a test bill.  SB9110 - 2023 session.  Please Disregard.,2023-RS,0
SB9111,2023_2024,2023-RS,This is a test bill.  SB9111 - 2023 session.  Please Disregard.,2023-RS,0
SB9112,2023_2024,2023-RS,This is a test bill.  SB9112 - 2023 session.  Please Disregard.,2023-RS,0
SB9113,2023_2024,2023-RS,This is a test bill.  SB9113 - 2023 session.  Please Disregard.,2023-RS,0
SB9114,2023_2024,2023-RS,This is a test bill.  SB9114 - 2023 session.  Please Disregard.,2023-RS,0
SB9115,2023_2024,2023-RS,This is a test bill.  SB9115 - 2023 session.  Please Disregard.,2023-RS,0
SB9116,2023_2024,2023-RS,This is a test bill.  SB9116 - 2023 session.  Please Disregard.,2023-RS,0
SB9117,2023_2024,2023-RS,This is a test bill.  SB9117 - 2023 session.  Please Disregard.,2023-RS,0
SB9118,2023_2024,2023-RS,This is a test bill.  SB9118 - 2023 session.  Please Disregard.,2023-RS,0
SB9119,2023_2024,2023-RS,This is a test bill.  SB9119 - 2023 session.  Please Disregard.,2023-RS,0
SB9120,2023_2024,2023-RS,This is a test bill.  SB9120 - 2023 session.  Please Disregard.,2023-RS,0
SB9121,2023_2024,2023-RS,This is a test bill.  SB9121 - 2023 session.  Please Disregard.,2023-RS,0
SB9122,2023_2024,2023-RS,This is a test bill.  SB9122 - 2023 session.  Please Disregard.,2023-RS,0
SB9123,2023_2024,2023-RS,This is a test bill.  SB9123 - 2023 session.  Please Disregard.,2023-RS,0
