bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1765517,2051,HB1001,1,Introduced,2023-05-17,"Public finance; creating the Public Finance Act of 2023; effective date.","Public finance; creating the Public Finance Act of 2023; effective date.",2608,"Joint Appropriations and Budget",2023-05-18,"Second Reading referred to Joint Committee on Appropriations and Budget",https://legiscan.com/OK/bill/HB1001/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1001&Session=231X
1765528,2051,HB1002,4,Passed,2023-06-12,"Legacy Capital Financing Act; creating the Legacy Capital Financing Fund; placing with the Capitol Improvement Authority; limiting uses; recapitalization payments; schedule; emergency.","Legacy Capital Financing Act; creating the Legacy Capital Financing Fund; placing with the Capitol Improvement Authority; limiting uses; recapitalization payments; schedule; emergency.",0,,2023-06-12,"Becomes law without Governor's signature 06/02/2023",https://legiscan.com/OK/bill/HB1002/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1002&Session=231X
1765515,2051,HB1003,1,Introduced,2023-05-17,"Appropriations and Budget; Budget Implementation Act of 2023; effective date.","Appropriations and Budget; Budget Implementation Act of 2023; effective date.",2608,"Joint Appropriations and Budget",2023-05-18,"Second Reading referred to Joint Committee on Appropriations and Budget",https://legiscan.com/OK/bill/HB1003/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1003&Session=231X
1765522,2051,HB1004,4,Passed,2023-06-12,"General appropriations; effective date.","General appropriations; effective date.",0,,2023-06-12,"Becomes law without Governor's signature 06/02/2023",https://legiscan.com/OK/bill/HB1004/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1004&Session=231X
1765521,2051,HB1005,4,Passed,2023-07-31,"Tribal-State agreements; enacting law to offer supplemental compact terms to affirm and extend existing agreements pertaining to motor vehicle registration and licensing; severability.","Tribal-State agreements; enacting law to offer supplemental compact terms to affirm and extend existing agreements pertaining to motor vehicle registration and licensing; severability.",0,,2023-07-31,"Filed with Secretary of State",https://legiscan.com/OK/bill/HB1005/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1005&Session=231X
1765530,2051,HB1006,4,Passed,2023-06-12,"Department of Agriculture, Food, and Forestry; requiring that portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.","Department of Agriculture, Food, and Forestry; requiring that portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.",0,,2023-06-12,"Becomes law without Governor's signature 06/02/2023",https://legiscan.com/OK/bill/HB1006/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1006&Session=231X
1765524,2051,HB1007,4,Passed,2023-06-12,"Oklahoma Department of Commerce; requiring portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.","Oklahoma Department of Commerce; requiring portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.",0,,2023-06-12,"Becomes law without Governor's signature 06/02/2023",https://legiscan.com/OK/bill/HB1007/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1007&Session=231X
1765512,2051,HB1008,4,Passed,2023-06-12,"Revenue and taxation; additional homestead exemption; modifying certain qualifying income amount; effective date.","Revenue and taxation; additional homestead exemption; modifying certain qualifying income amount; effective date.",0,,2023-06-12,"Becomes law without Governor's signature 06/02/2023",https://legiscan.com/OK/bill/HB1008/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1008&Session=231X
1765532,2051,HB1009,4,Passed,2023-06-12,"Legacy Capital Financing Fund; Historical society facilities; debt authorization; repealer; effective date; emergency.","Legacy Capital Financing Fund; Historical society facilities; debt authorization; repealer; effective date; emergency.",0,,2023-06-12,"Becomes law without Governor's signature 06/02/2023",https://legiscan.com/OK/bill/HB1009/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1009&Session=231X
1765516,2051,HB1010,1,Introduced,2023-05-17,"Appropriations and Budget; creating the Budget Implementation Act of 2023; effective date.","Appropriations and Budget; creating the Budget Implementation Act of 2023; effective date.",2608,"Joint Appropriations and Budget",2023-05-18,"Second Reading referred to Joint Committee on Appropriations and Budget",https://legiscan.com/OK/bill/HB1010/2023/X1,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1010&Session=231X
