bill_id,date,chamber,sequence,action
1765511,2023-05-17,House,1,"First Reading"
1765511,2023-05-17,House,2,"Authored by Representative Wallace, Martinez"
1765511,2023-05-17,House,3,"Authored by Senator Thompson (Roger) (principal Senate author)"
1765511,2023-05-17,House,4,"Coauthored by Senator(s) Hall"
1765511,2023-05-18,House,5,"Second Reading referred to Joint Committee on Appropriations and Budget"
1765511,2023-05-23,House,6,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget"
1765511,2023-05-24,House,7,"General Order"
1765511,2023-05-24,House,8,"JCR adopted"
1765511,2023-05-24,House,9,"Third Reading, Measure passed: Ayes: 98 Nays: 2"
1765511,2023-05-24,House,10,"Referred for engrossment"
1765511,2023-05-24,House,11,"Engrossed, signed, to Senate"
1765511,2023-05-24,Senate,12,"First Reading"
1765511,2023-05-25,Senate,13,"Direct to Calendar"
1765511,2023-05-26,Senate,14,"JCR adopted"
1765511,2023-05-26,Senate,15,"Measure passed: Ayes: 42 Nays: 2"
1765511,2023-05-26,Senate,16,"Engrossed measure signed, returned to House"
1765511,2023-05-26,House,17,"Referred for enrollment"
1765511,2023-05-26,House,18,"Enrolled, signed, to Senate"
1765511,2023-05-26,Senate,19,"Enrolled measure signed, returned to House"
1765511,2023-05-26,House,20,"Sent to Governor"
1765511,2023-06-12,House,21,"Becomes law without Governor's signature 06/02/2023"
1765512,2023-05-17,House,1,"First Reading"
1765512,2023-05-17,House,2,"Authored by Representative Wallace, Martinez"
1765512,2023-05-17,House,3,"Authored by Senator Thompson (Roger) (principal Senate author)"
1765512,2023-05-17,House,4,"Coauthored by Senator(s) Hall"
1765512,2023-05-18,House,5,"Second Reading referred to Joint Committee on Appropriations and Budget"
1765512,2023-05-23,House,6,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget"
1765512,2023-05-24,House,7,"General Order"
1765512,2023-05-24,House,8,"Coauthored by Representative(s) Sims, Wolfley, Roberts"
1765512,2023-05-24,House,9,"JCR adopted"
1765512,2023-05-24,House,10,"Third Reading, Measure passed: Ayes: 101 Nays: 0"
1765512,2023-05-24,House,11,"Referred for engrossment"
1765512,2023-05-24,House,12,"Engrossed, signed, to Senate"
1765512,2023-05-24,Senate,13,"First Reading"
1765512,2023-05-25,Senate,14,"Direct to Calendar"
1765512,2023-05-26,Senate,15,"JCR adopted"
1765512,2023-05-26,Senate,16,"Measure passed: Ayes: 44 Nays: 0"
1765512,2023-05-26,Senate,17,"Engrossed measure signed, returned to House"
1765512,2023-05-26,House,18,"Referred for enrollment"
1765512,2023-05-26,House,19,"Enrolled, signed, to Senate"
1765512,2023-05-26,Senate,20,"Enrolled measure signed, returned to House"
1765512,2023-05-26,House,21,"Sent to Governor"
1765512,2023-06-12,House,22,"Becomes law without Governor's signature 06/02/2023"
1765513,2023-05-17,House,1,"First Reading"
1765513,2023-05-17,House,2,"Authored by Representative Wallace, Martinez"
1765513,2023-05-17,House,3,"Authored by Senator Thompson (Roger) (principal Senate author)"
1765513,2023-05-17,House,4,"Coauthored by Senator(s) Hall"
1765513,2023-05-18,House,5,"Second Reading referred to Joint Committee on Appropriations and Budget"
1765513,2023-05-23,House,6,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget"
1765513,2023-05-23,House,7,"Emergency added"
1765513,2023-05-24,House,8,"General Order"
1765513,2023-05-24,House,9,"JCR adopted"
1765513,2023-05-24,House,10,"Third Reading, Measure and Emergency passed: Ayes: 91 Nays: 0"
1765513,2023-05-24,House,11,"Referred for engrossment"
1765513,2023-05-24,House,12,"Engrossed, signed, to Senate"
1765513,2023-05-24,Senate,13,"First Reading"
1765513,2023-05-25,Senate,14,"Direct to Calendar"
1765513,2023-05-26,Senate,15,"JCR adopted"
1765513,2023-05-26,Senate,16,"Measure and Emergency passed: Ayes: 43 Nays: 2"
1765513,2023-05-26,Senate,17,"Engrossed measure signed, returned to House"
1765513,2023-05-26,House,18,"Referred for enrollment"
1765513,2023-05-26,House,19,"Enrolled, signed, to Senate"
1765513,2023-05-26,Senate,20,"Enrolled measure signed, returned to House"
1765513,2023-05-26,House,21,"Sent to Governor"
1765513,2023-06-12,House,22,"Becomes law without Governor's signature 06/02/2023"
1765514,2023-05-17,House,1,"First Reading"
1765514,2023-05-17,House,2,"Authored by Representative Wallace, Martinez"
1765514,2023-05-17,House,3,"Authored by Senator Thompson (Roger) (principal Senate author)"
1765514,2023-05-17,House,4,"Coauthored by Senator(s) Hall"
1765514,2023-05-18,House,5,"Second Reading referred to Joint Committee on Appropriations and Budget"
1765514,2023-05-23,House,6,"JCR; Do pass, amended by committee substitute Joint Committee on Appropriations and Budget"
1765514,2023-05-23,House,7,"Emergency added"
1765514,2023-05-24,House,8,"General Order"
1765514,2023-05-24,House,9,"Coauthored by Representative(s) Hill"
1765514,2023-05-24,House,10,"JCR adopted"
1765514,2023-05-24,House,11,"Third Reading, Measure and Emergency passed: Ayes: 84 Nays: 12"
1765514,2023-05-24,House,12,"Referred for engrossment"
1765514,2023-05-24,House,13,"Engrossed, signed, to Senate"
1765514,2023-05-24,Senate,14,"First Reading"
1765514,2023-05-25,Senate,15,"Direct to Calendar"
1765514,2023-05-26,Senate,16,"JCR adopted"
1765514,2023-05-26,Senate,17,"Measure and Emergency passed: Ayes: 43 Nays: 2"
1765514,2023-05-26,Senate,18,"Engrossed measure signed, returned to House"
1765514,2023-05-26,House,19,"Referred for enrollment"
1765514,2023-05-26,House,20,"Enrolled, signed, to Senate"
1765514,2023-05-26,Senate,21,"Enrolled measure signed, returned to House"
1765514,2023-05-26,House,22,"Sent to Governor"
1765514,2023-06-12,House,23,"Becomes law without Governor's signature 06/02/2023"
1765515,2023-05-17,House,1,"First Reading"
1765515,2023-05-17,House,2,"Authored by Representative Wallace, Martinez"
1765515,2023-05-17,House,3,"Authored by Senator Thompson (Roger) (principal Senate author)"
1765515,2023-05-17,House,4,"Coauthored by Senator(s) Hall"
1765515,2023-05-18,House,5,"Second Reading referred to Joint Committee on Appropriations and Budget"
1765516,2023-05-17,House,1,"First Reading"
1765516,2023-05-17,House,2,"Authored by Representative Wallace, Martinez"
1765516,2023-05-17,House,3,"Authored by Senator Thompson (Roger) (principal Senate author)"
