bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1633691,2613780,text,66125,application/pdf,Introduced,https://legiscan.com/OK/text/HB1001/id/2613780,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1001%20INT.PDF
1633691,2726519,text,99386,application/pdf,Amended,https://legiscan.com/OK/text/HB1001/id/2726519,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/HFLR/HB1001%20HFLR.PDF
1633692,2613781,text,49391,application/pdf,Introduced,https://legiscan.com/OK/text/HB1002/id/2613781,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1002%20INT.PDF
1633693,2613782,text,52787,application/pdf,Introduced,https://legiscan.com/OK/text/HB1003/id/2613782,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1003%20INT.PDF
1633690,2613779,text,50520,application/pdf,Introduced,https://legiscan.com/OK/text/HB1004/id/2613779,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1004%20INT.PDF
1633690,2715983,text,81133,application/pdf,Amended,https://legiscan.com/OK/text/HB1004/id/2715983,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/HFLR/HB1004%20HFLR.PDF
1633773,2613895,text,55227,application/pdf,Introduced,https://legiscan.com/OK/text/HB1005/id/2613895,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1005%20INT.PDF
1633773,2717985,text,87410,application/pdf,Amended,https://legiscan.com/OK/text/HB1005/id/2717985,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/HFLR/HB1005%20HFLR.PDF
1633773,2777140,text,85548,application/pdf,Amended,https://legiscan.com/OK/text/HB1005/id/2777140,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/SFLR/HB1005%20SFLR.PDF
1633773,2731631,text,56405,application/pdf,Engrossed,https://legiscan.com/OK/text/HB1005/id/2731631,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20ENGR/hB/HB1005%20ENGR.PDF
1633773,2783448,text,55839,application/pdf,Enrolled,https://legiscan.com/OK/text/HB1005/id/2783448,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20ENR/hB/HB1005%20ENR.PDF
1633763,2613890,text,61482,application/pdf,Introduced,https://legiscan.com/OK/text/HB1006/id/2613890,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1006%20INT.PDF
1633763,2715831,text,96009,application/pdf,Amended,https://legiscan.com/OK/text/HB1006/id/2715831,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/HFLR/HB1006%20HFLR.PDF
1633763,2770771,text,92933,application/pdf,Amended,https://legiscan.com/OK/text/HB1006/id/2770771,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/SFLR/HB1006%20SFLR.PDF
1633763,2755480,text,63195,application/pdf,Engrossed,https://legiscan.com/OK/text/HB1006/id/2755480,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20ENGR/hB/HB1006%20ENGR.PDF
1633753,2613884,text,76149,application/pdf,Introduced,https://legiscan.com/OK/text/HB1007/id/2613884,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1007%20INT.PDF
1633742,2613876,text,47446,application/pdf,Introduced,https://legiscan.com/OK/text/HB1008/id/2613876,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1008%20INT.PDF
