bill_id,people_id,position
1633690,19924,1
1633691,14088,2
1633691,19924,1
1633692,20831,2
1633692,23728,1
1633693,19011,2
1633693,19924,1
1633742,18990,1
1633742,20564,2
1633742,21885,3
1633753,18990,1
1633763,17281,2
1633763,18990,1
1633763,20834,3
1633763,22633,4
1633773,18990,1
1633773,20564,2
1634015,19028,2
1634015,21890,1
1634063,14088,1
1634065,18901,3
1634065,19013,2
1634065,21889,4
1634065,22854,1
1634073,15285,2
1634073,17586,1
1634073,18907,4
1634073,19705,6
1634073,20038,5
1634073,22558,3
1634077,15288,1
1634077,19217,2
1634077,20038,3
1634099,20893,2
1634099,21890,1
1634164,3681,12
1634164,15062,9
1634164,15268,22
1634164,17263,28
1634164,17282,2
1634164,18901,10
1634164,18906,16
1634164,18907,17
1634164,18912,15
1634164,19046,3
1634164,19492,4
1634164,19617,23
1634164,19705,19
1634164,19964,20
1634164,20038,18
1634164,20612,26
1634164,20692,6
1634164,20758,21
1634164,20832,5
1634164,20892,7
1634164,21884,1
1634164,21885,14
1634164,21890,29
1634164,22578,24
1634164,22633,8
1634164,22854,11
1634164,23531,27
1634164,23732,25
1634164,24708,13
1634183,20889,2
1634183,21890,1
1634196,19705,1
1634196,20038,2
1634287,19705,1
1634287,20038,2
1634400,20834,1
1634424,18990,1
1634433,18990,1
1634433,21885,2
1634442,17840,3
1634442,18909,1
1634442,20692,2
1634442,20740,4
1634442,22558,5
1634447,15740,2
1634447,19924,1
1634449,19705,1
1635317,3681,3
1635317,15285,1
1635317,21890,2
1636876,19013,2
1636876,19705,1
1636876,22854,3
1636908,20889,2
1636908,21890,1
1637037,19243,2
1637037,19705,1
1637037,23731,3
1637061,3681,9
1637061,15062,2
1637061,17281,1
1637061,18901,3
1637061,18906,4
1637061,18907,5
1637061,19705,6
1637061,21884,11
1637061,21885,8
1637061,21889,10
1637061,22854,7
1637061,23531,12
1637253,21890,1
1637892,22854,1
1637899,19705,3
1637899,20886,2
1637899,21889,4
1637899,22854,1
1637904,18909,1
1637904,19945,2
1638291,14088,1
1638309,14088,1
1638309,22854,2
1638324,14088,1
1638335,18907,1
1638335,18991,2
1638433,15263,2
1638433,18907,1
1638435,18907,1
1638435,19705,3
1638435,23732,2
1638440,14088,1
1638445,3693,2
1638445,18907,1
1638445,19705,4
1638445,22578,3
1638450,15263,2
1638450,18907,1
1638456,17281,2
1638456,21885,4
1638456,21889,1
1638456,22854,3
1638492,18901,1
1638594,19705,1
1638599,21238,1
1638599,23726,2
1638605,19705,1
1638605,22854,2
1638619,14088,1
1638629,14088,1
1638637,14088,1
1638647,14088,1
1638647,15285,2
1638652,14088,1
1638758,19924,1
1638761,20881,2
1638761,20894,1
1638763,19705,1
1638764,15285,1
1638764,20811,3
1638764,21890,2
1638764,23733,4
1638996,18901,1
1639015,18901,1
1639015,20811,2
1639027,18901,1
1639027,18989,2
1639045,14088,1
1639045,19924,2
1639060,18901,1
1639060,20873,2
1639187,18990,1
1639187,20756,3
1639187,23531,2
1639189,18901,1
1639221,14088,1
1639225,18907,3
1639225,19005,2
1639225,20894,1
1639231,14088,1
1639245,19924,1
1639253,19243,1
1639264,19243,1
1639264,19945,3
1639264,20835,5
1639264,20893,4
1639264,23559,2
1639264,23733,6
1639272,19005,2
1639272,20894,1
1639279,14088,1
1639289,19924,1
1639298,14088,1
1639307,17840,3
1639307,19243,1
1639307,19437,2
1639307,20878,4
1639318,19243,1
1639318,21890,2
1639326,20894,1
1639332,19924,1
1639336,17276,2
1639336,19961,1
1639492,20894,1
1639504,18902,1
1639504,22506,2
1639513,14088,1
1639513,19924,2
1639526,18902,1
1639526,22506,2
1639534,18902,1
1639534,22506,2
1639542,18902,1
1639542,22506,2
1639551,18902,1
1639551,22506,2
1639559,17276,3
1639559,18909,1
1639559,20692,2
1639567,18902,1
1639567,22506,2
1639573,18902,1
1639573,22506,2
1639579,18902,1
1639579,22506,2
1639592,19493,2
1639592,19961,1
1639603,15285,2
1639603,20894,1
1639609,17328,1
1639609,19045,2
1639698,19013,3
1639698,19705,2
1639698,20758,1
1639698,23729,4
1639711,18901,1
1639723,20893,2
1639723,21890,1
1639736,14088,1
1639748,18902,1
1639748,18911,2
1639759,17281,1
1639762,18909,1
1639762,23736,2
1639856,14088,1
1639876,14088,1
1640115,19961,1
1640115,22855,2
1640142,19961,1
1640142,23723,2
1640150,18990,1
1640156,18990,1
1640156,21885,2
1640162,18990,1
1640167,18906,1
1640167,19493,2
1640169,18901,1
1640169,21885,2
1640176,17176,2
1640176,19961,1
1640201,14088,1
1640201,17281,2
1640212,14088,1
1640226,21238,1
1640226,22855,2
1640237,14088,1
1640248,17176,2
1640248,18902,1
1640258,14088,1
1640419,21890,1
1640419,23723,2
1640427,17840,3
1640427,20692,4
1640427,20813,7
1640427,20834,1
1640427,20835,6
1640427,20894,2
1640427,21326,5
1640435,19965,1
1640435,20692,2
1640444,15285,2
1640444,19965,1
1640454,21890,1
1640462,21890,1
1640462,23723,2
1640470,15165,2
1640470,17462,3
1640470,17840,4
1640470,18951,6
1640470,19011,5
1640470,19492,7
1640470,20692,8
1640470,20758,10
1640470,20834,1
1640470,20835,11
1640470,20878,9
1640470,22577,13
1640470,22855,12
1640470,23733,14
1640475,3693,1
1640475,19011,3
1640475,20007,2
1640475,21326,4
1640475,23733,6
1640475,23734,5
1641079,19965,1
1641242,18909,1
1641242,20038,5
1641242,20835,4
1641242,20877,3
1641242,22855,2
1641259,19013,3
1641259,19705,5
1641259,20691,2
1641259,20692,4
1641259,20812,1
1641275,15062,1
1641282,21890,1
1641285,15268,1
1641320,15165,1
1641320,22577,2
1641359,23531,1
1641408,17328,1
1641408,17840,2
1641437,17284,3
1641437,18907,1
1641437,19005,4
1641437,19011,5
1641437,19046,6
1641437,19492,16
1641437,19617,13
1641437,19705,17
1641437,19945,14
1641437,19964,18
1641437,20811,15
1641437,20831,7
1641437,20835,9
1641437,20877,8
1641437,21890,19
1641437,22576,2
1641437,22578,10
1641437,23729,11
1641437,23735,12
1641464,20873,2
1641464,21238,1
1641495,21885,2
1641495,21890,1
1641522,17328,1
1641522,17823,2
1641549,17284,3
1641549,18907,1
1641549,18948,18
1641549,18991,7
1641549,19005,4
1641549,19011,5
1641549,19046,6
1641549,19493,15
1641549,19617,14
1641549,19705,21
1641549,19964,22
1641549,20612,9
1641549,20811,17
1641549,20835,10
1641549,20877,8
1641549,20892,16
1641549,21889,20
1641549,21890,19
1641549,22576,2
1641549,22578,11
1641549,23729,13
