bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1779323,2100,HB1001,1,Introduced,2023-10-03,"Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.","Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1001/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1001&Session=232X
1779329,2100,HB1002,1,Introduced,2023-10-03,"Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.","Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1002/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1002&Session=232X
1779321,2100,HB1003,1,Introduced,2023-10-03,"Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.","Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1003/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1003&Session=232X
1779322,2100,HB1004,1,Introduced,2023-10-03,"Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.","Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1004/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1004&Session=232X
1779324,2100,HB1005,1,Introduced,2023-10-03,"Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.","Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1005/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1005&Session=232X
1779328,2100,HB1006,1,Introduced,2023-10-03,"Revenue and taxation, income tax, retirement income, exceptions, emergency.","Revenue and taxation, income tax, retirement income, exceptions, emergency.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1006/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1006&Session=232X
1779326,2100,HB1007,1,Introduced,2023-10-03,"Revenue and taxation; individual income tax; rates; taxable years; emergency.","Revenue and taxation; individual income tax; rates; taxable years; emergency.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1007/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1007&Session=232X
1779325,2100,HB1008,1,Introduced,2023-10-03,"Revenue and taxation; individual income tax; rates; reductions; corporate income tax rates; reductions; effective date.","Revenue and taxation; individual income tax; rates; reductions; corporate income tax rates; reductions; effective date.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1008/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1008&Session=232X
1779421,2100,HB1009,1,Introduced,2023-10-03,"Revenue and taxation; sales tax; exemption; grocery items; emergency.","Revenue and taxation; sales tax; exemption; grocery items; emergency.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1009/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1009&Session=232X
1779420,2100,HB1010,1,Introduced,2023-10-03,"Revenue and taxation; earned income tax credit; credit amount; emergency.","Revenue and taxation; earned income tax credit; credit amount; emergency.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1010/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1010&Session=232X
1779426,2100,HB1011,1,Introduced,2023-10-03,"Public finance; 2023 Inflation Relief Fund.","Public finance; 2023 Inflation Relief Fund.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1011/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1011&Session=232X
1779422,2100,HB1012,1,Introduced,2023-10-03,"2023 Inflation Relief Fund; appropriation.","2023 Inflation Relief Fund; appropriation.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1012/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1012&Session=232X
1779424,2100,HB1013,1,Introduced,2023-10-03,"Revenue and taxation; sales tax relief; credit amount; scale; income qualification; emergency.","Revenue and taxation; sales tax relief; credit amount; scale; income qualification; emergency.",1197,"House Appropriations and Budget",2023-10-04,"Second Reading referred to Appropriations and Budget",https://legiscan.com/OK/bill/HB1013/2023/X2,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1013&Session=232X
